galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4472,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.2272173514155489,-0.10350162594102637,0.02889324952181074,0.0002115229034019,1.227005828512147,27.77763936012588,0.025566665088282314,1085.1129282430888,47.17882296709082,1089.6583827885433,18.622406335400086
NGC 4472,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.2233030851755804,-0.10739704417137862,0.030199383823660688,0.0002115229034019,1.2230915622721785,27.78110849911068,0.026807939315534955,1191.543090319714,51.80622131824844,1196.0885448651686,18.599169093717677
NGC 4472,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_O2024061001-NRCA3_FP1-1,24,1.218072099825944,-0.10492152261016496,0.0296684578861369,0.0002115229034019,1.2178605769225421,27.7857619937727,0.026449759091240716,1081.8117930673548,49.1732633212434,1086.3832216387834,18.74411284596633
NGC 4472,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.216633319655526,-0.10413647043742226,0.029289507473015064,0.0002115229034019,1.216421796752124,27.787045440525226,0.026142805701028074,1057.1621781378717,48.05282627899417,1061.7336067093004,18.71635722367202
NGC 4472,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.2173625808010171,-0.10500315849511012,0.02987893196293177,0.0002115229034019,1.2171510578976152,27.786394722178684,0.026652926915821454,1098.2765763294012,49.92166256042733,1102.84800490083,18.736197879288312
NGC 4472,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.2217778793803877,-0.10256020024893087,0.028368925045709977,0.0002115229034019,1.2215663564769859,27.782463266461733,0.02521448699768385,984.2823935873686,44.74010879942585,988.8538221587971,18.7737583863622
NGC 4472,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.2179076376448799,-0.10644295573533441,0.029811355016262607,0.0002115229034019,1.217696114741478,27.785908623531043,0.026580742980300873,1092.4131794437462,49.65514452017028,1096.984608015175,18.751219099817046
NGC 4472,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_O2024061001-NRCA3_FP1-1,27,1.3126783447267434,-0.11460345716475571,0.03646043940402189,0.0002115229034019,1.3124668218233415,27.704535090464937,0.030161843670334566,1678.7273397290658,67.14909358916263,1683.2273397290658,18.55379764843771
NGC 4472,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.3111067641967686,-0.11375492098555354,0.03608732331611876,0.0002115229034019,1.3108952412933668,27.70583595709574,0.029888973750842922,1649.0517306024337,65.96206922409735,1653.5517306024337,18.525629629700706
NGC 4472,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.3117970265375778,-0.11467019157262347,0.03646687696274689,0.0002115229034019,1.311585503634176,27.70526440450535,0.03018743992153619,1681.5234024364117,67.26093609745647,1686.0234024364117,18.542769670715785
NGC 4472,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.316410372605234,-0.1120160028577613,0.03516934084738649,0.0002115229034019,1.3161988497018322,27.701452157133982,0.02901129009810082,1555.3004477469397,62.21201790987759,1559.8004477469397,18.57723193149595
NGC 4472,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,1.3122064890354346,-0.11619235519634347,0.03634373280095645,0.0002115229034019,1.3119949661320327,27.704925502560357,0.030076111217398498,1669.3767543274125,66.7750701730965,1673.8767543274125,18.554498826320426
NGC 4472,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_O2024061001-NRCA3_FP1-1,25,1.3050131381458319,-0.11325336812513895,0.03193290583872049,0.0002115229034019,1.30480161524243,27.71089471027213,0.02657163478893252,1175.224199203922,51.096704313214,1179.7696537493764,18.62730091503925
NGC 4472,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.3034675886058797,-0.11241258427232123,0.031544371167207264,0.0002115229034019,1.3032560657024779,27.712181537093844,0.026279460141322757,1149.8625660237594,49.99402460972867,1154.408020569214,18.59966753258655
NGC 4472,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,1.3041932529127278,-0.11332929210500808,0.032062773183595,0.0002115229034019,1.303981730009326,27.711577157982674,0.026696473477529625,1186.1410055999258,51.57134806956199,1190.6864601453804,18.617920545488936
NGC 4472,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.3088016705562704,-0.11069406622150012,0.0304909736336809,0.0002115229034019,1.3085901476528685,27.707746808958028,0.025298336573748026,1066.6470140376114,46.37595713207006,1071.1924685830659,18.653301014927056
NGC 4472,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.3046159323134092,-0.11484540728320197,0.03190366797754743,0.0002115229034019,1.3044044094100073,27.711225278845298,0.026555389676636627,1173.8070204465164,51.03508784550071,1178.352474991971,18.629871306986757
NGC 4472,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_O2024061001-NRCA3_FP1-1,24,1.2989971814763694,-0.11219854700483783,0.0313194812022013,0.0002115229034019,1.2987856585729676,27.715912213355267,0.02618191418346431,1064.004318088029,48.36383264036496,1068.5757466594578,18.77611486148764
NGC 4472,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.297473506410681,-0.11136419853070173,0.030913079258194916,0.0002115229034019,1.2972619835072792,27.71718669641655,0.025872529818870983,1039.3147449881087,47.2415793176413,1043.8861735595374,18.7484779775695
NGC 4472,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.2982512911437636,-0.11228627290454575,0.03151760719788762,0.0002115229034019,1.2980397682403617,27.716535928875608,0.02636268014228931,1078.5583862842936,49.02538119474062,1083.1298148557223,18.76811149702942
NGC 4472,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.3029835411943216,-0.10968784099488053,0.029912186996464057,0.0002115229034019,1.3027720182909197,27.712584869512874,0.024928954513593206,965.7434898801462,43.89743135818846,970.3149184515747,18.80628852238415
NGC 4472,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.298845094840076,-0.11382567526812001,0.031473504621455164,0.0002115229034019,1.2986335719366742,27.71603935953601,0.026313753314705247,1074.6098489566,48.8459022253,1079.1812775280287,18.783561259198436
NGC 4472,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_O2024061001-NRCA3_FP1-1,27,1.3156015109686459,-0.11482421287505401,0.036512366653210705,0.0002115229034019,1.315389988065244,27.70211959452278,0.030137676853617627,1675.560471887576,67.02241887550305,1680.060471887576,18.547901127560298
NGC 4472,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.3140273283212056,-0.11397393676167149,0.03613565334739691,0.0002115229034019,1.3138158054178037,27.70341971891905,0.02986247155808988,1645.6636841706627,65.8265473668265,1650.1636841706627,18.519730113810546
NGC 4472,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.3147232145420535,-0.11489194295175162,0.036514647167814135,0.0002115229034019,1.3145116916386517,27.702844791416396,0.030159697084659213,1677.9631828932954,67.11852731573181,1682.4631828932954,18.536904985393853
