galaxy,k,N_reference,N_p16,N_p84,y3680_x8800,y2656_x8288,y3680_x7776,y2656_x8800
NGC 4486,0.344602671844077,0.1770262964970657,0.17262890165113834,0.1861738853409702,0.1930564834719472,0.17846013486980572,0.16988988341256753,0.1753573106485592
NGC 4486,0.35355339059327384,0.1657495662961582,0.16160426383092993,0.1765882725589962,0.18563302140305066,0.15850932417591598,0.16473350878057114,0.1665454554362261
NGC 4486,0.36250410934247057,0.1579111124354627,0.15340491127592673,0.16363970389930305,0.16666028648498568,0.15130137129259183,0.16014098338541227,0.15547148508084654
NGC 4486,0.3714548280916674,0.14248067130851383,0.13688309468087334,0.15596260266966663,0.16500038863926886,0.13492384463337295,0.13881621506635736,0.1459558677013334
NGC 4486,0.38040554684086425,0.13655997781582102,0.12752940859724093,0.14262736604173523,0.1472158230743958,0.12002809695885579,0.13547937141796565,0.13745918893676257
NGC 4486,0.389356265590061,0.12533097303695112,0.12309870317178369,0.13297417377396467,0.13960953244242003,0.121284659347595,0.12489358981074156,0.12560187669188697
NGC 4486,0.3983069843392578,0.11741247294718535,0.11015869543989217,0.12474870350967587,0.1310559542300532,0.103771488647011,0.11774323800913616,0.11692574661177768
NGC 4486,0.40725770308845466,0.11371650336339635,0.10968763584805263,0.11872525921913862,0.12162281294472202,0.10754229104853678,0.11185998831631931,0.11542196656536327
NGC 4486,0.41620842183765144,0.10477667329383804,0.10169122383012612,0.11074746761137669,0.116101622485629,0.0988576020610131,0.10462027404644358,0.10479389564643335
NGC 4486,0.4251591405868482,0.10120898685783854,0.09758666624252511,0.10606424409166393,0.10888491003987394,0.09576808302307155,0.09942177070061364,0.10286176514760854
NGC 4486,0.43410985933604507,0.09673482720821083,0.0920792314748016,0.10149211558072406,0.10295948323670616,0.09057710930821276,0.09976203608585894,0.09357912357646785
NGC 4486,0.44306057808524185,0.09285570028467001,0.08409748174078432,0.09840211290708636,0.09953235057357951,0.0798832603281937,0.08854652543556765,0.09704153309948406
NGC 4486,0.45201129683443864,0.09156854248139586,0.08689217313884413,0.09180330522773385,0.09188129720980588,0.08259827728323176,0.09159178879148142,0.0914236638937889
NGC 4486,0.4609620155836355,0.0828742053218669,0.07964292232073987,0.09184015243674727,0.09977606069776408,0.07688314225798741,0.08311584238073692,0.08252248484277509
NGC 4486,0.4699127343328323,0.08222372458897263,0.0767313107514168,0.08974677292401893,0.09285426623116257,0.07538643632628891,0.07808208753094954,0.08625614227299419
NGC 4486,0.47886345308202904,0.07729099875191646,0.07634102953489609,0.08572855346351718,0.09313128049186942,0.0775903128219447,0.07573768937716671,0.07688901754364026
NGC 4486,0.4878141718312259,0.08595289781309465,0.0714125289300584,0.1030534137425239,0.1054417655807948,0.07146818165064263,0.07126994694533759,0.10032344106815662
NGC 4486,0.49676489058042267,0.0774794143381235,0.07021889638831867,0.09002927789111324,0.08449637172222625,0.07035953953968183,0.06999938624186093,0.0950215877754689
NGC 4486,0.5057156093296195,0.06826675636924576,0.0663712058739372,0.07512656553173096,0.08116540907790301,0.06796229773647361,0.0684805349405997,0.06481773438083142
NGC 4486,0.5146663280788163,0.06534374159162586,0.06355441712083676,0.07114460514185664,0.07499617280802659,0.06331388758184578,0.06687363312437536,0.0637270526948889
NGC 4486,0.5236170468280131,0.06566130529601583,0.06275274313677136,0.07112806490546651,0.07606525851431399,0.06008647596166,0.06568102100291578,0.06555437039907791
NGC 4486,0.5325677655772099,0.06179896310888999,0.06036423177343808,0.06743889530469145,0.07198820538503471,0.05960918578868973,0.06109867431508108,0.06241716313697543
NGC 4486,0.5415184843264067,0.06015724341072583,0.05802147290100436,0.06670909110158046,0.07188873249759087,0.0592290689700602,0.056832662056544324,0.06100550981390202
NGC 4486,0.5504692030756035,0.05960273985534933,0.05828394855598955,0.063563084964415,0.06615771641425829,0.06066428414049527,0.05804512911687931,0.058462024090580954
NGC 4486,0.5594199218248004,0.0593572282254769,0.05883618941146806,0.05989899924064644,0.059699201322582864,0.06000692327392519,0.05893640976662578,0.058668530953105584
NGC 4486,0.5683706405739971,0.06035719335057879,0.05662896908424966,0.06137145549391753,0.06207722147620121,0.06011225498965663,0.05334130001578025,0.06052195807661404
NGC 4486,0.577321359323194,0.05673417346033837,0.05510992945677985,0.059140223799361784,0.056931671244893324,0.05646131456874518,0.053792108976398856,0.06110335201258116
NGC 4486,0.5862720780723907,0.055962347090913536,0.05391475555645012,0.056672228313344945,0.05659132277070824,0.056674526867996504,0.05525903553607207,0.05260502017203799
NGC 4486,0.5952227968215875,0.0563894898260068,0.0532368391667383,0.06002731186405328,0.06123342944799915,0.05863762672427167,0.05240304915365837,0.05406644967068505
NGC 4486,0.6041735155707844,0.05334308705630512,0.052924872435602614,0.05642188994955314,0.05921994448898071,0.05250849068757486,0.05331259514145276,0.05330272231020321
NGC 4486,0.6131242343199812,0.055221392020729926,0.0519812038853921,0.05815228348545946,0.059407538970204406,0.05365747235841959,0.056711960033037224,0.05036748717468702
NGC 4486,0.6220749530691779,0.052236772591593886,0.051596321867436776,0.05704069160859755,0.060926767517146915,0.05275185076906337,0.05147874263038649,0.05165230729220997
NGC 4486,0.6310256718183748,0.05433590979540996,0.05248423233135456,0.05586892566085451,0.054738573791481934,0.05114627047759355,0.05684096990417669,0.05386107035261233
NGC 4486,0.6399763905675716,0.05560991549540247,0.05396266348486346,0.05717416028471901,0.057692005128335735,0.0546119115013961,0.05653405175611111,0.05329443487692424
