galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1549,outer,no_winsor,0.04,0.04,0.25,5,1.0428300721984354,0.010638221959948069,0.0023656117809744315,0.010898067974067989,-0.07721023463633754,1.0,0.000727478149095,1.0421025940493405,27.954727048816668,0.011354378185916371,25.080465766670372,556.3416754381767,17.807025953775238,0.0019722264121897893,k-window MAD,0.011354378185916371,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,raw_global_3p5,0.01,0.01,0.25,5,1.0200826937656318,0.010583260534620144,0.0023335746612980646,0.01083748006888597,-0.07705974193876378,1.0,0.000727478149095,1.0193552156165369,27.97868936781422,0.011543222910786109,27.77023793311047,698.7559483277618,17.4838526625689,0.002091987529117006,k-window MAD,0.011543222910786109,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,raw_global_3p5,0.03,0.03,0.25,5,1.0187587969115346,0.010823014106030086,0.0025574985936581496,0.011121080585801437,-0.07682344698773583,1.0,0.000727478149095,1.0180313187624397,27.98010039407155,0.011860695840591321,28.247836492356228,654.2456938696478,17.72658550597618,0.002091987529117006,k-window MAD,0.011860695840591321,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,raw_global_3p5,0.04,0.04,0.25,5,1.0172511602971255,0.011008289477871478,0.00236341629763021,0.011259137348150611,-0.07656009635651692,1.0,0.000727478149095,1.0165236821480306,27.981709488890573,0.012025743490205649,28.519907036754294,632.009383380023,17.939612329083786,0.002091987529117006,k-window MAD,0.012025743490205649,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,normalized_full_3p5,0.01,0.01,0.25,5,1.0345811763725523,0.01057508424055274,0.0023512708446052147,0.010833322725714278,-0.0778901826108932,1.0,0.000727478149095,1.0338536982234574,27.963355527188178,0.011376977923809432,26.888935780945168,676.7233945236292,17.455380872470606,0.00209051314160087,k-window MAD,0.011376977923809432,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,normalized_full_3p5,0.03,0.03,0.25,5,1.0332393951928334,0.010803782409694975,0.002578471979478553,0.011107215317305711,-0.07765113355625568,1.0,0.000727478149095,1.0325119170437385,27.96476555898475,0.011679773961903832,27.321861289075187,632.9482641941838,17.697874326925046,0.00209051314160087,k-window MAD,0.011679773961903832,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,normalized_full_3p5,0.04,0.04,0.25,5,1.0317628327866966,0.010997585229732001,0.0023798986764569188,0.011252146399484006,-0.07739314820511664,1.0,0.000727478149095,1.0310353546376017,27.966319347025895,0.011849121053130827,27.62747451310622,612.3758678597653,17.91156942787963,0.00209051314160087,k-window MAD,0.011849121053130827,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,normalized_union_3p5,0.01,0.01,0.25,5,1.0394084438331164,0.010458411315749669,0.002349017432961912,0.010718966841527204,-0.07789211062957503,1.0,0.000727478149095,1.0386809656840215,27.958297808616805,0.011204566909324093,25.973329219242043,653.833230481051,17.41763312392213,0.0020479080491610105,k-window MAD,0.011204566909324093,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,normalized_union_3p5,0.03,0.03,0.25,5,1.0380878536013416,0.010678314875970965,0.0025780421614092215,0.01098511310712759,-0.07765681638447328,1.0,0.000727478149095,1.0373603754522467,27.959679103672222,0.01149738827123779,26.364227754940547,610.9226929090871,17.660345117804624,0.0020479080491610105,k-window MAD,0.01149738827123779,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,normalized_union_3p5,0.04,0.04,0.25,5,1.036633255921934,0.010872550225686796,0.0023771646706825414,0.011129387237472836,-0.0774025589949586,1.0,0.000727478149095,1.035905777772839,27.961202602833744,0.011664746852244215,26.668961069025183,591.2885720899826,17.874438002896106,0.0020479080491610105,k-window MAD,0.011664746852244215,"max(fit covariance + PSF MAD, k-window MAD)"
