galaxy,environment,branch,branch_label,mu_sbf_mag,sigma_mu_internal_mag,sigma_mu_absolute_mag,distance_sbf_mpc,sigma_distance_internal_mpc,sigma_distance_absolute_mpc,mu_trgb_mag,sigma_mu_trgb_mag,distance_trgb_mpc,sigma_distance_trgb_mpc,delta_distance_sbf_minus_trgb_mpc,zero_point_loo_mag,intrinsic_scatter_loo_mag,calibration_sigma_loo_mag,target_sbf_sigma_mag
NGC 4406,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.055323874439548,0.08889084604849448,0.1005513923882566,16.25791223927176,0.66552978872662,0.7528328270811557,31.096,0.025,16.565326493180184,0.19071536921888013,-0.3074142539084228,-3.2057759135077375,0.08355466585504857,0.02461792096007432,0.01772451107003694
NGC 4406,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",31.030549617246663,0.09088257123124532,0.10231638067094818,16.07348034331147,0.6727229025951336,0.7573572320357614,31.096,0.025,16.565326493180184,0.19071536921888013,-0.49184614986871367,-3.167403214400645,0.08552245583272457,0.02513851254826082,0.017708938104894618
NGC 4472,Virgo,no_winsor,Без винзорирования,30.918190914002373,0.08657071861737722,0.09850629077337703,15.262939501891292,0.6084920237078376,0.6923852912156968,31.016,0.027,15.966142459934131,0.19852236875266352,-0.7032029580428389,-3.2106945390208836,0.08018390479115019,0.02289007856410338,0.02326101970469138
NGC 4472,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",30.91341738416826,0.0865008834919234,0.09844492290048942,15.229423960214449,0.606666067622331,0.6904345001169825,31.016,0.027,15.966142459934131,0.19852236875266352,-0.7367184997196823,-3.200660671395117,0.07953472081994999,0.02466712379546627,0.023412903122745465
NGC 4472,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",30.912390705689724,0.0866859068204175,0.0986075374465771,15.222225146162286,0.607676332813088,0.6912480810450685,31.016,0.027,15.966142459934131,0.19852236875266352,-0.7439173137718456,-3.201458006240541,0.07971812158100473,0.02474060945281664,0.023395935048154272
NGC 4472,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",30.929436923491654,0.09051190584297361,0.10198727910542235,15.342190985139359,0.6394973934673217,0.7205748077815431,31.016,0.027,15.966142459934131,0.19852236875266352,-0.6239514747947723,-3.1661228146274065,0.08425389850077816,0.023196312306872913,0.023571524815121904
NGC 4486,Virgo,no_winsor,Без винзорирования,31.0168274546791,0.0995799505823466,0.11011433402596862,15.972227628996686,0.7324585986058194,0.809944073233677,31.046,0.025,16.18825362642106,0.18637415740901966,-0.21602599742437256,-3.2158772033037413,0.08327012164422272,0.025091782121415322,0.048504184039218357
NGC 4486,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.013485716359384,0.09947592456289417,0.11002026889461147,15.947666434566072,0.7305682799591728,0.8080077562502374,31.046,0.025,16.18825362642106,0.18637415740901966,-0.24058719185498667,-3.2059855637870815,0.08297650647660305,0.025855268381271328,0.048392809770804734
NGC 4486,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.012762683465475,0.09944454499902385,0.1099918975655156,15.942357240723522,0.730094683712247,0.8075304649922552,31.046,0.025,16.18825362642106,0.18637415740901966,-0.24589638569753625,-3.206813406854803,0.08322346259747901,0.024896300216909587,0.04840709698854496
NGC 4486,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",31.050619282224197,0.1028445283157877,0.1130751829735281,16.222726873462513,0.768335202411704,0.844766805006283,31.046,0.025,16.18825362642106,0.18637415740901966,0.03447324704145416,-3.1724491558606487,0.08660589991010337,0.027287730847289044,0.048288661717466624
