galaxy,ring,branch,space,sigma,threshold_median,threshold_scale,threshold_n_pixels,lower,upper,changed_pixels,changed_fraction,subtracted_mean,n_use
NGC 1399,outer,normalized_full_3p5,normalized_full,3.5,-0.021341877684444,0.1899524306600548,3620940.0,-0.6861753849946359,0.6434916296257478,4515,0.0019458590051682,-0.0068383878404475,2320312
NGC 1399,outer,normalized_union_3p5,normalized_union,3.5,-0.020116413044063,0.1898053851532581,2968234.0,-0.6844352610804666,0.6442024349923404,4487,0.0019337916625005,-0.0068370088191975,2320312
NGC 1404,inner,no_winsor,none,,,,,,,0,0.0,-6.665035908822569e-05,648827
NGC 1404,inner,raw_global_3p5,raw,3.5,-0.0659154132008552,0.5907537341117859,3497155.0,-2.133553482592106,2.0017226561903954,24140,0.0372056033426475,-0.0025410930230283,648827
NGC 1404,inner,normalized_full_3p5,normalized_full,3.5,-0.0261724520777845,0.2019911029289736,3497155.0,-0.7331413123291926,0.6807964081736233,1878,0.0028944541457121,-0.0004743761064286,648827
NGC 1404,inner,normalized_union_3p5,normalized_union,3.5,-0.0260546866308959,0.2023302505051999,2965966.0,-0.7342105633990959,0.682101190137304,1855,0.0028590055592631,-0.0004706397584421,648827
NGC 1404,outer,no_winsor,none,,,,,,,0,0.0,-0.0094695640852258,2317139
NGC 1404,outer,raw_global_3p5,raw,3.5,-0.0659154132008552,0.5907537341117859,3497155.0,-2.133553482592106,2.0017226561903954,2360,0.0010184973797428,-0.0095643392843093,2317139
NGC 1404,outer,normalized_full_3p5,normalized_full,3.5,-0.0261724520777845,0.2019911029289736,3497155.0,-0.7331413123291926,0.6807964081736233,5230,0.0022570937695149,-0.009667042507808,2317139
NGC 1404,outer,normalized_union_3p5,normalized_union,3.5,-0.0260546866308959,0.2023302505051999,2965966.0,-0.7342105633990959,0.682101190137304,5165,0.0022290419349033,-0.0096641143752712,2317139
NGC 1549,inner,no_winsor,none,,,,,,,0,0.0,0.0006221199209688,647566
NGC 1549,inner,raw_global_3p5,raw,3.5,-0.1175243109464645,0.462071031332016,6219490.0,-1.7347729206085205,1.4997242987155914,54223,0.0837335499393112,-0.006911643972506,647566
NGC 1549,inner,normalized_full_3p5,normalized_full,3.5,-0.0648667961254624,0.2172851695010228,6219490.0,-0.8253648893790424,0.6956312971281173,4531,0.0069969701929996,-0.0002807533692736,647566
NGC 1549,inner,normalized_union_3p5,normalized_union,3.5,-0.0419919569984529,0.2287203986596495,2602597.0,-0.8425133523072263,0.7585294383103205,2726,0.004209609522427,6.412999642907014e-05,647566
NGC 1549,outer,no_winsor,none,,,,,,,0,0.0,-0.0226794771060721,1955031
NGC 1549,outer,raw_global_3p5,raw,3.5,-0.1175243109464645,0.462071031332016,6219490.0,-1.7347729206085205,1.4997242987155914,20159,0.0103113454466962,-0.0238807230074931,1955031
NGC 1549,outer,normalized_full_3p5,normalized_full,3.5,-0.0648667961254624,0.2172851695010228,6219490.0,-0.8253648893790424,0.6956312971281173,9863,0.005044932791347,-0.023233895597577,1955031
NGC 1549,outer,normalized_union_3p5,normalized_union,3.5,-0.0419919569984529,0.2287203986596495,2602597.0,-0.8425133523072263,0.7585294383103205,5670,0.0029002097664947,-0.0229896811805871,1955031
NGC 3379,inner,no_winsor,none,,,,,,,0,0.0,-0.0010814220303516,646663
NGC 3379,inner,raw_global_3p5,raw,3.5,-0.2476390749216079,1.1301071643829346,3481020.0,-4.203014150261879,3.707736000418663,27899,0.0431430281305718,-0.0083937710184382,646663
NGC 3379,inner,normalized_full_3p5,normalized_full,3.5,-0.0866081021114215,0.3447128969221775,3481020.0,-1.2931032413390429,1.1198870371161995,4610,0.0071289064010156,-0.0025054998666866,646663
NGC 3379,inner,normalized_union_3p5,normalized_union,3.5,-0.0856329907167819,0.348142886940749,2559616.0,-1.3041330950094037,1.1328671135758397,4352,0.0067299350666421,-0.0024155933814564,646663
NGC 3379,outer,no_winsor,none,,,,,,,0,0.0,-0.0504934239457149,1912953
NGC 3379,outer,raw_global_3p5,raw,3.5,-0.2476390749216079,1.1301071643829346,3481020.0,-4.203014150261879,3.707736000418663,3535,0.0018479283077001,-0.0508165513945422,1912953
NGC 3379,outer,normalized_full_3p5,normalized_full,3.5,-0.0866081021114215,0.3447128969221775,3481020.0,-1.2931032413390429,1.1198870371161995,6648,0.0034752552728687,-0.0510795014944262,1912953
NGC 3379,outer,normalized_union_3p5,normalized_union,3.5,-0.0856329907167819,0.348142886940749,2559616.0,-1.3041330950094037,1.1328671135758397,6193,0.0032374031144518,-0.0510359708330535,1912953
NGC 4374,inner,no_winsor,none,,,,,,,0,0.0,0.0005303190744632,649045
NGC 4374,inner,raw_global_3p5,raw,3.5,-0.0864256173372268,0.7725543975830078,3389564.0,-2.790366008877754,2.6175147742033005,14688,0.0226301720219707,-0.0011977052748344,649045
NGC 4374,inner,normalized_full_3p5,normalized_full,3.5,-0.0279729175858926,0.2276121364147507,3389564.0,-0.8246153950375201,0.7686695598657347,1526,0.0023511466847445,0.0002219492513206,649045
NGC 4374,inner,normalized_union_3p5,normalized_union,3.5,-0.0248010050325443,0.2259235719558619,2776788.0,-0.8155335068780613,0.7659314968129726,1568,0.0024158571439576,0.0002154615542561,649045
NGC 4374,outer,no_winsor,none,,,,,,,0,0.0,-0.0086914990995674,2127743
NGC 4374,outer,raw_global_3p5,raw,3.5,-0.0864256173372268,0.7725543975830078,3389564.0,-2.790366008877754,2.6175147742033005,1784,0.0008384471244882,-0.0087687188061031,2127743
NGC 4374,outer,normalized_full_3p5,normalized_full,3.5,-0.0279729175858926,0.2276121364147507,3389564.0,-0.8246153950375201,0.7686695598657347,3669,0.0017243623877507,-0.0088436659672836,2127743
NGC 4374,outer,normalized_union_3p5,normalized_union,3.5,-0.0248010050325443,0.2259235719558619,2776788.0,-0.8155335068780613,0.7659314968129726,3787,0.0017798202132494,-0.0088484689810066,2127743
NGC 4406,inner,no_winsor,none,,,,,,,0,0.0,-0.0111397032383355,648589
NGC 4406,inner,raw_global_3p5,raw,3.5,-0.1012504324316978,0.7836188673973083,3341523.0,-2.843916468322277,2.6414156034588814,9907,0.0152746963022807,-0.0126385540660657,648589
NGC 4406,inner,normalized_full_3p5,normalized_full,3.5,-0.0341461265307459,0.2453144341931256,3341523.0,-0.8927466462066858,0.824454393145194,1441,0.0022217459747235,-0.0114129713519032,648589
NGC 4406,inner,normalized_union_3p5,normalized_union,3.5,-0.044347861389388,0.2462445581882443,2704896.0,-0.9062038150482432,0.8175080922694672,1536,0.0023682177773597,-0.0114289004400117,648589
NGC 4406,outer,no_winsor,none,,,,,,,0,0.0,-0.0301399994315092,2056307
NGC 4406,outer,raw_global_3p5,raw,3.5,-0.1012504324316978,0.7836188673973083,3341523.0,-2.843916468322277,2.6414156034588814,1720,0.0008364509774075,-0.0302233063225628,2056307
NGC 4406,outer,normalized_full_3p5,normalized_full,3.5,-0.0341461265307459,0.2453144341931256,3341523.0,-0.8927466462066858,0.824454393145194,2914,0.0014171035745148,-0.0302737102471295,2056307
NGC 4406,outer,normalized_union_3p5,normalized_union,3.5,-0.044347861389388,0.2462445581882443,2704896.0,-0.9062038150482432,0.8175080922694672,3124,0.0015192284031518,-0.030283910407286,2056307
NGC 4472,inner,no_winsor,none,,,,,,,0,0.0,-0.017913357362683,647349
NGC 4472,inner,raw_global_3p5,raw,3.5,-0.186764657497406,1.231897473335266,4975695.0,-4.498405814170837,4.124876499176025,21054,0.032523414726832,-0.0201489539698693,647349
NGC 4472,inner,normalized_full_3p5,normalized_full,3.5,-0.0596662355488955,0.3120851999298519,4975695.0,-1.151964435303377,1.032631964205586,1007,0.0015555751225382,-0.0181262108817251,647349
NGC 4472,inner,normalized_union_3p5,normalized_union,3.5,-0.0649852287009954,0.3374022139585437,2872182.0,-1.2458929775558982,1.1159225201539076,482,0.0007445751827839,-0.0180341299683539,647349
NGC 4472,outer,no_winsor,none,,,,,,,0,0.0,-0.0644545866568002,2224833
NGC 4472,outer,raw_global_3p5,raw,3.5,-0.186764657497406,1.231897473335266,4975695.0,-4.498405814170837,4.124876499176025,1734,0.0007793843403077,-0.0645166463037264,2224833
NGC 4472,outer,normalized_full_3p5,normalized_full,3.5,-0.0596662355488955,0.3120851999298519,4975695.0,-1.151964435303377,1.032631964205586,546,0.0002454116780899,-0.064473282874833,2224833
NGC 4472,outer,normalized_union_3p5,normalized_union,3.5,-0.0649852287009954,0.3374022139585437,2872182.0,-1.2458929775558982,1.1159225201539076,193,8.674808401349674e-05,-0.0644608410570007,2224833
NGC 4486,inner,no_winsor,none,,,,,,,0,0.0,0.0037771441151016,640239
NGC 4486,inner,raw_global_3p5,raw,3.5,-0.1175181791186332,0.9434409141540528,6059514.0,-3.419561378657818,3.1845250204205513,38184,0.059640228102318,-0.0006790065989428,640239
NGC 4486,inner,normalized_full_3p5,normalized_full,3.5,-0.0423748360468222,0.288902626514441,6059514.0,-1.0535340288473658,0.9687843567537214,1959,0.0030597948578577,0.0030880965832615,640239
NGC 4486,inner,normalized_union_3p5,normalized_union,3.5,-0.027484674893115,0.3019801713849567,2710747.0,-1.0844152747404634,1.0294459249542334,1401,0.0021882453271356,0.0032455450568282,640239
NGC 4486,outer,no_winsor,none,,,,,,,0,0.0,-0.0253201834468763,2070508
NGC 4486,outer,raw_global_3p5,raw,3.5,-0.1175181791186332,0.9434409141540528,6059514.0,-3.419561378657818,3.1845250204205513,4611,0.0022269897049419,-0.0254699552178841,2070508
NGC 4486,outer,normalized_full_3p5,normalized_full,3.5,-0.0423748360468222,0.288902626514441,6059514.0,-1.0535340288473658,0.9687843567537214,919,0.0004438524265542,-0.02535375609756,2070508
NGC 4486,outer,normalized_union_3p5,normalized_union,3.5,-0.027484674893115,0.3019801713849567,2710747.0,-1.0844152747404634,1.0294459249542334,431,0.000208161475348,-0.0253348994193273,2070508
NGC 4552,inner,no_winsor,none,,,,,,,0,0.0,-0.0069784066185311,647211
NGC 4552,inner,raw_global_3p5,raw,3.5,-0.122691310942173,0.6519086360931396,3543347.0,-2.4043715372681618,2.158988915383816,24990,0.0386118282909283,-0.010331238022859,647211
NGC 4552,inner,normalized_full_3p5,normalized_full,3.5,-0.0508295471420872,0.2354357129221644,3543347.0,-0.8748545423696626,0.7731954480854882,2839,0.0043865138262483,-0.0075662195330768,647211
NGC 4552,inner,normalized_union_3p5,normalized_union,3.5,-0.0495739989749868,0.2370762826134072,2677287.0,-0.8793409881219123,0.7801929901719387,2676,0.0041346639658473,-0.0075365564080109,647211
NGC 4552,outer,no_winsor,none,,,,,,,0,0.0,-0.0300254371440425,2030076
NGC 4552,outer,raw_global_3p5,raw,3.5,-0.122691310942173,0.6519086360931396,3543347.0,-2.4043715372681618,2.158988915383816,2678,0.0013191624352979,-0.0301687178610356,2030076
NGC 4552,outer,normalized_full_3p5,normalized_full,3.5,-0.0508295471420872,0.2354357129221644,3543347.0,-0.8748545423696626,0.7731954480854882,5217,0.0025698545276137,-0.0302943410421481,2030076
NGC 4552,outer,normalized_union_3p5,normalized_union,3.5,-0.0495739989749868,0.2370762826134072,2677287.0,-0.8793409881219123,0.7801929901719387,4886,0.0024068064446848,-0.0302769302531298,2030076
NGC 4621,inner,no_winsor,none,,,,,,,0,0.0,-0.0020288301481357,646004
NGC 4621,inner,raw_global_3p5,raw,3.5,-0.1213749945163726,0.663286030292511,3966840.0,-2.442876100540161,2.200126111507416,29251,0.0452799053875827,-0.0072196267684327,646004
NGC 4621,inner,normalized_full_3p5,normalized_full,3.5,-0.0536895482790126,0.256114278805628,3966840.0,-0.9500895240987108,0.8427104275406855,3601,0.0055742688899759,-0.0027834177021732,646004
NGC 4621,inner,normalized_union_3p5,normalized_union,3.5,-0.0461148578807941,0.2566018292711558,2644656.0,-0.9442212603298394,0.8519915445682513,3359,0.0051996582064507,-0.0027333809751551,646004
NGC 4621,outer,no_winsor,none,,,,,,,0,0.0,-0.0199293754017746,1998652
NGC 4621,outer,raw_global_3p5,raw,3.5,-0.1213749945163726,0.663286030292511,3966840.0,-2.442876100540161,2.200126111507416,7526,0.0037655379725935,-0.0204362255417544,1998652
NGC 4621,outer,normalized_full_3p5,normalized_full,3.5,-0.0536895482790126,0.256114278805628,3966840.0,-0.9500895240987108,0.8427104275406855,6321,0.0031626316137076,-0.0203236749575876,1998652
NGC 4621,outer,normalized_union_3p5,normalized_union,3.5,-0.0461148578807941,0.2566018292711558,2644656.0,-0.9442212603298394,0.8519915445682513,5894,0.0029489876176542,-0.0202952787345716,1998652
NGC 4636,inner,no_winsor,none,,,,,,,0,0.0,-0.0073097865758144,644873
NGC 4636,inner,raw_global_3p5,raw,3.5,-0.1401556432247162,0.5901067852973938,4798823.0,-2.2055293917655945,1.925218105316162,24574,0.0381067279914029,-0.0111875777438481,644873
NGC 4636,inner,normalized_full_3p5,normalized_full,3.5,-0.0650851430378681,0.2451760783216373,4798823.0,-0.9232014171635988,0.7930311310878624,2144,0.0033246856357763,-0.0077605644561968,644873
NGC 4636,inner,normalized_union_3p5,normalized_union,3.5,-0.0523703499158694,0.2500874761919474,2580625.0,-0.9276765165876856,0.8229358167559466,1699,0.0026346272832014,-0.0076724020877574,644873
NGC 4636,outer,no_winsor,none,,,,,,,0,0.0,-0.0423824614065389,1935752
NGC 4636,outer,raw_global_3p5,raw,3.5,-0.1401556432247162,0.5901067852973938,4798823.0,-2.2055293917655945,1.925218105316162,4995,0.0025803925296215,-0.0426439057625849,1935752
NGC 4636,outer,normalized_full_3p5,normalized_full,3.5,-0.0650851430378681,0.2451760783216373,4798823.0,-0.9232014171635988,0.7930311310878624,3289,0.0016990812872723,-0.0425394989770404,1935752
NGC 4636,outer,normalized_union_3p5,normalized_union,3.5,-0.0523703499158694,0.2500874761919474,2580625.0,-0.9276765165876856,0.8229358167559466,2432,0.0012563592856936,-0.0424955006996268,1935752
NGC 4649,inner,no_winsor,none,,,,,,,0,0.0,-0.0115093590877874,648340
NGC 4649,inner,raw_global_3p5,raw,3.5,-0.166276142001152,0.9002681970596313,5874095.0,-3.3172148317098618,2.9846625477075577,51111,0.0788336366721164,-0.0154287847624966,648340
NGC 4649,inner,normalized_full_3p5,normalized_full,3.5,-0.0599198248844801,0.2769730829253512,5874095.0,-1.0293256151232095,0.9094859653542492,1245,0.0019202887373908,-0.0117799274923221,648340
NGC 4649,inner,normalized_union_3p5,normalized_union,3.5,-0.0349482470867336,0.2855357376335257,2836840.0,-1.0343233288040738,0.9644268346306064,772,0.0011907332572415,-0.0116983452333533,648340
NGC 4649,outer,no_winsor,none,,,,,,,0,0.0,-0.0312722236190339,2188500
NGC 4649,outer,raw_global_3p5,raw,3.5,-0.166276142001152,0.9002681970596313,5874095.0,-3.3172148317098618,2.9846625477075577,7767,0.0035490061686086,-0.0316147400430639,2188500
NGC 4649,outer,normalized_full_3p5,normalized_full,3.5,-0.0599198248844801,0.2769730829253512,5874095.0,-1.0293256151232095,0.9094859653542492,1250,0.0005711674663011,-0.0313185510779843,2188500
NGC 4649,outer,normalized_union_3p5,normalized_union,3.5,-0.0349482470867336,0.2855357376335257,2836840.0,-1.0343233288040738,0.9644268346306064,655,0.0002992917523417,-0.0312954535615402,2188500
NGC 4697,inner,no_winsor,none,,,,,,,0,0.0,-0.0064876783175488,641571
NGC 4697,inner,raw_global_3p5,raw,3.5,-0.2139985412359237,1.1029263734817505,3143226.0,-4.0742408484220505,3.646243765950203,16639,0.0259347757301997,-0.0113374810778669,641571
NGC 4697,inner,normalized_full_3p5,normalized_full,3.5,-0.0727051350581898,0.3374818694875642,3143226.0,-1.2538916782646647,1.1084814081482852,3975,0.0061957289216626,-0.0077030713132384,641571
NGC 4697,inner,normalized_union_3p5,normalized_union,3.5,-0.084001673718333,0.3378935848817155,2295601.0,-1.2666292208043373,1.098625873367671,4176,0.0065090223841164,-0.0077657305264484,641571
NGC 4697,outer,no_winsor,none,,,,,,,0,0.0,-0.0511139340959788,1654030
NGC 4697,outer,raw_global_3p5,raw,3.5,-0.2139985412359237,1.1029263734817505,3143226.0,-4.0742408484220505,3.646243765950203,4054,0.0024509833558037,-0.0515490724789326,1654030
NGC 4697,outer,normalized_full_3p5,normalized_full,3.5,-0.0727051350581898,0.3374818694875642,3143226.0,-1.2538916782646647,1.1084814081482852,5582,0.0033747876398856,-0.0516802143103589,1654030
NGC 4697,outer,normalized_union_3p5,normalized_union,3.5,-0.084001673718333,0.3378935848817155,2295601.0,-1.2666292208043373,1.098625873367671,5923,0.0035809507687284,-0.0517144922740145,1654030
