galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 3379,normalized_full_3p5,0.01,26.82861336700144,0.0193960719128927,0.0193960719128927,"max(fit covariance + PSF MAD, k-window MAD)",27.102603767648137,0.0118304151149679,0.0118304151149679,"max(fit covariance + PSF MAD, k-window MAD)",27.028311152614695,0.0100999432748004,0.2739904006466958,0.1369952003233479,0.1369952003233479
NGC 3379,normalized_full_3p5,0.03,26.830838602249663,0.0202793071395257,0.0202793071395257,"max(fit covariance + PSF MAD, k-window MAD)",27.10343158698636,0.0123927684680235,0.0123927684680235,"max(fit covariance + PSF MAD, k-window MAD)",27.029312029809994,0.0105745570208011,0.272592984736697,0.1362964923683485,0.1362964923683485
NGC 3379,normalized_full_3p5,0.04,26.83539446460574,0.0196373041879843,0.0196373041879843,"max(fit covariance + PSF MAD, k-window MAD)",27.10468141370154,0.0128045664196868,0.0128045664196868,"max(fit covariance + PSF MAD, k-window MAD)",27.024344778597968,0.0107258330608412,0.2692869490958003,0.1346434745479001,0.1346434745479001
NGC 3379,normalized_union_3p5,0.01,26.827132918552,0.0193734966172635,0.0193734966172635,"max(fit covariance + PSF MAD, k-window MAD)",27.102000217421903,0.0118112667910203,0.0118112667910203,"max(fit covariance + PSF MAD, k-window MAD)",27.02751928477692,0.0100848403410326,0.2748672988699034,0.1374336494349517,0.1374336494349517
NGC 3379,normalized_union_3p5,0.03,26.829352074248447,0.0202563330864658,0.0202563330864658,"max(fit covariance + PSF MAD, k-window MAD)",27.102822990286462,0.0123728792382082,0.0123728792382082,"max(fit covariance + PSF MAD, k-window MAD)",27.02851588837239,0.0105589423524646,0.2734709160380184,0.1367354580190092,0.1367354580190092
NGC 3379,normalized_union_3p5,0.04,26.8339048929508,0.0196139621009323,0.0196139621009323,"max(fit covariance + PSF MAD, k-window MAD)",27.104069121557693,0.012784564332593,0.012784564332593,"max(fit covariance + PSF MAD, k-window MAD)",27.0235130577881,0.0107102726731195,0.2701642286068946,0.1350821143034473,0.1350821143034473
NGC 4374,no_winsor,0.01,27.888035192927937,0.0211261371747676,0.0211261371747676,"max(fit covariance + PSF MAD, k-window MAD)",27.99397208017955,0.0161045966289779,0.0161045966289779,"max(fit covariance + PSF MAD, k-window MAD)",27.955036719047904,0.012807624759559,0.1059368872516159,0.0529684436258079,0.0529684436258079
NGC 4374,no_winsor,0.03,27.89196005414613,0.0215399291816907,0.0215399291816907,"max(fit covariance + PSF MAD, k-window MAD)",27.996505415910967,0.01672320173901,0.01672320173901,"max(fit covariance + PSF MAD, k-window MAD)",27.957188053607787,0.013209429868502,0.1045453617648384,0.0522726808824192,0.0522726808824192
NGC 4374,no_winsor,0.04,27.895818124162822,0.021566491774526,0.021566491774526,"max(fit covariance + PSF MAD, k-window MAD)",27.99926276297607,0.0168734935508247,0.0168734935508247,"max(fit covariance + PSF MAD, k-window MAD)",27.959984149440825,0.0132893452736975,0.1034446388132472,0.0517223194066236,0.0517223194066236
NGC 4374,raw_global_3p5,0.01,27.950723171294168,0.0214620367507445,0.0214620367507445,"max(fit covariance + PSF MAD, k-window MAD)",27.996150498770984,0.0161389855637018,0.0161389855637018,"max(fit covariance + PSF MAD, k-window MAD)",27.979741478007373,0.0128989296050314,0.0454273274768155,0.0227136637384077,0.0227136637384077
