galaxy,ring,requested_kmin,production_P0,recreated_P0,relative_P0_difference,production_P1,recreated_P1,relative_P1_difference,production_mbar,recreated_mbar,delta_mbar,passed
NGC 4472,inner,0.01,1.2304161071424389,1.230416138029011,2.5102542045019053e-08,-0.1071732038585537,-0.1071732009183738,2.74339080663423e-08,27.774812571791703,27.77481254453228,-2.7259424939529712e-08,True
NGC 4472,inner,0.03,1.223303054447347,1.2233030851755804,2.5119068602919018e-08,-0.1059081061400505,-0.1059081032137459,2.7630600792201632e-08,27.78110852638808,27.78110849911068,-2.7277401670744442e-08,True
NGC 4472,inner,0.04,1.217907606964752,1.21790763764488,2.5190849850531553e-08,-0.1049215255445322,-0.1049215226101649,2.796725667186632e-08,27.78590865088641,27.785908623531043,-2.7355365972425716e-08,True
NGC 4472,outer,0.01,1.2818398576780945,1.2818398532085526,-3.4868176124192023e-09,-0.1117519123659278,-0.1117519137915576,-1.2757095413104384e-08,27.730401028071768,27.730401031858335,3.786567503993865e-09,True
NGC 4472,outer,0.03,1.271758989040645,1.271758984608648,-3.484934674169437e-09,-0.1099643537379045,-0.1099643551462815,-1.2807578273076061e-08,27.73897523637475,27.738975240159274,3.784524693628555e-09,True
NGC 4472,outer,0.04,1.26294328075327,1.2629432763595485,-3.478953902735782e-09,-0.1084186192000418,-0.1084186205847419,-1.27717931125154e-08,27.74652927476084,27.74652927853888,3.778040991164744e-09,True
NGC 4486,inner,0.01,1.0892442013831398,1.0892442028107898,1.3106795648809564e-09,-0.0922756274315744,-0.0922756282037561,-8.368209443237482e-09,27.909290739464847,27.90929073803872,-1.4261267722304183e-09,True
NGC 4486,inner,0.03,1.0824305918626027,1.0824305932724654,1.3024969991448643e-09,-0.0910783722829863,-0.0910783730542201,-8.467804237931519e-09,27.916118511427136,27.91611851000989,-1.417244988033417e-09,True
NGC 4486,inner,0.04,1.0780960682458385,1.0780960696166284,1.2714913566469475e-09,-0.0902762448625097,-0.0902762456493571,-8.715996655675665e-09,27.92048449718744,27.92048449580392,-1.3835226297942427e-09,True
NGC 4486,outer,0.01,1.1596289962060673,1.1596289974311698,1.0564606967022883e-09,-0.0953868889914116,-0.0953868934564376,-4.6809641287525475e-08,27.838980799033585,27.838980797886528,-1.14705756004696e-09,True
NGC 4486,outer,0.03,1.1526470902514383,1.152647091456016,1.0450533771688695e-09,-0.0941577956083083,-0.0941578000441689,-4.711092262309469e-08,27.845537685499533,27.845537684364864,-1.1346692474489828e-09,True
NGC 4486,outer,0.04,1.1460162507898544,1.1460162519652284,1.025617146765967e-09,-0.0929965290435375,-0.0929965334500044,-4.7383133548415916e-08,27.85180175302967,27.8518017519161,-1.1135696809105864e-09,True
NGC 4552,inner,0.01,1.172198247417766,1.1721982685134391,1.799667703750174e-08,-0.0992910201718496,-0.0992910189195659,1.2612254860595302e-08,27.82728723783958,27.82728721829938,-1.95402023450697e-08,True
NGC 4552,inner,0.03,1.1662563091256597,1.1662563300632969,1.7952860531522674e-08,-0.0982417425451924,-0.0982417458230541,-3.3365264572083015e-08,27.83280504998816,27.83280503049553,-1.9492631508910563e-08,True
NGC 4552,inner,0.04,1.163731916387786,1.1637319372118444,1.7894205894819493e-08,-0.0977339866740454,-0.0977339899669076,-3.3692089994238446e-08,27.83515776966476,27.835157750235812,-1.9428949116218064e-08,True
NGC 4552,outer,0.01,1.085295881293884,1.085295867538017,-1.2674761906694698e-08,-0.0818902450975114,-0.0818902493624461,-5.208110797562105e-08,27.91654577102232,27.91654578485566,1.3833339806978984e-08,True
NGC 4552,outer,0.03,1.0827236841272916,1.0827236703558187,-1.2719286623941173e-08,-0.0814349098089017,-0.0814349140543216,-5.213267801526302e-08,27.919135541039225,27.919135554921333,1.3882107907647878e-08,True
NGC 4552,outer,0.04,1.0809264787180275,1.0809264649193673,-1.2765586254737116e-08,-0.0811353886307428,-0.0811353851863639,4.2452238457054967e-08,27.920948697567056,27.920948711499815,1.3932758946566537e-08,True
NGC 4621,inner,0.01,1.3581563373023136,1.3581563569489217,1.446564557028296e-08,-0.1182359922301863,-0.1182359882598419,3.3579828528284554e-08,27.66737064353208,27.667370627826035,-1.5706046241348304e-08,True
NGC 4621,inner,0.03,1.3496769308184953,1.3496769503995227,1.4507936629826192e-08,-0.1167082781847675,-0.1167082742761147,3.3490793155293494e-08,27.674170567049448,27.67417055129748,-1.57519650656468e-08,True
NGC 4621,inner,0.04,1.343502360620855,1.3435023801374664,1.4526666980430036e-08,-0.1155722016392248,-0.1155721977778784,3.3410684274656686e-08,27.67914909931363,27.67914908354133,-1.5772304351457933e-08,True
NGC 4621,outer,0.01,1.2646188261733806,1.2646188542573538,2.2207460981249483e-08,-0.0982213698365875,-0.0982213674902547,2.388821016482789e-08,27.74791519318141,27.747915169001445,-2.4179964697168543e-08,True
NGC 4621,outer,0.03,1.2620682156833176,1.2620682439259694,2.2378070729800473e-08,-0.0977459692520275,-0.0977459668886844,2.417841935832087e-08,27.750113462199927,27.75011343783406,-2.4365867545839137e-08,True
NGC 4621,outer,0.04,1.2610316362657783,1.261031664700558,2.2548823475077032e-08,-0.0975881396354962,-0.0975881372612928,2.4328810129208452e-08,27.751008122006127,27.75100809745428,-2.4551848554210665e-08,True
NGC 4636,inner,0.01,1.0807497117512954,1.0807497243867392,1.1691369206090485e-08,-0.0929665161796293,-0.092966511516049,5.0164085262600816e-08,27.915456495966616,27.91545648327213,-1.2694485462816374e-08,True
NGC 4636,inner,0.03,1.074395424073194,1.0743954365853434,1.1645758135614416e-08,-0.0918350575139566,-0.0918350528731389,5.0534271051851855e-08,27.921859317188524,27.92185930454356,-1.2644964186847574e-08,True
NGC 4636,inner,0.04,1.0695764049288312,1.0695764173168332,1.1582157011247318e-08,-0.0909673667170264,-0.0909673620935043,5.082616112031321e-08,27.926740445317797,27.926740432741887,-1.2575910091072728e-08,True
NGC 4636,outer,0.01,1.0581071054496405,1.0581071239494289,1.74838523658849e-08,-0.0847610250286079,-0.0847610247198239,3.6429944394286572e-09,27.93920697624486,27.939206957247578,-1.899728374610277e-08,True
NGC 4636,outer,0.03,1.0526122286497983,1.0526122470891948,1.751774858504973e-08,-0.0837703859282327,-0.0837703856099848,3.799049523497805e-09,27.944864334741943,27.94486431570775,-1.9034189335798143e-08,True
NGC 4636,outer,0.04,1.0489094344368712,1.0489094528509526,1.755545397941205e-08,-0.0831296738718818,-0.0831296735430317,3.955868667066134e-09,27.94869331255931,27.9486932934841,-1.9075208967933577e-08,True
NGC 4649,inner,0.01,0.9804935849761692,0.9804935630129408,-2.240017571430997e-08,-0.0854075511678613,-0.0854075510576942,1.2898986363903e-09,28.021481298351343,28.02148132267951,2.4328166148279703e-08,True
NGC 4649,inner,0.03,0.9755093292952276,0.9755093074411644,-2.2402720900593923e-08,-0.0845303632391032,-0.0845303631374739,1.2022816216767994e-09,28.02701632916899,28.02701635349996,2.4330969239372283e-08,True
NGC 4649,inner,0.04,0.9699713959896912,0.9699713742265242,-2.2436916213841585e-08,-0.0835431294130923,-0.0835431293248444,1.0563150790126875e-09,28.03319949614628,28.03319952051443,2.4368148388020927e-08,True
NGC 4649,outer,0.01,1.0913476701520894,1.0913476539021312,-1.488980894137626e-08,-0.0912188117121512,-0.0912188159248986,-4.6182880082338914e-08,27.904904765931796,27.904904782099,1.6167202687711324e-08,True
