galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1399,inner,normalized_union_3p5,0.03,0.03,0.25,5,0.886434098188672,0.013175327626282393,0.003012485376157615,0.0135153367032214,-0.05634400499428097,1.0,1.353447518706626e-05,0.886420563713485,28.130410271715867,0.016554320803106856,17.96349311141852,417.7057961080805,21.171080848881434,0.0033582598690195006,k-window MAD,0.016554320803106856,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_union_3p5,0.04,0.04,0.25,5,0.8833531055947045,0.01274400553678084,0.00283545716656852,0.013055630757069742,-0.05588675419666163,1.0,1.353447518706626e-05,0.8833395711195174,28.134190612926496,0.016047023650190926,16.485756115093317,367.2580631034815,21.373619386723814,0.0033582598690195006,k-window MAD,0.016047023650190926,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,no_winsor,0.01,0.01,0.25,5,0.8552375904087315,0.00887386010842908,0.002043059264165987,0.009106013638297685,-0.05150829697511546,1.0,0.0030503352542893,0.8521872551544422,28.17317224091879,0.011601591819545952,28.141217787674595,708.0304446918649,20.318155569519924,0.0016447593584904055,k-window MAD,0.011601591819545952,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,no_winsor,0.03,0.03,0.25,5,0.8533799309062496,0.00910909542320535,0.0020421140819408246,0.009335194125068941,-0.051257468895789235,1.0,0.0030503352542893,0.8503295956519603,28.175541590716914,0.011919564239395495,28.685488895567712,664.3116991435119,20.61454322414554,0.0016447593584904055,k-window MAD,0.011919564239395495,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,no_winsor,0.04,0.04,0.25,5,0.8525115315572322,0.009388361625801601,0.001991269906389781,0.009597212608717057,-0.051154998347944396,1.0,0.0030503352542893,0.8494611963029429,28.17665096570578,0.012266647657828067,29.65916099724637,657.0729705108487,20.87670282020298,0.0016447593584904055,k-window MAD,0.012266647657828067,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,raw_global_3p5,0.01,0.01,0.25,5,0.8531685721226435,0.00887861108984222,0.002041546679354231,0.00911030448056768,-0.0514354791287657,1.0,0.0030503352542893,0.8501182368683542,28.175811495950523,0.011635307868891507,28.325918880479065,712.6479720119767,20.329506734229742,0.0016516808070427848,k-window MAD,0.011635307868891507,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,raw_global_3p5,0.03,0.03,0.25,5,0.8513195168391369,0.009115556667722548,0.002040666230156311,0.009341182581737783,-0.05118592287150611,1.0,0.0030503352542893,0.8482691815848475,28.178175605619828,0.011956181297663085,28.898030620080466,669.2001588073052,20.62595235114662,0.0016516808070427848,k-window MAD,0.011956181297663085,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,raw_global_3p5,0.04,0.04,0.25,5,0.8504495780299353,0.00939472350081001,0.001990060584738423,0.009603185450026534,-0.051083173661338015,1.0,0.0030503352542893,0.8473992427756459,28.179289649061783,0.012304148502597593,29.8630199225096,661.5578668666398,20.88811776489983,0.0016516808070427848,k-window MAD,0.012304148502597593,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_full_3p5,0.01,0.01,0.25,5,0.8516488594246808,0.008934718941343506,0.0020470743215618733,0.009166226913992498,-0.0514898577511238,1.0,0.0030503352542893,0.8485985241703915,28.177754147692177,0.011727694708495315,28.839084961283962,725.477124032099,20.35515625476657,0.00167293670445013,k-window MAD,0.011727694708495315,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_full_3p5,0.03,0.03,0.25,5,0.8497877807270514,0.009171412387763722,0.002046400196499823,0.009396944128314289,-0.05123852281220444,1.0,0.0030503352542893,0.8467374454727621,28.18013791276268,0.012049310572893924,29.417633783604252,681.1510315683523,20.651256015486933,0.00167293670445013,k-window MAD,0.012049310572893924,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_full_3p5,0.04,0.04,0.25,5,0.8489082433429359,0.009451099706836991,0.0019962398356710696,0.00965962003135187,-0.05113430642182864,1.0,0.0030503352542893,0.8458579080886466,28.181266293111022,0.012399008263627243,30.388593358438627,673.1204824570783,20.913164514480766,0.00167293670445013,k-window MAD,0.012399008263627243,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_union_3p5,0.01,0.01,0.25,5,0.8516810515590275,0.008934191637333373,0.002047073219820706,0.009165712682596193,-0.0514904850255263,1.0,0.0030503352542893,0.8486307163047382,28.177712960367636,0.011726591921204867,28.833070180881997,725.3267545220499,20.354902677570323,0.001672633809247702,k-window MAD,0.011726591921204867,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_union_3p5,0.03,0.03,0.25,5,0.8498200244627756,0.009170886190385426,0.0020463974323560678,0.009396429958668111,-0.051239158015090214,1.0,0.0030503352542893,0.8467696892084863,28.180096568748784,0.012048192479747605,29.411373017137144,681.0070339396088,20.651004299885376,0.001672633809247702,k-window MAD,0.012048192479747605,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_union_3p5,0.04,0.04,0.25,5,0.84894061275475,0.009450574334513347,0.0019962318839644292,0.009659104357377995,-0.05113496112277401,1.0,0.0030503352542893,0.8458902775004606,28.18122474479711,0.012397871905244334,30.382429907570728,672.9848865379846,20.912915551610325,0.001672633809247702,k-window MAD,0.012397871905244334,"max(fit covariance + PSF MAD, k-window MAD)"
