radius_type,r_in_px,r_out_px,r_mid_px,r_mid_arcsec,n_pix,img_median,img_mean,img_std,model_median,model_mean,model_std,resid_raw_median,resid_raw_mean,resid_raw_std,resid_clip_median,resid_clip_mean,resid_clip_std,science_resid_name,science_model_name
circle,437.8389964243705,510.81216249509896,474.32557945973474,14.811529415968318,217474,10.52544685156788,11.020155586477227,2.8151529660197196,10.51487684249878,11.026796743105589,2.697138238884417,-0.06578213161451885,-0.00664115662836171,0.7838684815660281,-0.06578213348984718,-0.014106368141037853,0.744006449975053,resid_full_clip_3p5sigma,model_full
circle,510.81216249509896,583.7853285658274,547.2987455304632,17.090226249194213,250939,8.377446134404794,8.916616320600399,2.6086350113244485,8.40227222442627,8.903918232793758,2.4164484196547185,-0.06322542928881525,0.012698087806639169,0.874694719545941,-0.06322542577981949,-0.003892233062323273,0.6803087153856993,resid_full_clip_3p5sigma,model_full
circle,583.7853285658274,656.7584946365558,620.2719116011916,19.368923082420107,284409,6.808909599533672,7.288855323356725,2.364339454774855,6.7769317626953125,7.303171067022764,2.1356634664030536,-0.1076219344748699,-0.014315743666038331,0.9635775845936508,-0.1076219379901886,-0.03899270983713633,0.6348487085558611,resid_full_clip_3p5sigma,model_full
circle,656.7584946365558,729.7316607072843,693.2450776719201,21.647619915646004,317746,5.484234828688933,5.96225237799246,2.0759530551111705,5.642289638519287,6.080352267047979,1.8673432677612745,-0.19034595165721857,-0.11809988905551842,0.688851699261538,-0.19034595042467117,-0.12373947940390462,0.570918236922965,resid_full_clip_3p5sigma,model_full
circle,729.7316607072843,802.7048267780127,766.2182437426485,23.926316748871898,351277,4.447644104916083,4.94423922453485,1.902973956174582,4.7295823097229,5.102900347086469,1.6810153994260288,-0.2319836411779228,-0.1586611225516194,0.6541007678280794,-0.23198364675045013,-0.16399578021240477,0.5334725180151165,resid_full_clip_3p5sigma,model_full
circle,802.7048267780127,875.677992848741,839.1914098133768,26.20501358209779,384617,3.627885174417157,4.148975576757482,1.8159588744560984,3.9397060871124268,4.309056148725879,1.5449836407313131,-0.23456198742504242,-0.16008057196839676,0.7732088866031261,-0.2345619946718216,-0.16951725535082424,0.5062271592563511,resid_full_clip_3p5sigma,model_full
circle,875.677992848741,948.6511589194695,912.1645758841053,28.483710415323685,418234,3.0045841745543225,3.516401191459133,2.008824182143819,3.2827560901641846,3.6407870101363327,1.407601645404253,-0.2002390844949402,-0.12438581867719989,1.331628566316558,-0.20023908466100693,-0.1389264252161887,0.48520319578885823,resid_full_clip_3p5sigma,model_full
circle,948.6511589194695,1021.6243249901979,985.1377419548337,30.762407248549582,444618,2.5126261796297733,2.9766875360578977,1.4249564765075498,2.736164689064026,3.0886615489185005,1.2882803740467035,-0.16393294967986916,-0.11197401286060306,0.5267559524106717,-0.1639329493045807,-0.11627436002059806,0.44719497241792616,resid_full_clip_3p5sigma,model_full
circle,1021.6243249901979,1094.5974910609264,1058.1109080255621,33.04110408177548,342569,2.16590911302267,2.555994705084229,1.239310098107856,2.328939199447632,2.648942271586635,1.145664434938379,-0.13931158940663946,-0.09294756650240622,0.4546197733879594,-0.13931159675121307,-0.0947472047118472,0.41834319806889253,resid_full_clip_3p5sigma,model_full
circle,1094.5974910609264,1167.5706571316548,1131.0840740962906,35.31980091500137,198301,2.1647602659307155,2.3902205511663213,1.0435967004396773,2.279622793197632,2.4493577403584963,0.9042629995245416,-0.11864280669183769,-0.059137189192174644,0.5763174004194932,-0.11864280700683594,-0.06637214251617064,0.4238137863584033,resid_full_clip_3p5sigma,model_full
circle,1167.5706571316548,1240.5438232023832,1204.057240167019,37.59849774822727,157885,2.4453243958221145,2.548175411835578,1.0285526832701917,2.541858673095703,2.5030394205967177,0.6706081363400387,-0.0353168930951373,0.0451359912388609,0.6975752585069406,-0.035316891968250275,0.029708232875006308,0.4478886948225778,resid_full_clip_3p5sigma,model_full
circle,1240.5438232023832,1313.5169892731117,1277.0304062377475,39.87719458145316,138869,2.334877117727596,2.496031102738061,2.2432581492832995,2.306842565536499,2.345271238764338,0.5313888660991118,0.05252406903595608,0.15075986397372285,2.136890375255318,0.05252406746149063,0.12515717406336357,0.4488522633988574,resid_full_clip_3p5sigma,model_full
circle,1313.5169892731117,1386.4901553438401,1350.003572308476,42.15589141467906,124008,2.3500260561831636,2.394367195277016,0.8413672087209566,2.109735608100891,2.1369895533349204,0.47364218177788553,0.18138445644719592,0.2573776419420954,0.5491496551610774,0.18138445168733597,0.25050942862264447,0.44083780964795716,resid_full_clip_3p5sigma,model_full
circle,1386.4901553438401,1459.4633214145686,1422.9767383792043,44.434588247904955,105540,2.415259336458859,2.399727440315436,1.1607417535318931,2.0834286212921143,1.9915857863647595,0.37361999255426054,0.3317619703742545,0.40814165395067686,1.0427414287043564,0.331761971116066,0.3909064882119329,0.44363225517360366,resid_full_clip_3p5sigma,model_full
circle,1459.4633214145686,1532.436487485297,1495.9499044499328,46.71328508113085,98333,2.3646589319233207,2.410956185812038,0.9778248552556325,1.8730077743530273,1.8184393029004775,0.26795377486816807,0.4983861236162528,0.5925168829115605,0.9198515426054198,0.49838611483573914,0.5642290876871037,0.45595913942428773,resid_full_clip_3p5sigma,model_full
circle,1532.436487485297,1605.4096535560254,1568.9230705206612,48.99198191435674,92320,2.18886369673079,2.2779268154039234,3.6112774998171555,1.6693059206008911,1.6374147821895688,0.19200548328824107,0.5307780190658664,0.6405120332143548,3.6012641011957642,0.5307779908180237,0.5887371732398761,0.40614995332670667,resid_full_clip_3p5sigma,model_full
circle,1605.4096535560254,1678.3828196267539,1641.8962365913897,51.27067874758264,81073,2.028755279437347,2.082442495413691,0.44300812700483544,1.4975628852844238,1.479790591061988,0.1322315961149617,0.5378049899679622,0.6026519043517028,0.4125759718437247,0.5378049612045288,0.5987817456526633,0.3790170987967758,resid_full_clip_3p5sigma,model_full
circle,1678.3828196267539,1751.355985697482,1714.8694026621179,53.54937558080853,61734,1.9522018386797662,2.010329191891977,0.4152529571323328,1.3485885858535767,1.3497126437768292,0.07744308145037561,0.5989127237022485,0.660616548115148,0.4061580217679563,0.5989127159118652,0.6568806282721603,0.36633382860061087,resid_full_clip_3p5sigma,model_full
