galaxy,ring,psf_id,k,E,N
NGC 1380,inner,stpsf_field_1024_768,0.2102615614605905,0.18936927636111045,0.6340490005617038
NGC 1380,inner,stpsf_field_1024_768,0.21920886194827519,0.17604868538816051,0.6167165547840961
NGC 1380,inner,stpsf_field_1024_768,0.22815616243595988,0.16464465066258294,0.5682297399395565
NGC 1380,inner,stpsf_field_1024_768,0.2371034629236446,0.1541358933879679,0.5118782537156613
NGC 1380,inner,stpsf_field_1024_768,0.2460507634113293,0.1445488516690986,0.48866101387809124
NGC 1380,inner,stpsf_field_1024_768,0.254998063899014,0.13633735784690876,0.459296794407273
NGC 1380,inner,stpsf_field_1024_768,0.2639453643866987,0.1292640344349807,0.42601679373690593
NGC 1380,inner,stpsf_field_1024_768,0.2728926648743834,0.12358617613593047,0.4082939602206176
NGC 1380,inner,stpsf_field_1024_768,0.2818399653620681,0.11783642909729153,0.3861928727032299
NGC 1380,inner,stpsf_field_1024_768,0.2907872658497528,0.11233313766132319,0.3775902151125829
NGC 1380,inner,stpsf_field_1024_768,0.2997345663374375,0.10738245328644462,0.3459949418223496
NGC 1380,inner,stpsf_field_1024_768,0.3086818668251222,0.1023839028224204,0.33304854921014254
NGC 1380,inner,stpsf_field_1024_768,0.3176291673128069,0.09707134442909866,0.31649375333624297
NGC 1380,inner,stpsf_field_1024_768,0.32657646780049165,0.09193994213879583,0.29283116632259204
NGC 1380,inner,stpsf_field_1024_768,0.3355237682881763,0.08649346180077581,0.2752690643014756
NGC 1380,inner,stpsf_field_1024_768,0.344471068775861,0.08133970534203415,0.2701270720180868
NGC 1380,inner,stpsf_field_1024_768,0.35341836926354575,0.07570379936436458,0.25622385088796773
NGC 1380,inner,stpsf_field_1024_768,0.3623656697512304,0.07036784148486568,0.2332797842645429
NGC 1380,inner,stpsf_field_1024_768,0.3713129702389151,0.06484987333267135,0.22801369315909564
NGC 1380,inner,stpsf_field_1024_768,0.38026027072659985,0.05935117970922346,0.21581005679939708
