galaxy,ring,variant,noise_model,psf_id,k,observed,predicted,residual,residual_sigma
NGC 1380,outer,raw,N(k),stpsf_field_768_1024,0.23714356392537814,0.0645989980515969,0.08007841070604188,-0.015479412654444982,-64.76135150392739
NGC 1380,outer,raw,N(k),stpsf_field_768_1024,0.2460923776584113,0.05698950379948295,0.07509692529438311,-0.01810742149490016,-88.25748842276143
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.04026966179864912,0.5463230342042937,0.4928751582179438,0.053447875986349924,10.903810242404171
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.04921847553168225,0.49794452437749165,0.4561889454705631,0.04175557890692855,10.293831016451467
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.0581672892647154,0.4561697948439523,0.4266236992890352,0.029546095554917107,8.789975703099007
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.06711610299774853,0.4249135933769346,0.39821930466959743,0.026694288707337144,8.896242524953182
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.07606491673078167,0.39577067139538064,0.37226206262903594,0.023508608766344696,9.207938217032737
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.0850137304638148,0.36225077374696457,0.34488644949850633,0.01736432424845824,7.787200312655782
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.09396254419684794,0.3297146235446169,0.3203849426638632,0.009329680880753699,4.855611433461419
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.10291135792988108,0.3057607483308152,0.2950091973584008,0.01075155097241437,6.285041167033054
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.11186017166291422,0.2734823364956995,0.2724330291234758,0.0010493073722236956,0.7285997412954915
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.12080898539594737,0.25574306612995273,0.24965303788840595,0.00609002824154678,4.575489554188336
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.1297577991289805,0.23413264108431736,0.2301122532247679,0.0040203878595494735,3.446600601295
NGC 1380,outer,raw,constant,stpsf_field_1024_1280,0.13870661286201363,0.21231630910857993,0.2125599646419086,-0.0002436555333286683,-0.23912953065770828
