galaxy,ring,variant,k,Pk,Pk_error,Pk_count,E_median,E_mad,N_windowed
NGC 1380,inner,raw,0.3981548717019692,0.006122922776665758,3.185397128358405e-05,38328,0.048884755236477395,0.0005580235762768683,0.19952239806375344
NGC 1380,inner,raw,0.40710217218965394,0.004953885105755792,2.583904673516625e-05,39182,0.04416236141229968,0.0003428514469710495,0.18621966771307302
NGC 1380,inner,raw,0.4160494726773386,0.004061327837150396,2.07864635938148e-05,40048,0.039961366594594996,0.0003983927977420706,0.17634463857930915
NGC 1380,inner,raw,0.4249967731650233,0.0032466216431978373,1.645456361535545e-05,40910,0.03595183514663197,0.0004308427151622944,0.17154663949523988
NGC 1380,inner,raw,0.43394407365270804,0.0026421725229922245,1.3327928100543488e-05,41770,0.03230888480614049,0.0002592821837431208,0.16730701255579966
NGC 1380,inner,raw,0.4428913741403927,0.0020989566272559116,1.0555273468826773e-05,42612,0.02909238012015718,0.0002545159449202304,0.16473628558220388
NGC 1380,inner,raw,0.4518386746280775,0.0016794977286494345,8.212880089157877e-06,43498,0.026273024182007533,0.00018810164037630494,0.1545306729759492
NGC 1380,inner,raw,0.46078597511576214,0.0013911295385804726,6.856351198637724e-06,44320,0.02394590847769155,8.928927973853735e-05,0.15212811578295196
NGC 1380,inner,raw,0.4697332756034468,0.001131150475956084,5.4400803513626845e-06,45250,0.021735453267559605,0.0002543182590434429,0.14290478852963268
NGC 1380,inner,raw,0.47868057609113157,0.0008908645545825498,4.258878450726561e-06,46038,0.019946204786243718,0.00021579517739627808,0.13630243644044532
NGC 1380,inner,raw,0.48762787657881623,0.0007683008759822821,3.6489878829469646e-06,47008,0.018403244877069208,0.0002700413635314152,0.13559378376025213
NGC 1380,inner,raw,0.49657517706650095,0.0006652701674274549,3.177234508163624e-06,47481,0.017011642146697037,0.00025903128217197465,0.1377432763751965
NGC 1380,inner,raw,0.5055224775541856,0.0005294582092659221,2.698808444487752e-06,39738,0.012747452494765419,0.0002258356452943615,0.12367053488955122
NGC 1380,inner,raw,0.5144697780418703,0.0004436996791183594,2.435437042901624e-06,34564,0.00971548937440912,8.648682559449465e-05,0.11488302695688507
NGC 1380,inner,raw,0.5234170785295551,0.0003834149223841133,2.184204588918795e-06,31156,0.007591796619546154,6.015308086031373e-05,0.11012162253910056
NGC 1380,inner,raw,0.5323643790172398,0.00034223112794782586,2.064845510885953e-06,28432,0.005924740699044155,6.618024645227696e-05,0.10610549207903942
NGC 1380,inner,raw,0.5413116795049244,0.00031017731388311646,1.934330452134076e-06,26002,0.004602922900558946,2.8103163783515e-05,0.10001385159799533
NGC 1380,inner,raw,0.5502589799926092,0.00028233569464246246,1.8496758142576623e-06,23936,0.003535821847786751,1.8468818072770523e-05,0.09372425633065118
NGC 1380,inner,raw,0.5592062804802939,0.0002577131517915132,1.7450871380769629e-06,22012,0.002713844052476164,4.445212097475972e-05,0.08904488450769607
NGC 1380,inner,raw,0.5681535809679785,0.000252175790690555,1.7906214059018033e-06,20230,0.0020260250320720636,2.7958359356016097e-05,0.08650476923116848
NGC 1380,inner,raw,0.5771008814556633,0.0002315133266919503,1.726637688553862e-06,18606,0.0014840930478135165,1.3447601560337208e-05,0.08597638654953783
