galaxy,ring,variant,noise_model,psf_size_pix,P0,noise_coefficient,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise
NGC 1380,inner,winsor_3.5,constant,257,0.9309832866035216,-0.07882856014965817,True,1.9643037739237436e-05,0.9309636435657823,28.077242713072476,0.021184801785750884,681.9268406033916,30.996674572881435,686.4982691748202,18.6413761341071,,-0.9561017367725283,0.0003299632799151612,-5.964543720655888e-05,-5.964543720655891e-05,1.1794529652037341e-05
NGC 1380,inner,winsor_3.5,N(k),257,0.5344883045271945,-0.0006252153480718112,False,1.9643037739237436e-05,0.5344686614894553,28.679768901961303,1.3536789245020566,17012.50091375254,773.295496079661,17017.07234232397,93.32438917842647,0.9813702541630582,-0.9992037480246471,0.44404520615464727,-0.12925890249803,-0.12925890249803004,0.03768648505888421
NGC 1380,inner,winsor_4.0,constant,129,0.9486738920852942,-0.08151698553005861,True,1.9643037739237436e-05,0.9486542490475549,28.056804624987073,0.021022373124270802,671.8930576629264,30.540593530133016,676.4644862343549,18.398547716685698,,-0.9561197824652479,0.00033738887081112356,-6.186310500312547e-05,-6.18631050031255e-05,1.2408179500411361e-05
NGC 1380,inner,winsor_4.0,N(k),129,0.5500305896139305,-0.002298864714981598,False,1.9643037739237436e-05,0.5500109465761912,28.64864618288543,1.3398446034223024,17027.35925657198,773.9708752987264,17031.93068514341,92.18061010082731,0.9813700692702427,-0.999203139497117,0.46068374536149953,-0.13601972259211087,-0.1360197225921109,0.040224745102017664
NGC 1380,inner,winsor_4.0,constant,257,0.9622669684829952,-0.08151707408906646,True,1.9643037739237436e-05,0.9622473254452559,28.041357734037796,0.02102166504232773,671.8485566375946,30.5385707562543,676.4199852090231,18.645038663831624,,-0.9561198018325918,0.00034710351283566264,-6.274535229383242e-05,-6.274535229383241e-05,1.240736303146766e-05
NGC 1380,inner,winsor_4.0,N(k),257,0.5579243021962114,-0.0023026129548288166,False,1.9643037739237436e-05,0.5579046591584721,28.63317454493303,1.3398217318089334,17027.342905176953,773.9701320534979,17031.91433374838,93.29165993171907,0.9813702541630582,-0.9992031506317782,0.47398584490674783,-0.13797041026419846,-0.1379704102641984,0.040225268324293496
NGC 1380,outer,raw,constant,129,0.885986056500983,-0.07314571592376189,True,0.0011913501973191,0.884794706303664,28.132468226669406,0.01841931280522901,1608.1489515445478,73.09767961566126,1612.7203801159765,18.13985695537789,,-0.9553240249831986,0.00022531143725425633,-4.1514310772140365e-05,-4.1514310772140365e-05,8.381293065864863e-06
NGC 1380,outer,raw,N(k),129,0.5038154334124889,0.005846673331790848,True,0.0011913501973191,0.5026240832151698,28.746466280768356,1.3091322775775571,48268.54062843346,2194.024574019703,48273.11205700489,92.10598254400895,0.9826735174836987,-0.9991954488755308,0.36728653716171267,-0.10792885728335719,-0.10792885728335712,0.03176649168657959
NGC 1380,outer,raw,constant,257,0.8986811794003486,-0.07314587079974814,True,0.0011913501973191,0.8974898292030296,28.117000676570022,0.01841843198941444,1608.0569035378103,73.09349561535501,1612.628332109239,18.382726902322727,,-0.9553240890759379,0.0002318012325476577,-4.2106775768655484e-05,-4.2106775768655504e-05,8.380825081892949e-06
NGC 1380,outer,raw,N(k),257,0.5110341211752838,0.00584665148776511,True,0.0011913501973191,0.5098427709779647,28.7309838510334,1.309106356648737,48268.58085167842,2194.026402349019,48273.152280249844,93.21855534252772,0.9826741259193217,-0.9991954704297028,0.3778972705313103,-0.10947827785991895,-0.10947827785991898,0.03176736887341089
NGC 1380,outer,winsor_3.0,constant,129,0.8685386858268365,-0.07216883932106771,True,0.0011913501973191,0.8673473356295174,28.154091893835727,0.01852877037010678,1636.5927558448502,74.39057981112956,1641.1641844162789,18.196125458205177,,-0.9555123449894848,0.00021909408642433497,-4.033260348156947e-05,-4.033260348156945e-05,8.132222508814524e-06
NGC 1380,outer,winsor_3.0,N(k),129,0.49998653341899973,0.0031266160826092884,True,0.0011913501973191,0.49879518322168065,28.754768888366755,1.303711644759369,49279.87771145499,2239.994441429772,49284.449140026416,92.35365291197098,0.9826735174836987,-0.9991997151483146,0.3587227755702317,-0.10540937020159045,-0.10540937020159045,0.031023792193166165
NGC 1380,outer,winsor_3.0,constant,257,0.8809838258601939,-0.07216899414402018,True,0.0011913501973191,0.8797924756628748,28.138623907176424,0.01852787774063461,1636.499176266252,74.38632619392055,1641.0706048376808,18.439779332358075,,-0.9555124102969412,0.00022540482040258998,-4.090820777684297e-05,-4.090820777684299e-05,8.131769178069979e-06
NGC 1380,outer,winsor_3.0,N(k),257,0.5071501711509647,0.0031266494598441324,True,0.0011913501973191,0.5059588209536456,28.73928658602079,1.3036859691527465,49279.92020598558,2239.9963729993447,49284.49163455701,93.46922609658019,0.9826741259193217,-0.999199736544772,0.36908609746553755,-0.10692261857279202,-0.10692261857279209,0.031024648089879286
NGC 1380,outer,winsor_3.5,constant,129,0.8810549237901493,-0.07289429576924983,True,0.0011913501973191,0.8798635735928302,28.13853617003403,0.01840857380739885,1609.8460661780587,73.17482118991175,1614.4174947494873,18.157108779698174,,-0.9553772242865294,0.00022254729647257592,-4.0991274067627806e-05,-4.0991274067627806e-05,8.272004153788141e-06
NGC 1380,outer,winsor_3.5,N(k),129,0.5030683488257083,0.0049342020223115575,True,0.0011913501973191,0.5018769986283892,28.748081285367363,1.3071233794198853,48612.48831301621,2209.6585596825553,48617.05974158764,92.17235961290233,0.9826735174836987,-0.9991965879403422,0.36507249126175484,-0.10727682480704029,-0.10727682480704032,0.031574088891619
NGC 1380,outer,winsor_3.5,constant,257,0.8936793939230424,-0.07289445073101099,True,0.0011913501973191,0.8924880437257233,28.12306849874584,0.018407694061043443,1609.7543580344136,73.17065263792789,1614.3257866058423,18.400221070879486,,-0.955377288910753,0.00022895753932043554,-4.1576286467794015e-05,-4.157628646779399e-05,8.271544628070306e-06
NGC 1380,outer,winsor_3.5,N(k),257,0.5102761482759696,0.004934233455947524,True,0.0011913501973191,0.5090847980786505,28.732599194058373,1.30709787982192,48612.52995642355,2209.6604525647067,48617.101384994974,93.2857364396247,0.9826741259193217,-0.999196609414382,0.37561924702974264,-0.10881688059044686,-0.10881688059044695,0.03157495955301817
NGC 1380,outer,winsor_4.0,constant,129,0.8844773226943822,-0.07306506707745834,True,0.0011913501973191,0.8832859724970631,28.134321182062678,0.018405824794646662,1607.011222196969,73.04596464531677,1611.5826507683976,18.144461617053015,,-0.9553366134747358,0.00022421496421343924,-4.130772743282835e-05,-4.130772743282835e-05,8.338446874404282e-06
