galaxy,ring,variant,noise_model,psf_id,n_fit,effective_kmin,kmax,P0,noise_coefficient,noise_coefficient_nonnegative,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,P0_sigma_formal,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation
NGC 1380,inner,winsor_3.5,constant,stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.9178321154644261,-0.07882847248389942,False,True,1.9643037739237436e-05,0.9178124724266868,28.09268962777889,0.02118552200980258,0.01790889559568342,0.000320728541457089,-5.8806811418093136e-05,-5.8806811418093095e-05,1.1795312694984895e-05,681.9724145223597,30.998746114652715,686.5438430937883,18.39493272428047,,-0.9561017169816194
NGC 1380,inner,winsor_3.5,N(k),stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.5269258462551868,-0.0006215281149391016,False,False,1.9643037739237436e-05,0.5269062032174475,28.695241236889977,1.353702803116381,0.6569500041990081,0.4315833080170768,-0.12743136355727622,-0.12743136355727624,0.037685989423960974,17012.517456382688,773.2962480173949,17017.088884954115,92.21295344770627,0.9813700692702427,-0.9992037367738267
NGC 1380,inner,winsor_3.5,constant,stpsf_field_1280_1024,24,0.04,0.25,0.9152880427942608,-0.07795598894322397,False,True,1.9643037739237436e-05,0.9152683997565215,28.09570334487227,0.021113382801711374,0.017798441284063243,0.0003167845121422468,-5.794313416231674e-05,-5.794313416231684e-05,1.160442144878904e-05,677.3741011932216,30.789731872419164,681.9455297646501,18.34054578218214,,-0.9556706884055698
NGC 1380,inner,winsor_3.5,N(k),stpsf_field_1280_1024,24,0.04,0.25,0.6471056636005715,-0.03573281345727331,False,False,1.9643037739237436e-05,0.6470860205628323,28.472169471753013,1.1066467439006797,0.659548456191559,0.43500416606466885,-0.12819028690725776,-0.1281902869072578,0.0378352320617157,16775.959482629965,762.5436128468166,16780.530911201393,93.19889025159685,0.9826997919974032,-0.9992179115278407
NGC 1380,inner,winsor_3.5,constant,stpsf_field_768_1024,24,0.04,0.25,0.9167184716142736,-0.07920368919472497,False,True,1.9643037739237436e-05,0.9166988285765343,28.09400782472342,0.020570643481841466,0.017368016927344156,0.0003016480119885131,-5.5498978172555057e-05,-5.549897817255502e-05,1.1166400320580605e-05,643.2660206058973,29.23936457299533,647.8374491773259,18.372391003737693,,-0.9562647712314266
NGC 1380,inner,winsor_3.5,N(k),stpsf_field_768_1024,24,0.04,0.25,0.5026125694335722,0.006067332386308389,True,True,1.9643037739237436e-05,0.502592926395833,28.74653358581088,1.4402601133799655,0.6667038844081717,0.44449406948494485,-0.13167679221413783,-0.1316767922141378,0.03906808554935928,17069.054640497015,775.8661200225916,17073.626069068443,93.4764818801579,0.9827838016390523,-0.9992293631555682
NGC 1380,inner,winsor_3.5,constant,stpsf_field_1024_1280,24,0.04,0.25,0.9199660719204665,-0.07683691705567218,False,True,1.9643037739237436e-05,0.9199464288827273,28.09016817099436,0.020058694619383886,0.016995771534819695,0.0002888562500637874,-5.22147312409363e-05,-5.221473124093627e-05,1.0347289148115849e-05,611.8818150671597,27.812809775779986,616.4532436385882,18.412899034600326,,-0.9550780627056282
NGC 1380,inner,winsor_3.5,N(k),stpsf_field_1024_1280,24,0.04,0.25,0.8174704116179117,-0.08325359458785804,False,False,1.9643037739237436e-05,0.8174507685801724,28.21842049942522,0.8644107194941879,0.6508148147982932,0.4235599231609367,-0.12342735567613469,-0.12342735567613482,0.03602492707654718,16338.310191822417,742.6504632646553,16342.881620393846,93.0233539626859,0.9821893372508552,-0.9992000316057816
NGC 1380,inner,winsor_3.5,constant,stpsf_field_1024_768,24,0.04,0.25,0.9143698732681372,-0.07951423526514992,False,True,1.9643037739237436e-05,0.914350230230398,28.096793069215874,0.02196367854856647,0.018496661020953986,0.00034212646892407855,-6.322431967385065e-05,-6.322431967385068e-05,1.2771687464745595e-05,732.5356573133143,33.29707533242338,737.1070858847429,18.340706015633078,,-0.9564597223054013
NGC 1380,inner,winsor_3.5,N(k),stpsf_field_1024_768,24,0.04,0.25,0.4140185550733133,0.03180025732480807,True,True,1.9643037739237436e-05,0.4139989120355741,28.95707651611191,1.7103162153848308,0.6521556979523013,0.42530705437165334,-0.12651894012968995,-0.12651894012968998,0.03769707265921447,17194.998470757782,781.5908395798992,17199.56989932921,91.16281303272025,0.9821797237812299,-0.999195429107399
NGC 1380,inner,winsor_4.0,constant,stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.9486738920852942,-0.08151698553005861,False,True,1.9643037739237436e-05,0.9486542490475549,28.056804624987073,0.021022373124270802,0.0183681482684326,0.00033738887081112356,-6.186310500312547e-05,-6.18631050031255e-05,1.2408179500411361e-05,671.8930576629264,30.540593530133016,676.4644862343549,18.398547716685698,,-0.9561197824652479
NGC 1380,inner,winsor_4.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.5500305896139305,-0.002298864714981598,False,False,1.9643037739237436e-05,0.5500109465761912,28.64864618288543,1.3398446034223024,0.6787368749091945,0.46068374536149953,-0.13601972259211087,-0.1360197225921109,0.040224745102017664,17027.35925657198,773.9708752987264,17031.93068514341,92.18061010082731,0.9813700692702427,-0.999203139497117
NGC 1380,inner,winsor_4.0,constant,stpsf_field_1280_1024,24,0.04,0.25,0.9460407099552326,-0.0806143265547137,False,True,1.9643037739237436e-05,0.9460210669174933,28.05982249616417,0.020947111965892457,0.01825158737819588,0.0003331204418239192,-6.093261713379342e-05,-6.0932617133793394e-05,1.22029748811829e-05,667.1297741907742,30.324080645035192,671.7012027622028,18.34406027960778,,-0.955688436989491
NGC 1380,inner,winsor_4.0,N(k),stpsf_field_1280_1024,24,0.04,0.25,0.6744081304618157,-0.0386326124382999,False,False,1.9643037739237436e-05,0.6743884874240764,28.427299146215795,1.0968968840750322,0.6813207731949354,0.4641979959869446,-0.13678923931475284,-0.13678923931475287,0.04037204899821134,16787.947775593973,763.0885352542715,16792.5192041654,93.1597633079496,0.9826997919974032,-0.9992172157791392
NGC 1380,inner,winsor_4.0,constant,stpsf_field_768_1024,24,0.04,0.25,0.9475192289626623,-0.08190382289140845,False,True,1.9643037739237436e-05,0.947499585924923,28.05812694355467,0.020404635770412124,0.01780670466609454,0.000317078731065513,-5.833936986634327e-05,-5.8339369866343273e-05,1.1737728514565032e-05,633.2863202632897,28.78574183014953,637.8577488347182,18.37594340023202,,-0.9562823673172702
NGC 1380,inner,winsor_4.0,N(k),stpsf_field_768_1024,24,0.04,0.25,0.5251268947593111,0.004542408620967942,True,True,1.9643037739237436e-05,0.5251072517215718,28.698954475849607,1.4241641229694237,0.6887850891732339,0.4744248990673798,-0.1405391743358206,-0.14053917433582064,0.04169630009509707,17084.258473087975,776.5572033221807,17088.829901659403,93.43886195649857,0.9827838016390523,-0.9992287034957927
NGC 1380,inner,winsor_4.0,constant,stpsf_field_1024_1280,24,0.04,0.25,0.9508719385557546,-0.07945664568073123,False,True,1.9643037739237436e-05,0.9508522955180153,28.05429186744512,0.019888060369228126,0.01741731349899506,0.00030336280952227555,-5.4838233769526176e-05,-5.4838233769526224e-05,1.0867028652573853e-05,601.8590027894063,27.357227399518468,606.4304313608349,18.416377208874067,,-0.9550956863855328
NGC 1380,inner,winsor_4.0,N(k),stpsf_field_1024_1280,24,0.04,0.25,0.8502719949199057,-0.087664403126593,False,False,1.9643037739237436e-05,0.8502523518821664,28.175704910898112,0.8584013099121482,0.6722238140471033,0.45188485617203455,-0.13167723262670158,-0.1316772326267016,0.03843167902585196,16346.85576709143,743.0388985041559,16351.42719566286,92.98281447943039,0.9821893372508552,-0.9991992922895991
NGC 1380,inner,winsor_4.0,constant,stpsf_field_1024_768,24,0.04,0.25,0.9450918536275627,-0.08222506096180608,False,True,1.9643037739237436e-05,0.9450722105898234,28.06091203285363,0.021807523303809355,0.018982220695874682,0.00036032470254689303,-6.658895369247565e-05,-6.658895369247563e-05,1.3451198175247629e-05,722.5685649639141,32.844025680177914,727.1399935353427,18.344252378032216,,-0.9564773430023367
NGC 1380,inner,winsor_4.0,N(k),stpsf_field_1024_768,24,0.04,0.25,0.4333621888014378,0.03118970417941107,True,True,1.9643037739237436e-05,0.4333425457636986,28.907496189785746,1.6882277083293542,0.6738109033761402,0.45402113350857026,-0.1350567354933383,-0.13505673549333821,0.040239826541382744,17212.010700806117,782.3641227639145,17216.582129377544,91.12920122385141,0.9821797237812299,-0.9991947965584022
