label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_err_img,snr,flux_jy,mag_ab,mask_brighter_than_mcut
1837,6571.142857142857,1206.4285714285713,7,133.73663388937712,133.73663388937712,133.73663388937712,18.640203826265456,7.174633664731289,3.0651154032668643e-06,22.68394854581623,True
1558,7214.549019607843,1019.3333333333334,51,133.71182795614004,133.71182795614004,133.71182795614004,4.522839653523058,29.563689672700523,3.064546875064485e-06,22.68414995060054,True
777,6535.153846153846,567.5384615384615,26,128.83195932209492,128.83195932209492,128.83195932209492,4.528998497290667,28.446015029407636,2.9527049654759514e-06,22.72451548630115,True
1829,6569.428571428572,1200.5714285714287,7,127.79882871359587,127.79882871359587,127.79882871359587,18.640203826265456,6.856085368203843,2.929026602639959e-06,22.73325733192488,True
1394,5857.055555555556,911.1666666666666,36,124.73119023442268,124.73119023442268,124.73119023442268,2.196754008112219,56.779771323422075,2.8587192703801578e-06,22.75963684923434,True
2203,5862.722222222223,1558.611111111111,36,124.65895321965218,124.65895321965218,124.65895321965218,2.646871099835187,47.09672232524444,2.8570636672726186e-06,22.76026582633317,True
5317,5991.525423728814,1277.8474576271187,59,118.15824153274298,118.15824153274298,118.15824153274298,4.749150151881585,24.879870661897137,2.708073589204525e-06,22.818414468047827,True
2424,6359.578947368421,1840.3157894736842,19,117.2652473077178,117.2652473077178,117.2652473077178,3.5729322910253742,32.82045047488559,2.6876070178952976e-06,22.826651206153503,True
5260,6204.892857142857,517.6428571428571,28,117.02015063166618,117.02015063166618,117.02015063166618,2.618743826467697,44.68560439128911,2.681989637113329e-06,22.828922883639805,True
1116,6381.222222222223,750.3888888888889,18,112.14071370661259,112.14071370661259,112.14071370661259,5.199781830745856,21.566426699584653,2.570157621880898e-06,22.875166226197198,True
553,6914.958333333333,429.875,24,106.65947598218918,106.65947598218918,106.65947598218918,3.6451924278133525,29.260314261700355,2.4445329094180843e-06,22.92957590150772,True
2167,5827.407407407408,1514.5925925925926,27,106.44716336578131,106.44716336578131,106.44716336578131,2.129151001752904,49.99512166029778,2.4396669078451873e-06,22.931739283853133,True
1674,7288.0,1091.6363636363635,22,99.36875896155834,99.36875896155834,99.36875896155834,2.5671548447244135,38.70773871150171,2.277436666669219e-06,23.006449851033004,True
1607,6347.5,1046.0,6,98.24827735126019,98.24827735126019,98.24827735126019,10.424388027985561,9.424848450335935,2.2517563026364066e-06,23.018762154777068,True
2343,5913.090909090909,1753.090909090909,22,97.05576400458813,97.05576400458813,97.05576400458813,2.1904247866550133,44.30910597610681,2.2244250402800554e-06,23.03202118410427,True
2062,5945.222222222223,1388.5,18,96.30015803873539,96.30015803873539,96.30015803873539,2.357420094822512,40.849807910874596,2.207107276123891e-06,23.040507016047336,True
2111,6147.5,1456.5,12,95.92920526862144,95.92920526862144,95.92920526862144,3.829246445171837,25.05171882827631,2.198605394354523e-06,23.044697399303896,True
839,6600.058823529412,603.5882352941176,17,94.97377402335405,94.97377402335405,94.97377402335405,4.561231399962581,20.82195918061364,2.1767078264147324e-06,23.05556527532427,True
1724,5924.115384615385,1124.5,26,94.22453124821186,94.22453124821186,94.22453124821186,2.4577432877690497,38.337824669126306,2.1595359004877318e-06,23.064164551712274,True
5253,5845.116279069767,384.83720930232556,86,94.0698901861906,94.0698901861906,94.0698901861906,2.37153584566934,39.66623163549122,2.1559916756377855e-06,23.065947923054328,True
2232,6834.538461538461,1597.1538461538462,13,94.04684857279062,94.04684857279062,94.04684857279062,3.8700574377373687,24.301150586482038,2.155463583954195e-06,23.06621389740807,True
2473,6132.333333333333,1895.125,24,93.83462446928024,93.83462446928024,93.83462446928024,3.0305907842525857,30.96248591425122,2.1505996110120297e-06,23.068666714995363,True
579,6051.5625,443.53125,32,93.30597925186157,93.30597925186157,93.30597925186157,1.9650912582230513,47.481753766608385,2.138483569568115e-06,23.07480082771425,True
2900,6104.268292682927,2134.9756097560976,41,92.67194486409426,92.67194486409426,92.67194486409426,3.050301603168887,30.38123992978909,2.123952109401756e-06,23.082203822022578,True
1826,6568.2,1195.2,5,91.18838761001825,91.18838761001825,91.18838761001825,15.753847572775024,5.788324864054497,2.089950399781503e-06,23.099725674177808,True
5380,5842.897435897436,2448.6794871794873,78,91.11258362233639,91.11258362233639,91.11258362233639,2.9507153890431814,30.87813347253432,2.0882130450753503e-06,23.10062861109667,True
3782,6080.583333333333,2543.2916666666665,24,88.31748503446579,88.31748503446579,88.31748503446579,1.7658055549354867,50.01540786165012,2.0241520657746583e-06,23.134457782141908,True
1111,5749.5675675675675,749.4054054054054,37,88.06442914158106,88.06442914158106,88.06442914158106,1.7815006942318747,49.43272232602277,2.0183522673752904e-06,23.137573205109504,True
2433,6256.25,1856.0357142857142,28,86.40648791193962,86.40648791193962,86.40648791193962,3.7229440210876197,23.209182685131232,1.980353844258939e-06,23.1582086328918,True
5250,5858.852272727273,356.8409090909091,88,86.14990502595901,86.14990502595901,86.14990502595901,2.3921033792963544,36.01429008946106,1.9744732105599903e-06,23.161437508152858,True
1702,6616.5,1108.0,4,80.44214990735054,80.44214990735054,80.44214990735054,14.090669631958008,5.708894751524487,1.843656936639163e-06,23.235865342941565,True
2790,6617.08,2081.6400000000003,25,78.94298280030489,78.94298280030489,78.94298280030489,2.97873725350551,26.502163864033758,1.8092974641577666e-06,23.25629068603103,True
5413,6034.454545454545,2576.621212121212,66,77.82190503180027,77.82190503180027,77.82190503180027,2.821222635441913,27.584460742003916,1.7836034367505425e-06,23.271819871026803,True
3544,6074.923076923077,2461.153846153846,26,77.8057246953249,77.8057246953249,77.8057246953249,1.9292172419421056,40.33020387947569,1.7832325989545073e-06,23.27204563527202,True
1757,6645.5,1146.0,4,77.3567159473896,77.3567159473896,77.3567159473896,14.090669631958008,5.4899247493492105,1.772941749024514e-06,23.278329455153607,True
2299,7022.411764705883,1689.8823529411766,17,73.50294501334429,73.50294501334429,73.50294501334429,2.51760087052107,29.19563059975083,1.6846170147533107e-06,23.333812665324103,True
1927,6038.481481481482,1281.4074074074074,27,73.41608431190252,73.41608431190252,73.41608431190252,3.573318123699402,20.54563343380577,1.682626250770512e-06,23.335096472054207,True
2177,6757.0,1523.7142857142858,7,73.10782968252897,73.10782968252897,73.10782968252897,7.960525768676206,9.183794111966856,1.6755613502631258e-06,23.339664787164438,True
2687,6781.566666666667,2036.5,30,71.81238780915737,71.81238780915737,71.81238780915737,2.9758521126152546,24.131705841405815,1.6458710647771564e-06,23.359076096806465,True
1690,7165.333333333333,1103.7333333333333,15,71.15535848587751,71.15535848587751,71.15535848587751,2.8553762973571364,24.919783270505224,1.630812582739625e-06,23.36905548816535,True
5310,5987.285714285715,1237.2,35,66.54639156907797,66.54639156907797,66.54639156907797,3.6375082167915544,18.29449931188743,1.5251794807317254e-06,23.44176323782137,True
2189,6523.25,1542.0,4,64.76749208569527,64.76749208569527,64.76749208569527,8.844122003466081,7.3232246299081325,1.484408810431395e-06,23.471181813886677,True
5309,5995.413793103448,1235.0,29,63.59910575300455,63.59910575300455,63.59910575300455,3.344520054853848,19.015914005569858,1.4576305160991249e-06,23.49094699263444,True
879,7176.733333333334,622.9333333333334,15,61.92705839127302,61.92705839127302,61.92705839127302,2.4524218541161305,25.251389065602645,1.4193087939622099e-06,23.519873388176727,True
902,6256.277777777777,633.5555555555555,18,60.25947667658329,60.25947667658329,60.25947667658329,2.66082585038596,22.646907413291437,1.3810894201732032e-06,23.549511126359608,True
