region,kmin,kmax,P0_model_aware,P0_window_only,P1_model_aware,P1_window_only,P_fluc_model_aware,P_fluc_window_only,mbar_spec_model_aware,mbar_spec_window_only,P0_fit_sigma_model_aware,P0_fit_sigma_window_only,fit_resid_std_model_aware,fit_resid_std_window_only,corr_model_aware,corr_window_only,n_fit_model_aware,n_fit_window_only,psf_scatter_mag_model_aware,psf_scatter_mag_window_only,delta_mbar_model_minus_window,P0_ratio_model_to_window,delta_P1_model_minus_window,fit_resid_ratio_model_to_window
circular_outer_lit,0.03,0.3,0.821500737367706,0.8208020563898405,-0.05933783757842237,-0.05926232636955825,0.8203093871703869,0.8196107061925214,28.214630312150256,28.21555545878662,0.014404715806090913,0.014526203301417538,0.02624770753552915,0.026250836516043676,0.9981066812234931,0.9981109702567026,31.0,31.0,0.0034191819568582956,0.004269176125382388,-0.0009251466363657812,1.0008512173823474,-7.551120886412077e-05,0.9998808045407386
circular_outer_lit,0.03,0.35,0.7376558489100713,0.7364617736711013,-0.04597565227445154,-0.04586783088600219,0.7364644987127522,0.7352704234737822,28.331694974397383,28.333456774002848,0.01902738879585252,0.018829180378711757,0.03833012865040207,0.03820542404253788,0.9975227489558643,0.9975276810680206,36.0,36.0,0.0049513276784288246,0.0014979014656652239,-0.0017617996054646312,1.0016213675735235,-0.00010782138844935008,1.0032640550652008
circular_outer_lit,0.03,0.4,0.519555427618227,0.5195973470393733,-0.02169938829509915,-0.021690556356490524,0.518364077420908,0.5184059968420542,28.71298727231582,28.712899473807017,0.025870456851931505,0.02595073143430091,0.07329654173105825,0.07326033575413972,0.9959707712438165,0.9959818117061239,42.0,42.0,0.0027367311122692504,0.005129125196088501,8.779850880458184e-05,0.9999193232579321,-8.831938608625661e-06,1.0004942098141625
circular_outer_lit,0.03,0.5,0.22958117661415872,0.22946578150032232,-0.003613329345015487,-0.003618373179092862,0.22838982641683958,0.22827443130300318,29.602882629577508,29.603431341912636,0.01815899343329013,0.01818708809443233,0.1190796259164454,0.1190196274493991,0.9914193607196964,0.9914479619190768,53.0,53.0,0.005613126796993398,0.007507793233425346,-0.0005487123351279877,1.000502885933937,5.0438340773750236e-06,1.0005041056532613
circular_outer_lit,0.04,0.2,0.9690914080593546,0.970421336407681,-0.09974802101145301,-0.09995145913167676,0.9679000578620355,0.9692299862103619,28.034998226115597,28.033507410784125,0.012059758006046336,0.011782554151804044,0.007915411184324452,0.007819360271693372,0.9992711543539768,0.9993081918922676,18.0,18.0,0.0025401851169552605,0.0020251075447561256,0.0014908153314721062,0.9986295351323894,0.00020343812022374785,1.0122837302916956
circular_outer_lit,0.04,0.25,0.8807149075543234,0.8799907193033945,-0.07269244616720798,-0.07277807250486007,0.8795235573570043,0.8787993691060754,28.138955825191832,28.1398501745013,0.01495491593301789,0.015189368952006363,0.016776705278443278,0.01686721984776405,0.998564472524926,0.9985619317461649,24.0,24.0,0.0024497844798214356,0.003301157914112936,-0.000894349309469078,1.0008229498732693,8.562633765209215e-05,0.9946336995582132
circular_outer_lit,0.04,0.3,0.8196555367378379,0.8189963220355028,-0.059105167317607045,-0.05903359576744192,0.8184641865405188,0.8178049718381837,28.217075313714428,28.217950149378346,0.014367720127404891,0.0145200020942963,0.023398647277622375,0.02351993387134002,0.9979869430163352,0.9979659220985619,30.0,30.0,0.0033728339447211962,0.004219206738336009,-0.0008748356639181054,1.0008049055711223,-7.157155016512817e-05,0.9948432425711266
circular_outer_lit,0.04,0.35,0.7361309407793285,0.7349526882365877,-0.04582356606045623,-0.0457184989608853,0.7349395905820094,0.7337613380392686,28.33394540794079,28.335687453163903,0.01909409745206582,0.018909246940013703,0.03446986094050227,0.034444651283814146,0.997391331751676,0.9973618144236795,35.0,35.0,0.004936810687596082,0.0014610086702147192,-0.0017420452231142747,1.0016031678795105,-0.00010506709957093519,1.0007318888636847
circular_outer_lit,0.04,0.4,0.5186035402791204,0.5186466432848784,-0.021639598733825368,-0.021630805075496806,0.5174121900818013,0.5174552930875593,28.714982874783846,28.71489243133157,0.026043955151877275,0.026120942490529573,0.06688886136177058,0.06687624541553308,0.9957179251244253,0.9956906483987873,41.0,41.0,0.0027333633241556055,0.005127823276728049,9.044345227593453e-05,0.9999168933100867,-8.793658328561799e-06,1.0001886461502003
circular_outer_lit,0.04,0.5,0.22937834340603652,0.22926242884062178,-0.0036088740415707384,-0.0036139004010616034,0.22818699320871738,0.22807107864330264,29.603847301293666,29.60439897435241,0.018269001792405506,0.0182970281506334,0.10954732668872968,0.10953288325539813,0.9907687697653051,0.990741845819306,52.0,52.0,0.005614591303005394,0.007509493568410089,-0.000551673058744484,1.0005055977379325,5.026359490865016e-06,1.0001318639015269
