region,expectation_method,k,E_median,E_psf_mad
circular_inner_lit,window_only,0.6397319848694563,0.0002209740394522788,2.9727533182339746e-06
circular_inner_lit,window_only,0.6486792853571408,0.00020265709550076945,3.1975373762254187e-06
circular_inner_lit,window_only,0.6576265858448256,0.00019491199533408276,1.7945819860184008e-06
circular_inner_lit,window_only,0.6665738863325104,0.0001914169800770039,2.7607155279336092e-06
circular_inner_lit,window_only,0.6755211868201949,0.00018913965094287014,3.7906907241448517e-06
circular_inner_lit,window_only,0.6844684873078797,0.00018699295782876484,1.9777350707772367e-06
circular_inner_lit,window_only,0.6934157877955645,0.00018596892722515772,4.193087867644408e-06
circular_inner_lit,window_only,0.702363088283249,0.00018882123463432254,4.384918645884358e-06
circular_inner_lit,model_aware,0.004473650243842351,0.9180532090411616,0.012235529526491077
circular_inner_lit,model_aware,0.013420950731527052,0.8337987573852369,0.011966207422056414
circular_inner_lit,model_aware,0.02236825121921175,0.7598840765950169,0.0016077817093017503
circular_inner_lit,model_aware,0.031315551706896455,0.6930563615176456,0.0005084149322680999
circular_inner_lit,model_aware,0.04026285219458116,0.6462497289619806,0.0051496318520762125
circular_inner_lit,model_aware,0.04921015268226586,0.6035317852706105,0.00445631862279333
circular_inner_lit,model_aware,0.05815745316995056,0.5666237943893978,0.0026384130939173774
circular_inner_lit,model_aware,0.06710475365763527,0.5369364880113878,0.0013736704664903208
circular_inner_lit,model_aware,0.07605205414531996,0.5065263049365735,0.0010055068134468231
circular_inner_lit,model_aware,0.08499935463300468,0.47588247102668246,0.0010220367891854555
circular_inner_lit,model_aware,0.09394665512068937,0.44590126602067426,0.0013641799746714352
circular_inner_lit,model_aware,0.10289395560837407,0.41820728329682433,0.0005386943794483654
circular_inner_lit,model_aware,0.11184125609605877,0.3921023187897552,0.001490502441002772
circular_inner_lit,model_aware,0.12078855658374346,0.36741461446092155,0.001622373822618303
circular_inner_lit,model_aware,0.12973585707142818,0.34453339766387797,0.001705394889411975
circular_inner_lit,model_aware,0.13868315755911287,0.3244425089570175,0.0008440691678150821
circular_inner_lit,model_aware,0.14763045804679759,0.30422263012830536,0.0019205331485588316
circular_inner_lit,model_aware,0.15657775853448228,0.2843926376023817,0.000518394217715307
circular_inner_lit,model_aware,0.16552505902216696,0.26591952402108554,0.001478485982429067
circular_inner_lit,model_aware,0.17447235950985168,0.2481333266908341,0.002083266794648618
circular_inner_lit,model_aware,0.1834196599975364,0.23218994588135108,0.0016746950322426635
circular_inner_lit,model_aware,0.1923669604852211,0.21620562686407507,0.0014489172783738967
circular_inner_lit,model_aware,0.20131426097290578,0.20102595305914803,0.0015799919947890298
circular_inner_lit,model_aware,0.2102615614605905,0.187491836561941,0.0004819485382307923
circular_inner_lit,model_aware,0.21920886194827519,0.17427092963837174,0.0016454411509645311
circular_inner_lit,model_aware,0.22815616243595988,0.16346139328351658,0.0014586304260274824
circular_inner_lit,model_aware,0.2371034629236446,0.15270054876245567,0.0010446311438695648
circular_inner_lit,model_aware,0.2460507634113293,0.14385977328010452,0.0013198654982651621
circular_inner_lit,model_aware,0.254998063899014,0.13557696185050824,0.0002491836476781934
circular_inner_lit,model_aware,0.2639453643866987,0.12860962670969564,0.0006904575313081085
circular_inner_lit,model_aware,0.2728926648743834,0.12269504816895542,0.0008465496389710508
