galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 3379,y608_x2656,608,2656,512,0.6247406005859375,850.6373901367188,0.9629531439285351,0.0030531032027841594,0.029741397127509117,0.9805960167787648,0.4670309708541258,2.3569099035056547e-05,3.959939469427957e-05,False,False,nominal_0.80
NGC 3379,y608_x3168,608,3168,512,0.5441818237304688,847.5029296875,0.9594048181917488,0.0031803508526311785,0.030187305994331837,1.0501242811902993,0.49126452138294874,7.371991823189161e-05,-8.042562720206532e-06,False,False,nominal_0.80
NGC 3379,y608_x3680,608,3680,512,0.4930572509765625,843.9969482421875,0.9554359168779045,0.0032641108078466036,0.0316514503210783,1.0954789878242635,0.5113893032849443,8.760105987384915e-05,2.031478454695418e-05,False,False,nominal_0.80
NGC 3379,y608_x4192,608,4192,512,0.08045578002929688,840.4714965820312,0.9514449745571467,0.004550852564053685,0.03259133920073509,1.1244576635971582,0.561765267578178,0.00015963012214896544,3.1552248735729587e-06,False,False,nominal_0.80
NGC 3379,y608_x5216,608,5216,512,0.057621002197265625,841.178466796875,0.9522452911185175,0.004131461206855268,0.03245094045996666,1.472796356618162,0.6068748860771142,0.0001284886689823702,0.00013661663185624565,False,False,nominal_0.80
NGC 3379,y608_x5728,608,5728,512,0.14187240600585938,844.7990112304688,0.9563438819934164,0.0034367876830216945,0.03312777727842331,1.63885954735957,0.68138574241171,0.00019451789494903129,0.00012941265127926053,False,False,nominal_0.80
NGC 3379,y608_x6240,608,6240,512,0.06368637084960938,846.7448120117188,0.9585466008034396,0.0028607747227055126,0.034938015043735504,1.787790987663333,0.7229860825096119,0.00034331148872095694,0.00035717848097573996,False,False,nominal_0.80
NGC 3379,y608_x6752,608,6752,512,0.027072906494140625,848.8314208984375,0.9609087196227077,0.0024432017132929333,0.03741953894495964,1.923434816485682,0.835477352317644,0.0003491041869464236,0.0005773866918330613,False,False,nominal_0.80
NGC 3379,y608_x7264,608,7264,512,0.0122833251953125,849.9417419433594,0.9621656443163257,0.0034452179429376247,0.040368787944316864,2.032935989545029,0.9799517505595869,0.00010416010200839306,0.0008520730321297504,False,False,nominal_0.80
NGC 3379,y608_x7776,608,7776,512,0.01660919189453125,851.808837890625,0.9642792663288106,0.0053766951589978695,0.046088533475995064,1.9245748648166925,1.0579163337610158,0.00012912827707590158,0.0009246024964706264,False,False,nominal_0.80
NGC 3379,y608_x8288,608,8288,512,0.015682220458984375,853.6638793945312,0.9663792422633475,0.0022949596355152555,0.04442991688847542,1.9805677717936652,1.0897983022949258,-7.439661927747572e-05,0.0010244319259680797,False,False,nominal_0.80
NGC 3379,y608_x8800,608,8800,512,0.029705047607421875,854.2168579101562,0.9670052344973127,0.002456188819125934,0.042142823338508606,1.9487930279614372,1.080926073481831,-0.000360481617250271,0.0007155319401766553,False,False,nominal_0.80
NGC 3379,y1120_x96,1120,96,512,0.8448028564453125,863.4647216796875,0.9774741600286271,0.002929566892104237,0.030791228637099266,0.7992850551273285,0.42541323480874105,6.7835440615676e-07,1.447331355404164e-05,True,False,nominal_0.80
NGC 3379,y1120_x608,1120,608,512,0.8129310607910156,863.4638061523438,0.9774731236176437,0.002879790154669639,0.030315818265080452,0.8006538047457317,0.4311048775625639,1.645899110518324e-05,-1.3469545205613062e-05,True,True,nominal_0.80
