galaxy,k,N_reference,N_p16,N_p84,y96_x96,y3680_x608,y1120_x608,y2656_x96
NGC 3379,0.12083470311415687,1.1863656702004592,1.1175809589279015,1.240690959061561,1.145515692935671,1.2272156474652474,1.2531297082273882,1.0917950506130372
NGC 3379,0.12978542186335368,1.1430431823335483,1.0831983210829401,1.2264912954788787,1.0697510872975406,1.097766157683789,1.2617261463978675,1.1883202069833072
NGC 3379,0.13873614061255046,1.0149559612554373,0.9596546527856701,1.1043668039535137,1.0516256767424574,1.1530509213791036,0.9424562592631345,0.9782862457684168
NGC 3379,0.1476868593617473,0.9850440387445628,0.9170173799799,1.0403453472143303,0.9483743232575425,0.8880725092620759,1.0575437407368655,1.021713754231583
NGC 3379,0.1566375781109441,0.9121368996536702,0.8919227199373503,0.9235297256988996,0.9220399569911288,0.9022338423162112,0.8824047608184015,0.9249048968137646
NGC 3379,0.1655882968601409,0.8645228339003885,0.8360318010522598,0.8700783589501928,0.8724974001046244,0.8615879367678851,0.812441521930144,0.8674577310328917
NGC 3379,0.1745390156093377,0.7779214829125453,0.7553220615249486,0.7914558428675226,0.7949074978690247,0.768126415875862,0.7435026575087207,0.7877165499492285
NGC 3379,0.1834897343585345,0.698225830997291,0.6852408417699821,0.7124399431121876,0.698463200417644,0.6979884615769378,0.7253415517533045,0.6734738081020228
NGC 3379,0.1924404531077313,0.6862651373540218,0.6668875043522128,0.7109563051683386,0.7036726251309726,0.6688576495770708,0.6650689087600359,0.7176797021259071
NGC 3379,0.20139117185692812,0.6536816808421261,0.6234000821973926,0.6797867414192538,0.6888504104432004,0.6104811472648868,0.6699677666433115,0.6373955950409405
NGC 3379,0.2103418906061249,0.6131139765931165,0.5762902318501048,0.628433565229475,0.6358699809503602,0.549003825876924,0.6203774481985158,0.605850504987717
NGC 3379,0.21929260935532174,0.5477028354688404,0.5282458976389436,0.5810019241614751,0.6021994009150803,0.558037991011736,0.5198257909124808,0.5373676799259446
NGC 3379,0.22824332810451853,0.5520236322267219,0.5113481490950733,0.5751796376062659,0.587678471917027,0.542408030683836,0.4826774891669845,0.5616392337696077
NGC 3379,0.23719404685371534,0.5108080179379741,0.4878677748621717,0.520330662063646,0.5220401381186722,0.5031373062052473,0.4737728228531787,0.5184787296707007
NGC 3379,0.24614476560291212,0.4537621452752549,0.4424393790841726,0.4844194825431291,0.5079506169574184,0.4589274202609823,0.4367555410484603,0.4485968702895274
NGC 3379,0.25509548435210894,0.43030329253379,0.413612212308745,0.46394006039179486,0.48829917032416803,0.42305556043585607,0.404895275576027,0.4375510246317238
NGC 3379,0.2640462031013058,0.4035362285389309,0.39169998344334334,0.429860909555316,0.45313137265253306,0.4046512411999973,0.4024212158778644,0.381803461196093
NGC 3379,0.27299692185050256,0.4018405882605862,0.386959057002712,0.42799544356811703,0.447803491620927,0.39714445167693285,0.37755715422650804,0.40653672484423947
NGC 3379,0.28194764059969935,0.3603275400223644,0.34968347451731546,0.3833980925347384,0.4011701101087904,0.36414507349618197,0.34338206033464036,0.3565100065485467
NGC 3379,0.2908983593488962,0.3627769242729149,0.3413968557026923,0.3774772983135843,0.37897931778386623,0.3337289643589765,0.34970373799171767,0.3758501105541121
NGC 3379,0.29984907809809297,0.31284856836066605,0.3024208680623502,0.3477080979571709,0.37830497086021375,0.3111356510757909,0.29437645297302023,0.31456148564554104
NGC 3379,0.30879979684728975,0.3037081196128654,0.292150950690912,0.3226088025149117,0.3315246166981646,0.2944662354093432,0.29001376479697544,0.3129500038163876
NGC 3379,0.3177505155964866,0.2901476065259127,0.27004514065587987,0.31893850090494885,0.339510013299738,0.2966526958105938,0.25749371611555516,0.28364251724123146
NGC 3379,0.32670123434568343,0.28030810579421744,0.2645662548290581,0.29894292048539733,0.3117441679152872,0.28507490243634986,0.25443543545395636,0.27554130915208486
NGC 3379,0.33565195309488016,0.2639666068370957,0.2566029106624127,0.2721848234042099,0.2794436549677407,0.2643210892103847,0.2501328671534336,0.2636121244638066
NGC 3379,0.344602671844077,0.254585163717455,0.233659095918622,0.2857110713148674,0.2978119888656304,0.2309734151050092,0.23656858346670243,0.2726017439682074
NGC 3379,0.35355339059327384,0.22581463949602626,0.21578236061068595,0.2535526382994978,0.27313358184629916,0.2192893295349229,0.21254515852677489,0.23233994945712957
NGC 3379,0.36250410934247057,0.23218463205463347,0.20987282930849688,0.2528365919302434,0.2670237809031246,0.2269021268996449,0.19415347768589866,0.23746713720962198
NGC 3379,0.3714548280916674,0.21377821467538413,0.1984814002892264,0.23432271543987296,0.2477508801295907,0.20778089232475616,0.18989725379489117,0.21977553702601202
NGC 3379,0.38040554684086425,0.19572226478524196,0.18945522815483423,0.2162840569492547,0.2333851862004406,0.19368669597668062,0.18554925785774523,0.19775783359380325
NGC 3379,0.389356265590061,0.18982790472623903,0.1728850347365348,0.20994241639539857,0.22336945746305797,0.18425935421371054,0.16238566291144943,0.19539645523876747
NGC 3379,0.3983069843392578,0.19199472983529992,0.16898073941303224,0.20671629189589397,0.2146608082037306,0.18587972710819553,0.15338167384826606,0.19810973256240424
NGC 3379,0.40725770308845466,0.17787307571978486,0.16373771439513957,0.18957141521239884,0.19951339299316764,0.17694521215633707,0.15154617800018796,0.1788009392832326
NGC 3379,0.41620842183765144,0.16678114344600226,0.14895095501017624,0.17179919578536565,0.17605612562961037,0.16637476510457064,0.132867437999966,0.16718752178743382
NGC 3379,0.4251591405868482,0.1610881439945304,0.1441386811679346,0.17807011403737877,0.19289083108236638,0.16201433723864214,0.12934797078410318,0.1601619507504186
NGC 3379,0.43410985933604507,0.1521786713242118,0.13987394783120755,0.16772342124625425,0.1815365608904386,0.15275918663172117,0.1290516018138276,0.1515981560167024
NGC 3379,0.44306057808524185,0.15200734448170147,0.13384824364079226,0.16914421494223966,0.18437569334209392,0.1513712422876721,0.1176731679667493,0.15264344667573082
NGC 3379,0.45201129683443864,0.1458898321405095,0.12784916125859325,0.1525055970048585,0.15664511132478406,0.14375854112274652,0.11316357984552862,0.1480211231582724
NGC 3379,0.4609620155836355,0.1371360627834445,0.11715062285499299,0.15104919375985087,0.16147403872015817,0.13975561171951792,0.1011205696312594,0.134516513847371
NGC 3379,0.4699127343328323,0.13532812663238608,0.11720282979854565,0.14536915284860796,0.15458048662737214,0.13526604534315875,0.10052909237274893,0.13539020792161335
NGC 3379,0.47886345308202904,0.13268459487889425,0.10919054425527398,0.1445644903056067,0.15018982061834754,0.1268988072909844,0.09284445529923357,0.13847038246680407
NGC 3379,0.4878141718312259,0.1422912928484852,0.1234743360303147,0.15681936306467223,0.14022498099230524,0.16832252462775565,0.1080122022192465,0.14435760470466513
NGC 3379,0.49676489058042267,0.14039160547334403,0.11683494651014971,0.14592881157797064,0.14389640507153187,0.13688680587515614,0.09832553786552838,0.14780487912237558
NGC 3379,0.5057156093296195,0.11677747595348816,0.09631527195716606,0.1229561815082136,0.1271980157509799,0.11836086107855008,0.07888866992215668,0.1151940908284262
NGC 3379,0.5146663280788163,0.1059996145025249,0.08598291275292327,0.11953531146745562,0.1287364553595993,0.10243182342074983,0.07079930290569873,0.10956740558429995
NGC 3379,0.5236170468280131,0.10125588390416405,0.0840605600240693,0.10906096806332101,0.11553848389574725,0.10204365924485921,0.06891513060308503,0.10046810856346888
NGC 3379,0.5325677655772099,0.0947108833113396,0.07970330499331264,0.105147238201721,0.11281224527538686,0.09684348053858298,0.06781870706335855,0.09257828608409621
NGC 3379,0.5415184843264067,0.09367613795184114,0.07818285086763228,0.09915134249923492,0.1012457002081008,0.09688245498129686,0.06684103235555246,0.0904698209223854
NGC 3379,0.5504692030756035,0.08635803315719813,0.07502181128391411,0.09532224507949233,0.10327503253942621,0.0867067253312306,0.06487947617691268,0.08600934098316562
NGC 3379,0.5594199218248004,0.08151193488131371,0.06527819370900882,0.08833957382924257,0.09042165989014328,0.08608398059660011,0.054513551748684067,0.07693988916602729
NGC 3379,0.5683706405739971,0.08336657270725474,0.06776878648040437,0.08890278962625138,0.09212693062787372,0.08540997020782716,0.05525704304076319,0.08132317520668228
NGC 3379,0.577321359323194,0.08033150080559184,0.05918526754626136,0.08790610674461805,0.08766303446768182,0.08813048115409762,0.0464332371488086,0.07299996714350183
NGC 3379,0.5862720780723907,0.07686978599047924,0.05831968234340617,0.08111918004104567,0.08044594194532026,0.08174063059094601,0.044497576781345846,0.07329363003563817
NGC 3379,0.5952227968215875,0.0711364342611679,0.054239763866634656,0.0791506292961317,0.0745097119847711,0.08343455296815686,0.04175663217039154,0.06776315653756468
NGC 3379,0.6041735155707844,0.07094359805165769,0.05306834697574886,0.0753877624861128,0.07640215910308011,0.0742888328177315,0.03965602422820887,0.06759836328558383
NGC 3379,0.6131242343199812,0.06377466037129446,0.05199072172870325,0.06695813653229117,0.06399229122894959,0.06969583988922183,0.04131412992722381,0.0635570295136393
NGC 3379,0.6220749530691779,0.0630366986555643,0.04890707499121431,0.06754115070920093,0.06457357490801474,0.07028045144875737,0.037283000457153194,0.06149982240311383
NGC 3379,0.6310256718183748,0.0674210857893075,0.04773869235050688,0.0747906025024084,0.07500075622812372,0.0745629359662168,0.03616280626260721,0.06027923561239818
NGC 3379,0.6399763905675716,0.06584289793390949,0.048199022443186176,0.07536849804882266,0.07936723062097854,0.07103653776232041,0.03670649721643628,0.060649258105498545
NGC 3379,0.6489271093167683,0.06277350319555035,0.04830473286709773,0.06496981906378302,0.06693429531552866,0.06284163645772521,0.0350118371136106,0.06270536993337544
NGC 3379,0.6578778280659652,0.06001804397396563,0.044829930274505596,0.06477274239930517,0.06620463414475745,0.06322152634173184,0.03376719366063437,0.05681456160619941
NGC 3379,0.666828546815162,0.05667834884914176,0.04481155105312241,0.0668644341951499,0.058271129697323155,0.07479671527006687,0.03532784310127199,0.05508556800096035
NGC 3379,0.6757792655643589,0.0591655729793878,0.044166921069878885,0.06537943334289809,0.06935056642109012,0.06107737250819001,0.03208674964153423,0.057253773450585584
NGC 3379,0.6847299843135556,0.051264604722589986,0.03859423679668852,0.05773789692473162,0.05262342028506948,0.06245895228441974,0.028152803845837453,0.049905789160110486
NGC 3379,0.6936807030627524,0.058889943658666316,0.04068564780098961,0.07842203483033053,0.07103213156374485,0.08524348399948652,0.03508985584474516,0.046747755753587764
NGC 3379,0.7026314218119492,0.045810848244674955,0.03599722361391965,0.05650604200178149,0.04877216561690801,0.06364500481858777,0.029672016913745262,0.04284953087244189
