run_id,job_id,target,sample_count,max_process_rss_bytes,max_children_rss_bytes,max_swap_used_bytes,min_ram_available_bytes,min_disk_free_bytes,first_sample_at,last_sample_at
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9cf66bc6a052bb17545d1fdd1af66c101b15d2232cc8d85c3ebc880d01c242b0,NGC 4459,160,11415666688,1511899136,32511754240,3114647552,22203338752,1784638830.211393,1784643570.9485881
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-2da10bbe0bc611fc820bc269f2e66e1eeda3eca4dc434c4248fa1a1e1a145131,NGC 4461,237,13470744576,2120646656,22493593600,6651396096,47487614976,1784643601.667856,1784649111.662431
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a7cece59c6f8e83b6e5619b2b9db3447418404754e3f789e61bce3efb09205ee,NGC 4473,145,13951057920,2106212352,20299579392,8756051968,175359680512,1784649142.3778791,1784653433.731414
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-cfc6d4203c1c9b97ee6a450e71b39fed1db204d7ff87d7fd337b4734b074ec81,NGC 4474,141,13716209664,1736114176,22780248064,6491521024,166882775040,1784653464.394709,1784657634.344846
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-34a3c32eb7981a962cbea5611fc8d93434308ccbc8b771854f3995ec5b8f2db1,NGC 4476,135,9976840192,1672708096,22251569152,8274690048,163214237696,1784657665.014418,1784661657.640095
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c62fcb3cefe0b5f1e86cdc967352db9f554a0c483999977116a7a75e6b5b9937,NGC 4477,132,9952706560,1812627456,18396676096,8046133248,165518843904,1784661688.2718542,1784665589.2024179
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c3bc4f46350545868f5c8eda68e560cda76db56b00f27925a2d00dcb8546f00d,NGC 4478,139,12207898624,1677524992,17368154112,8283422720,164366827520,1784665619.8876312,1784669730.977828
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0f71e30869646f89b188dd2b9812a22c24a5352994e2f90c82acba8e3da79a43,NGC 4479,17,7298023424,1872478208,17309368320,12721963008,165565534208,1784669761.647695,1784670211.769341
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-88bf47d29c54d349bd532b1fe6f83f185712e0294ca5b319f5dae199bdfa01ce,NGC 4482,131,11687804928,1738489856,17309368320,8751448064,163950268416,1784670241.9563751,1784674112.9995909
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-ccafc268a0d778d7195e3a428b82ba636d0002ae74001e11c4eda971bda497ce,NGC 4497,90,5933350912,2191704064,16948658176,11919048704,160080437248,1784677926.031873,1784680566.515795
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-f36bed0b060c7e65950e83ba29744472e1f12fa07f98ecf86dadbf70dc2ee2a0,NGC 4503,8,5952634880,1928462336,16806051840,13080100864,160071544832,1784680596.733906,1784680776.771064
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-6557013d24f18a6762387d272470f8ce8f02c5601bbf2b14b02885f1e2bed6ca,NGC 4506,117,9170092032,1928953856,16789274624,7718191104,152438718464,1784680806.972943,1784684257.7188349
