event_id,run_id,job_id,target,attempt_id,created_at,level,event_type,message,payload_json
1940,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-bacbaa20eea2650dea6c5bdbf1f22324de149948b30813b8a72b14b07f97fb7c,NGC 4436,142,1784625323.808031,INFO,ARTIFACTS_VERIFIED,,"{""artifact_count"":5,""artifact_manifest_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/artifact_manifests/NGC_4436__F150W__F115W__bacbaa20eea2_result_artifacts.json"",""artifacts"":[{""exists"":true,""fits_valid"":true,""mtime_ns"":1784622207356430307,""mtime_utc"":""2026-07-21T08:23:27.356+00:00"",""name"":""clean_model_fits"",""ok"":true,""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_01_модель_чистая.fits"",""relative_path"":""jw07763-o045_t045_nircam_clear-f150w_i2d_01_модель_чистая.fits"",""sha256"":""4561c017716c40958f5ef421a9c80afe4108366b506d1cc75ca4a589df2f6261"",""size_bytes"":173701440},{""exists"":true,""fits_valid"":true,""mtime_ns"":1784622207477709248,""mtime_utc"":""2026-07-21T08:23:27.477+00:00"",""name"":""clean_isophotes_fits"",""ok"":true,""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_02_изофоты_чистые.fits"",""relative_path"":""jw07763-o045_t045_nircam_clear-f150w_i2d_02_изофоты_чистые.fits"",""sha256"":""d203b97e0c1355e60572c9a80823ae17636df76a13495a459f1fcf6b02445913"",""size_bytes"":173701440},{""exists"":true,""fits_valid"":true,""mtime_ns"":1784622207647674012,""mtime_utc"":""2026-07-21T08:23:27.647+00:00"",""name"":""full_residual_fits"",""ok"":true,""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_03_остатки_общие.fits"",""relative_path"":""jw07763-o045_t045_nircam_clear-f150w_i2d_03_остатки_общие.fits"",""sha256"":""053ccfa0e6b9857f351afda538a0f79e6b307d628d6c5bb23f94a79eb68d063b"",""size_bytes"":173701440},{""exists"":true,""fits_valid"":true,""mtime_ns"":1784622207817447438,""mtime_utc"":""2026-07-21T08:23:27.817+00:00"",""name"":""working_residual_fits"",""ok"":true,""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits"",""relative_path"":""jw07763-o045_t045_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits"",""sha256"":""ff09bdce736071622a7611e84f062b42fa71ca710dc91233b30e0ddfb57033c2"",""size_bytes"":173701440},{""exists"":true,""fits_valid"":true,""mtime_ns"":1784625294556174638,""mtime_utc"":""2026-07-21T09:14:54.556+00:00"",""name"":""working_annuli_residual_fits"",""ok"":true,""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4436/F150W__F115W/bacbaa20eea2/jw07763-o045_t045_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits"",""relative_path"":""jw07763-o045_t045_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits"",""sha256"":""6a3dbf3bd655a809f5815691e7a16d3eb29b125104b984883e9f292b75d0755b"",""size_bytes"":173701440}],""target"":""NGC 4436""}"
1941,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,,1784625323.8519092,INFO,JOB_STATE_CHANGED,,"{""from"":""PENDING"",""to"":""READY""}"
1942,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,,1784625323.855697,INFO,INPUT_READY_INITIAL,,"{""inputs"":{""color"":{""expected_size_bytes"":1216137600,""filter"":""F115W"",""final_exists"":true,""final_fits_error"":null,""final_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f115w_i2d.fits"",""final_ready"":true,""final_size_bytes"":1216137600,""part_exists"":false,""part_metadata"":null,""part_metadata_error"":null,""part_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f115w_i2d.fits.part"",""part_size_bytes"":0,""restart_part_exists"":false,""restart_part_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f115w_i2d.fits.restart.part"",""restart_part_size_bytes"":0,""transfer_percent"":null},""signal"":{""expected_size_bytes"":1216258560,""filter"":""F150W"",""final_exists"":true,""final_fits_error"":null,""final_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f150w_i2d.fits"",""final_ready"":true,""final_size_bytes"":1216258560,""part_exists"":false,""part_metadata"":null,""part_metadata_error"":null,""part_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f150w_i2d.fits.part"",""part_size_bytes"":0,""restart_part_exists"":false,""restart_part_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f150w_i2d.fits.restart.part"",""restart_part_size_bytes"":0,""transfer_percent"":null}},""program"":""7763"",""target"":""NGC 4438""}"
1943,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,,1784625323.980129,INFO,WORKER_START_REQUESTED,,"{""color_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f115w_i2d.fits"",""command"":[""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/astro_env/bin/python3"",""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/run_sbf_batch.py"",""--worker"",""--job-id"",""job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d"",""--galaxy"",""NGC 4438"",""--signal"",""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f150w_i2d.fits"",""--color"",""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f115w_i2d.fits"",""--signal-filter"",""F150W"",""--color-filter"",""F115W"",""--template"",""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf-3.ipynb"",""--batch-root"",""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch"",""--products-root"",""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products""],""filters"":{""color"":""F115W"",""signal"":""F150W""},""program"":""7763"",""signal_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4438/jw07763-o006_t006_nircam_clear-f150w_i2d.fits"",""target"":""NGC 4438""}"
1944,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,,1784625323.9807072,INFO,JOB_STATE_CHANGED,,"{""from"":""READY"",""to"":""RUNNING""}"
1945,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,143,1784625323.985536,INFO,ATTEMPT_STARTED,,"{""attempt_no"":1,""pid"":12787}"
1946,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,143,1784629795.384788,INFO,WORKER_SUPERVISION_ENDED,,"{""completed"":true,""detail"":null,""duration_seconds"":4471.426105958992,""ended_monotonic"":484585.873937875,""last_sample"":{""available_ram_bytes"":10874109952,""collector"":""psutil"",""disk"":{""free_bytes"":202720759808,""free_gib"":188.79841995239258,""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data"",""total_bytes"":994662584320,""total_gib"":926.3517189025879,""used_bytes"":791941824512,""used_gib"":737.5532989501953},""disk_free_bytes"":202720759808,""monotonic"":484555.861415875,""pid"":12787,""swap"":{""free_bytes"":923795456,""free_gib"":0.8603515625,""percent"":94.6,""total_bytes"":17179869184,""total_gib"":16.0,""used_bytes"":16256073728,""used_gib"":15.1396484375},""swap_used_bytes"":16256073728,""system_ram"":{""available_bytes"":10874109952,""available_gib"":10.127304077148438,""percent"":68.4,""total_bytes"":34359738368,""total_gib"":32.0,""used_bytes"":11248910336,""used_gib"":10.476364135742188},""timestamp_utc"":""2026-07-21T10:29:25.366+00:00"",""worker"":{""child_count"":1,""children_rss_bytes"":5439488,""children_rss_gib"":0.00506591796875,""pid"":12787,""rss_bytes"":7978745856,""rss_gib"":7.4307861328125,""status"":""sleeping"",""total_rss_bytes"":7984185344,""total_rss_gib"":7.43585205078125},""worker_children_rss_bytes"":5439488,""worker_rss_bytes"":7978745856,""worker_total_rss_bytes"":7984185344},""ok"":true,""reason"":""completed"",""returncode"":0,""sample_count"":149,""signal_name"":null,""started_monotonic"":480114.447831916,""termination"":null}"
1947,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,,1784629795.83276,INFO,JOB_STATE_CHANGED,,"{""from"":""RUNNING"",""to"":""VERIFYING""}"
1948,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,143,1784629795.8354292,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":171,""kind"":""clean_model_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_01_модель_чистая.fits"",""verified"":true}"
1949,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-0dfeb66040f0d460b5c84fbf046b5a57cd38cc044ccce21eae9e068c11bd1e0d,NGC 4438,143,1784629795.8378491,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":172,""kind"":""clean_isophotes_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/NGC_4438/F150W__F115W/0dfeb66040f0/jw07763-o006_t006_nircam_clear-f150w_i2d_02_изофоты_чистые.fits"",""verified"":true}"
