run_id,job_id,program,obsid,target,state,queue_position,attempt_count,started_at,ended_at,last_error
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-692d7651b4be58691bd0e202811999e81fc6a1e8466d4c3a7727e7ac56fec782,7763,o019_t019,NGC 4313,RETRY_WAIT,28,1,1784610286.19963,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-7fa94d968a0ee80e0b41c8d2d54bd4c65df55e6b29caf855edabb2fd875d599e,7763,o039_t039,NGC 4351,RETRY_WAIT,29,1,1784611006.581571,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-97d9506a70786a1eb87e4b8918df6713f25c544e106a3f6d45070203682ce275,7763,o036_t036,NGC 4352,SUCCEEDED,30,0,,1784566163.90939,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-70f76d998feb2ed7b10b6a83703de5506b719ad766fd8afb59ebe85735a0919e,7763,o011_t011,NGC 4371,SUCCEEDED,31,1,1784611757.177195,1784615808.963072,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-5fc473f0d09584eca5d3499a8323450a81fbe2592ca94d69ea7e4ee5a80e7343,7763,o023_t023,NGC 4387,RETRY_WAIT,32,1,1784615809.1478841,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-1d0d0ee50401df87b2bfc36ae11e7011097cbe9c71aad383cc743023d82b66f2,7763,o013_t013,NGC 4388,RETRY_WAIT,33,1,1784616079.406733,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-9b8a035b409d29e6ea235ad78adae843294bd2c2ae89b47b88e64d4d6eaac81b,7763,o022_t022,NGC 4402,RETRY_WAIT,34,1,1784616289.642856,,worker exited 1; required artifacts are absent or invalid
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-fc1e75a022ae2153706d5f37bb43912b9067eaba6981d4757e483d0ce3fbe911,7763,o031_t031,NGC 4413,SUCCEEDED,35,1,1784616860.046465,1784620491.777746,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-6bb78b3d5d2fe73666312999f1e0b76039162b36e7809b840ae4951807ef71a7,7763,o005_t005,NGC 4429,SUCCEEDED,36,0,,1784566164.4173398,
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-33b7f707f21c76d1939c66e01e0067d64fcc68138d8e6cc0460349740993c975,7763,o042_t042,NGC 4431,SUCCEEDED,37,0,,1784566164.911506,
