galaxy,ring,brightness_left_MJy_sr,brightness_right_MJy_sr,brightness_center_MJy_sr,pixel_count,zone
NGC 3379,inner,-0.24763907492160886,-0.17229859729607977,-0.20996883610884431,11017,blue
NGC 3379,inner,-0.17229859729607977,-0.09695811967055068,-0.13462835848331522,11054,blue
NGC 3379,inner,-0.09695811967055068,-0.02161764204502159,-0.059287880857786135,10906,blue
NGC 3379,inner,-0.02161764204502159,0.0537228355805075,0.016052596767742955,10668,blue
NGC 3379,inner,0.0537228355805075,0.1290633132060366,0.09139307439327204,10538,blue
NGC 3379,inner,0.1290633132060366,0.2044037908315648,0.1667335520188007,10433,blue
NGC 3379,inner,0.2044037908315648,0.2797442684570939,0.24207402964432934,10230,blue
NGC 3379,inner,0.2797442684570939,0.35508474608262297,0.3174145072698584,10067,blue
NGC 3379,inner,0.35508474608262297,0.43042522370815206,0.3927549848953875,10007,blue
NGC 3379,inner,0.43042522370815206,0.5057657013336812,0.4680954625209166,9563,blue
NGC 3379,inner,0.5057657013336812,0.5811061789592102,0.5434359401464457,9392,blue
NGC 3379,inner,0.5811061789592102,0.6564466565847393,0.6187764177719748,9228,blue
NGC 3379,inner,0.6564466565847393,0.7317871342102684,0.6941168953975039,9044,blue
NGC 3379,inner,0.7317871342102684,0.8071276118357966,0.7694573730230325,8810,blue
NGC 3379,inner,0.8071276118357966,0.8824680894613257,0.8447978506485612,8505,blue
NGC 3379,inner,0.8824680894613257,0.9578085670868548,0.9201383282740903,8377,blue
NGC 3379,inner,0.9578085670868548,1.033149044712383,0.9954788058996189,8073,blue
NGC 3379,inner,1.033149044712383,1.108489522337912,1.0708192835251475,7622,blue
NGC 3379,inner,1.108489522337912,1.1838299999634412,1.1461597611506766,7586,blue
NGC 3379,inner,1.1838299999634412,1.2591704775889703,1.2215002387762057,7148,blue
NGC 3379,inner,1.2591704775889703,1.3345109552144994,1.2968407164017348,6789,blue
NGC 3379,inner,1.3345109552144994,1.4098514328400285,1.372181194027264,6737,blue
NGC 3379,inner,1.4098514328400285,1.4851919104655575,1.447521671652793,6430,blue
NGC 3379,inner,1.4851919104655575,1.5605323880910866,1.522862149278322,6105,blue
NGC 3379,inner,1.5605323880910866,1.6358728657166157,1.5982026269038512,5951,blue
NGC 3379,inner,1.6358728657166157,1.7112133433421448,1.6735431045293803,5785,blue
NGC 3379,inner,1.7112133433421448,1.786553820967674,1.7488835821549094,5464,blue
NGC 3379,inner,1.786553820967674,1.861894298593203,1.8242240597804384,5296,blue
NGC 3379,inner,1.861894298593203,1.937234776218732,1.8995645374059675,5155,blue
NGC 3379,inner,1.937234776218732,2.012575253844261,1.9749050150314966,4879,blue
NGC 3379,inner,2.012575253844261,2.0879157314697885,2.050245492657025,4635,blue
NGC 3379,inner,2.0879157314697885,2.1632562090953176,2.125585970282553,4449,blue
NGC 3379,inner,2.1632562090953176,2.2385966867208467,2.200926447908082,4252,blue
NGC 3379,inner,2.2385966867208467,2.3139371643463758,2.276266925533611,3989,blue
NGC 3379,inner,2.3139371643463758,2.389277641971905,2.3516074031591403,3879,blue
NGC 3379,inner,2.389277641971905,2.464618119597434,2.4269478807846694,3709,blue
NGC 3379,inner,2.464618119597434,2.539958597222963,2.5022883584101985,3518,blue
NGC 3379,inner,2.539958597222963,2.615299074848492,2.5776288360357276,3325,blue
NGC 3379,inner,2.615299074848492,2.690639552474021,2.6529693136612567,3184,blue
NGC 3379,inner,2.690639552474021,2.7659800300995503,2.7283097912867857,2949,blue
NGC 3379,inner,2.7659800300995503,2.81803497672081,2.79200750341018,2029,blue
NGC 3379,inner,2.81803497672081,2.8413205077250794,2.8296777422229447,872,red
NGC 3379,inner,2.8413205077250794,2.9166609853506085,2.878990746537844,2703,red
NGC 3379,inner,2.9166609853506085,2.9920014629761376,2.954331224163373,2560,red
NGC 3379,inner,2.9920014629761376,3.0673419406016666,3.029671701788902,2378,red
NGC 3379,inner,3.0673419406016666,3.1426824182271957,3.105012179414431,2307,red
NGC 3379,inner,3.1426824182271957,3.218022895852723,3.1803526570399594,2163,red
NGC 3379,inner,3.218022895852723,3.293363373478252,3.2556931346654876,2115,red
NGC 3379,inner,3.293363373478252,3.3687038511037812,3.3310336122910167,1976,red
NGC 3379,inner,3.3687038511037812,3.4440443287293103,3.4063740899165458,1803,red
NGC 3379,inner,3.4440443287293103,3.5193848063548394,3.481714567542075,1722,red
NGC 3379,inner,3.5193848063548394,3.5947252839803685,3.557055045167604,1698,red
NGC 3379,inner,3.5947252839803685,3.6700657616058976,3.632395522793133,1586,red
NGC 3379,inner,3.6700657616058976,3.707736000418663,3.6889008810122803,805,red
NGC 3379,inner,3.707736000418663,3.7454062392314267,3.726571119825045,725,yellow
NGC 3379,inner,3.7454062392314267,3.8207467168569558,3.7830764780441912,1385,yellow
NGC 3379,inner,3.8207467168569558,3.896087194482485,3.8584169556697203,1316,yellow
NGC 3379,inner,3.896087194482485,3.971427672108014,3.9337574332952494,1318,yellow
NGC 3379,inner,3.971427672108014,4.046768149733543,4.0090979109207785,1112,yellow
NGC 3379,inner,4.046768149733543,4.122108627359072,4.084438388546308,1109,yellow
NGC 3379,inner,4.122108627359072,4.197449104984601,4.159778866171837,1056,yellow
NGC 3379,inner,4.197449104984601,4.2727895826101285,4.235119343797365,975,yellow
NGC 3379,inner,4.2727895826101285,4.348130060235658,4.310459821422893,920,yellow
NGC 3379,inner,4.348130060235658,4.423470537861187,4.385800299048422,847,yellow
NGC 3379,inner,4.423470537861187,4.498811015486716,4.461140776673951,803,yellow
NGC 3379,inner,4.498811015486716,4.574151493112245,4.53648125429948,785,yellow
NGC 3379,inner,4.574151493112245,4.591052398085594,4.5826019455989195,191,yellow
NGC 3379,inner,4.591052398085594,4.649491970737774,4.620272184411684,549,orange
NGC 3379,inner,4.649491970737774,4.724832448363303,4.6871622095505385,681,orange
NGC 3379,inner,4.724832448363303,4.800172925988832,4.762502687176068,628,orange
NGC 3379,inner,4.800172925988832,4.875513403614361,4.837843164801597,576,orange
NGC 3379,inner,4.875513403614361,4.95085388123989,4.913183642427126,581,orange
NGC 3379,inner,4.95085388123989,5.026194358865419,4.988524120052655,544,orange
NGC 3379,inner,5.026194358865419,5.1015348364909485,5.063864597678184,509,orange
NGC 3379,inner,5.1015348364909485,5.176875314116478,5.139205075303713,472,orange
NGC 3379,inner,5.176875314116478,5.252215791742007,5.214545552929242,444,orange
NGC 3379,inner,5.252215791742007,5.327556269367534,5.28988603055477,432,orange
NGC 3379,inner,5.327556269367534,5.402896746993063,5.365226508180299,359,orange
NGC 3379,inner,5.402896746993063,5.478237224618592,5.440566985805828,370,orange
NGC 3379,inner,5.478237224618592,5.553577702244121,5.515907463431357,351,orange
NGC 3379,inner,5.553577702244121,5.62891817986965,5.591247941056886,288,orange
NGC 3379,inner,5.62891817986965,5.7042586574951795,5.666588418682415,260,orange
NGC 3379,inner,5.7042586574951795,5.7795991351207086,5.741928896307944,296,orange
NGC 3379,inner,5.7795991351207086,5.854939612746238,5.817269373933473,267,orange
NGC 3379,inner,5.854939612746238,5.930280090371767,5.892609851559002,245,orange
NGC 3379,inner,5.930280090371767,6.005620567997296,5.967950329184531,209,orange
NGC 3379,inner,6.005620567997296,6.080961045622825,6.04329080681006,203,orange
NGC 3379,inner,6.080961045622825,6.156301523248354,6.1186312844355895,192,orange
NGC 3379,inner,6.156301523248354,6.231642000873883,6.1939717620611185,186,orange
NGC 3379,inner,6.231642000873883,6.306982478499412,6.269312239686648,131,orange
NGC 3379,inner,6.306982478499412,6.3823229561249395,6.344652717312176,153,orange
NGC 3379,inner,6.3823229561249395,6.457663433750469,6.419993194937704,141,orange
NGC 3379,inner,6.457663433750469,6.5330039113759995,6.495333672563234,2022,orange
NGC 3379,outer,-7.028282061219215,-6.952941583593686,-6.990611822406451,0,orange
NGC 3379,outer,-6.952941583593686,-6.877601105968157,-6.915271344780922,0,orange
NGC 3379,outer,-6.877601105968157,-6.802260628342628,-6.839930867155393,0,orange
NGC 3379,outer,-6.802260628342628,-6.7269201507171,-6.7645903895298645,0,orange
NGC 3379,outer,-6.7269201507171,-6.651579673091571,-6.689249911904335,0,orange
NGC 3379,outer,-6.651579673091571,-6.576239195466042,-6.613909434278806,0,orange
NGC 3379,outer,-6.576239195466042,-6.500898717840513,-6.538568956653277,0,orange
NGC 3379,outer,-6.500898717840513,-6.425558240214984,-6.463228479027748,0,orange
NGC 3379,outer,-6.425558240214984,-6.3502177625894545,-6.387888001402219,0,orange
NGC 3379,outer,-6.3502177625894545,-6.274877284963925,-6.31254752377669,0,orange
NGC 3379,outer,-6.274877284963925,-6.199536807338397,-6.237207046151161,0,orange
NGC 3379,outer,-6.199536807338397,-6.124196329712868,-6.161866568525633,0,orange
NGC 3379,outer,-6.124196329712868,-6.048855852087339,-6.0865260909001035,0,orange
NGC 3379,outer,-6.048855852087339,-5.97351537446181,-6.0111856132745745,0,orange
NGC 3379,outer,-5.97351537446181,-5.898174896836281,-5.935845135649045,0,orange
NGC 3379,outer,-5.898174896836281,-5.822834419210752,-5.860504658023516,0,orange
NGC 3379,outer,-5.822834419210752,-5.747493941585223,-5.785164180397987,0,orange
NGC 3379,outer,-5.747493941585223,-5.6721534639596936,-5.709823702772458,0,orange
NGC 3379,outer,-5.6721534639596936,-5.596812986334165,-5.63448322514693,0,orange
NGC 3379,outer,-5.596812986334165,-5.521472508708636,-5.559142747521401,0,orange
NGC 3379,outer,-5.521472508708636,-5.446132031083107,-5.483802269895872,0,orange
NGC 3379,outer,-5.446132031083107,-5.370791553457578,-5.408461792270343,0,orange
NGC 3379,outer,-5.370791553457578,-5.295451075832049,-5.3331213146448135,0,orange
NGC 3379,outer,-5.295451075832049,-5.220110598206521,-5.2577808370192844,0,orange
NGC 3379,outer,-5.220110598206521,-5.144770120580992,-5.182440359393756,0,orange
NGC 3379,outer,-5.144770120580992,-5.077862396836281,-5.111316258708636,0,orange
NGC 3379,outer,-5.077862396836281,-5.069429642955463,-5.073646019895872,0,yellow
NGC 3379,outer,-5.069429642955463,-4.9940891653299335,-5.031759404142698,0,yellow
NGC 3379,outer,-4.9940891653299335,-4.918748687704404,-4.956418926517169,0,yellow
NGC 3379,outer,-4.918748687704404,-4.843408210078875,-4.88107844889164,0,yellow
NGC 3379,outer,-4.843408210078875,-4.768067732453346,-4.805737971266111,0,yellow
NGC 3379,outer,-4.768067732453346,-4.692727254827817,-4.730397493640582,0,yellow
NGC 3379,outer,-4.692727254827817,-4.617386777202288,-4.655057016015053,0,yellow
NGC 3379,outer,-4.617386777202288,-4.542046299576759,-4.5797165383895235,0,yellow
NGC 3379,outer,-4.542046299576759,-4.466705821951231,-4.504376060763995,0,yellow
NGC 3379,outer,-4.466705821951231,-4.391365344325702,-4.429035583138466,0,yellow
NGC 3379,outer,-4.391365344325702,-4.316024866700173,-4.353695105512937,0,yellow
NGC 3379,outer,-4.316024866700173,-4.2406843890746435,-4.278354627887408,0,yellow
NGC 3379,outer,-4.2406843890746435,-4.203014150261879,-4.221849269668262,0,yellow
NGC 3379,outer,-4.203014150261879,-4.165343911449115,-4.184179030855497,0,red
NGC 3379,outer,-4.165343911449115,-4.090003433823586,-4.127673672636351,0,red
NGC 3379,outer,-4.090003433823586,-4.014662956198057,-4.052333195010822,0,red
NGC 3379,outer,-4.014662956198057,-3.939322478572528,-3.9769927173852926,0,red
NGC 3379,outer,-3.939322478572528,-3.863982000946999,-3.9016522397597635,0,red
NGC 3379,outer,-3.863982000946999,-3.78864152332147,-3.8263117621342344,0,red
NGC 3379,outer,-3.78864152332147,-3.7133010456959408,-3.7509712845087053,1,red
NGC 3379,outer,-3.7133010456959408,-3.637960568070412,-3.6756308068831762,2,red
NGC 3379,outer,-3.637960568070412,-3.562620090444883,-3.6002903292576476,2,red
NGC 3379,outer,-3.562620090444883,-3.487279612819354,-3.5249498516321185,4,red
NGC 3379,outer,-3.487279612819354,-3.4119391351938253,-3.44960937400659,15,red
NGC 3379,outer,-3.4119391351938253,-3.336598657568296,-3.3742688963810608,13,red
NGC 3379,outer,-3.336598657568296,-3.3301688730716705,-3.3333837653199834,0,red
NGC 3379,outer,-3.3301688730716705,-3.261258179942767,-3.295713526507219,22,blue
NGC 3379,outer,-3.261258179942767,-3.185917702317238,-3.2235879411300026,33,blue
NGC 3379,outer,-3.185917702317238,-3.1105772246917094,-3.1482474635044735,32,blue
NGC 3379,outer,-3.1105772246917094,-3.0352367470661803,-3.072906985878945,86,blue
NGC 3379,outer,-3.0352367470661803,-2.9598962694406517,-2.997566508253416,105,blue
NGC 3379,outer,-2.9598962694406517,-2.8845557918151226,-2.922226030627887,138,blue
NGC 3379,outer,-2.8845557918151226,-2.8092153141895935,-2.846885553002358,193,blue
NGC 3379,outer,-2.8092153141895935,-2.7338748365640644,-2.771545075376829,299,blue
NGC 3379,outer,-2.7338748365640644,-2.6585343589385353,-2.6962045977513,383,blue
NGC 3379,outer,-2.6585343589385353,-2.583193881313006,-2.6208641201257707,533,blue
NGC 3379,outer,-2.583193881313006,-2.507853403687477,-2.5455236425002417,698,blue
NGC 3379,outer,-2.507853403687477,-2.432512926061949,-2.470183164874713,973,blue
NGC 3379,outer,-2.432512926061949,-2.35717244843642,-2.3948426872491844,1229,blue
NGC 3379,outer,-2.35717244843642,-2.2818319708108907,-2.3195022096236553,1577,blue
NGC 3379,outer,-2.2818319708108907,-2.2064914931853616,-2.244161731998126,2092,blue
NGC 3379,outer,-2.2064914931853616,-2.1311510155598326,-2.168821254372597,2611,blue
NGC 3379,outer,-2.1311510155598326,-2.0558105379343035,-2.093480776747068,3301,blue
NGC 3379,outer,-2.0558105379343035,-1.9804700603087744,-2.018140299121539,4272,blue
NGC 3379,outer,-1.9804700603087744,-1.9051295826832462,-1.9427998214960103,5347,blue
NGC 3379,outer,-1.9051295826832462,-1.829789105057717,-1.8674593438704816,6705,blue
NGC 3379,outer,-1.829789105057717,-1.754448627432188,-1.7921188662449525,8284,blue
NGC 3379,outer,-1.754448627432188,-1.679108149806659,-1.7167783886194234,10576,blue
NGC 3379,outer,-1.679108149806659,-1.6037676721811298,-1.6414379109938944,13245,blue
NGC 3379,outer,-1.6037676721811298,-1.5284271945556007,-1.5660974333683653,16311,blue
NGC 3379,outer,-1.5284271945556007,-1.4530867169300716,-1.4907569557428362,20009,blue
NGC 3379,outer,-1.4530867169300716,-1.3777462393045434,-1.4154164781173075,24448,blue
NGC 3379,outer,-1.3777462393045434,-1.3024057616790143,-1.3400760004917789,29488,blue
NGC 3379,outer,-1.3024057616790143,-1.2270652840534853,-1.2647355228662498,34606,blue
NGC 3379,outer,-1.2270652840534853,-1.1517248064279562,-1.1893950452407207,40314,blue
NGC 3379,outer,-1.1517248064279562,-1.076384328802427,-1.1140545676151916,46206,blue
NGC 3379,outer,-1.076384328802427,-1.001043851176898,-1.0387140899896625,51211,blue
NGC 3379,outer,-1.001043851176898,-0.9257033735513689,-0.9633736123641334,55835,blue
NGC 3379,outer,-0.9257033735513689,-0.8503628959258407,-0.8880331347386048,59641,blue
NGC 3379,outer,-0.8503628959258407,-0.7750224183003116,-0.8126926571130761,63166,blue
NGC 3379,outer,-0.7750224183003116,-0.6996819406747825,-0.737352179487547,65032,blue
NGC 3379,outer,-0.6996819406747825,-0.6243414630492534,-0.662011701862018,67021,blue
NGC 3379,outer,-0.6243414630492534,-0.5490009854237243,-0.5866712242364889,67797,blue
NGC 3379,outer,-0.5490009854237243,-0.47366050779819524,-0.5113307466109598,67580,blue
NGC 3379,outer,-0.47366050779819524,-0.39832003017266615,-0.4359902689854307,66880,blue
NGC 3379,outer,-0.39832003017266615,-0.32297955254713795,-0.36064979135990205,65542,blue
NGC 3379,outer,-0.32297955254713795,-0.24763907492160886,-0.2853093137343734,64388,blue
NGC 3379,outer,-0.24763907492160886,-0.17229859729607977,-0.20996883610884431,62296,blue
NGC 3379,outer,-0.17229859729607977,-0.09695811967055068,-0.13462835848331522,60719,blue
NGC 3379,outer,-0.09695811967055068,-0.02161764204502159,-0.059287880857786135,57458,blue
NGC 3379,outer,-0.02161764204502159,0.0537228355805075,0.016052596767742955,55047,blue
NGC 3379,outer,0.0537228355805075,0.1290633132060366,0.09139307439327204,52847,blue
NGC 3379,outer,0.1290633132060366,0.2044037908315648,0.1667335520188007,49361,blue
NGC 3379,outer,0.2044037908315648,0.2797442684570939,0.24207402964432934,46931,blue
NGC 3379,outer,0.2797442684570939,0.35508474608262297,0.3174145072698584,44927,blue
NGC 3379,outer,0.35508474608262297,0.43042522370815206,0.3927549848953875,41965,blue
NGC 3379,outer,0.43042522370815206,0.5057657013336812,0.4680954625209166,39030,blue
NGC 3379,outer,0.5057657013336812,0.5811061789592102,0.5434359401464457,36393,blue
NGC 3379,outer,0.5811061789592102,0.6564466565847393,0.6187764177719748,34282,blue
NGC 3379,outer,0.6564466565847393,0.7317871342102684,0.6941168953975039,31729,blue
NGC 3379,outer,0.7317871342102684,0.8071276118357966,0.7694573730230325,29706,blue
NGC 3379,outer,0.8071276118357966,0.8824680894613257,0.8447978506485612,27194,blue
NGC 3379,outer,0.8824680894613257,0.9578085670868548,0.9201383282740903,25151,blue
NGC 3379,outer,0.9578085670868548,1.033149044712383,0.9954788058996189,23166,blue
NGC 3379,outer,1.033149044712383,1.108489522337912,1.0708192835251475,21279,blue
NGC 3379,outer,1.108489522337912,1.1838299999634412,1.1461597611506766,19865,blue
NGC 3379,outer,1.1838299999634412,1.2591704775889703,1.2215002387762057,18002,blue
NGC 3379,outer,1.2591704775889703,1.3345109552144994,1.2968407164017348,16681,blue
NGC 3379,outer,1.3345109552144994,1.4098514328400285,1.372181194027264,15129,blue
NGC 3379,outer,1.4098514328400285,1.4851919104655575,1.447521671652793,13864,blue
NGC 3379,outer,1.4851919104655575,1.5605323880910866,1.522862149278322,12525,blue
NGC 3379,outer,1.5605323880910866,1.6358728657166157,1.5982026269038512,11446,blue
NGC 3379,outer,1.6358728657166157,1.7112133433421448,1.6735431045293803,10572,blue
NGC 3379,outer,1.7112133433421448,1.786553820967674,1.7488835821549094,9294,blue
NGC 3379,outer,1.786553820967674,1.861894298593203,1.8242240597804384,8480,blue
NGC 3379,outer,1.861894298593203,1.937234776218732,1.8995645374059675,7632,blue
NGC 3379,outer,1.937234776218732,2.012575253844261,1.9749050150314966,6794,blue
NGC 3379,outer,2.012575253844261,2.0879157314697885,2.050245492657025,6045,blue
NGC 3379,outer,2.0879157314697885,2.1632562090953176,2.125585970282553,5327,blue
NGC 3379,outer,2.1632562090953176,2.2385966867208467,2.200926447908082,4900,blue
NGC 3379,outer,2.2385966867208467,2.3139371643463758,2.276266925533611,4189,blue
NGC 3379,outer,2.3139371643463758,2.389277641971905,2.3516074031591403,3857,blue
NGC 3379,outer,2.389277641971905,2.464618119597434,2.4269478807846694,3541,blue
NGC 3379,outer,2.464618119597434,2.539958597222963,2.5022883584101985,3154,blue
NGC 3379,outer,2.539958597222963,2.615299074848492,2.5776288360357276,2768,blue
NGC 3379,outer,2.615299074848492,2.690639552474021,2.6529693136612567,2408,blue
NGC 3379,outer,2.690639552474021,2.7659800300995503,2.7283097912867857,2093,blue
NGC 3379,outer,2.7659800300995503,2.81803497672081,2.79200750341018,1337,blue
NGC 3379,outer,2.81803497672081,2.8413205077250794,2.8296777422229447,563,red
NGC 3379,outer,2.8413205077250794,2.9166609853506085,2.878990746537844,1656,red
NGC 3379,outer,2.9166609853506085,2.9920014629761376,2.954331224163373,1526,red
NGC 3379,outer,2.9920014629761376,3.0673419406016666,3.029671701788902,1329,red
