galaxy,k,relative_power
NGC 4486,0.42500000000000004,0.02725499855725633
NGC 4486,0.435,0.02341232364058598
NGC 4486,0.445,0.02126232405137164
NGC 4552,0.015,8.038718044324389
NGC 4552,0.025,5.761572192536342
NGC 4552,0.035,3.1324850513420346
NGC 4552,0.045,2.905405935550688
NGC 4552,0.05500000000000001,2.718678627379307
NGC 4552,0.065,2.3729111971466357
NGC 4552,0.075,1.9030352879062196
NGC 4552,0.08499999999999999,2.1477761372830444
NGC 4552,0.095,1.9560915014754945
NGC 4552,0.105,1.3066910274965444
NGC 4552,0.11499999999999999,1.42796908289038
NGC 4552,0.125,1.2793411438450752
NGC 4552,0.135,1.1672890066303898
NGC 4552,0.14500000000000002,1.0
NGC 4552,0.15500000000000003,0.7961869950834439
NGC 4552,0.165,0.6771112041260254
NGC 4552,0.17500000000000002,0.6125998611083898
NGC 4552,0.185,0.577309713241142
NGC 4552,0.195,0.5117285916479479
NGC 4552,0.20500000000000002,0.46365667338098165
NGC 4552,0.21500000000000002,0.4070914687129271
NGC 4552,0.225,0.350798076968741
NGC 4552,0.23500000000000001,0.2979180293951785
NGC 4552,0.245,0.3062111521243759
NGC 4552,0.255,0.24975093355744074
NGC 4552,0.265,0.23179576553201303
NGC 4552,0.275,0.20859808833295443
NGC 4552,0.28500000000000003,0.17594334545516366
NGC 4552,0.29500000000000004,0.1561015742184023
NGC 4552,0.305,0.16054862594985383
NGC 4552,0.315,0.14648047632235622
NGC 4552,0.325,0.12864231027005807
NGC 4552,0.335,0.11112003454648568
NGC 4552,0.34500000000000003,0.1089440770280125
NGC 4552,0.35500000000000004,0.10758905660135337
NGC 4552,0.365,0.09021123883622764
NGC 4552,0.375,0.09597791491691159
NGC 4552,0.385,0.085871782705011
NGC 4552,0.395,0.08456918901521418
NGC 4552,0.405,0.07743272758809407
NGC 4552,0.41500000000000004,0.07207551574995076
NGC 4552,0.42500000000000004,0.07075913916542403
NGC 4552,0.435,0.07048071102447863
NGC 4552,0.445,0.0700185970099525
NGC 4621,0.015,5.147646208246412
NGC 4621,0.025,3.592737386842922
NGC 4621,0.035,3.5403496504948966
NGC 4621,0.045,2.6912952867571174
NGC 4621,0.05500000000000001,2.335402835307964
NGC 4621,0.065,2.7733606786814047
NGC 4621,0.075,2.1121633426973347
NGC 4621,0.08499999999999999,2.0577202986672685
NGC 4621,0.095,1.5958929506384185
NGC 4621,0.105,1.741598177037989
NGC 4621,0.11499999999999999,1.3389608511587312
NGC 4621,0.125,1.1531944890493124
NGC 4621,0.135,1.0579229113923156
NGC 4621,0.14500000000000002,1.0
NGC 4621,0.15500000000000003,0.8161970067559735
NGC 4621,0.165,0.7252719197649798
NGC 4621,0.17500000000000002,0.6310928304876791
NGC 4621,0.185,0.6601344164362222
NGC 4621,0.195,0.5064371682633205
NGC 4621,0.20500000000000002,0.4111144681730875
NGC 4621,0.21500000000000002,0.38628518976033044
NGC 4621,0.225,0.34450603190485957
NGC 4621,0.23500000000000001,0.3127756416467963
NGC 4621,0.245,0.28450422576023765
NGC 4621,0.255,0.24187738595484395
NGC 4621,0.265,0.20825615710429438
NGC 4621,0.275,0.20032633870773245
NGC 4621,0.28500000000000003,0.17567530432531758
NGC 4621,0.29500000000000004,0.167836478453027
NGC 4621,0.305,0.16178153523378952
NGC 4621,0.315,0.14490830959506698
NGC 4621,0.325,0.12527949556298007
NGC 4621,0.335,0.1092651543537073
NGC 4621,0.34500000000000003,0.09855196008724795
NGC 4621,0.35500000000000004,0.09528310421942077
NGC 4621,0.365,0.08657421141824
NGC 4621,0.375,0.0777864446982533
NGC 4621,0.385,0.07390868415199076
NGC 4621,0.395,0.0710710402112581
NGC 4621,0.405,0.0673266818436697
NGC 4621,0.41500000000000004,0.06471231525063251
NGC 4621,0.42500000000000004,0.062190292634180695
NGC 4621,0.435,0.0572872595884383
NGC 4621,0.445,0.056141547111322576
NGC 4636,0.015,5.696920621742376
NGC 4636,0.025,3.224392768048393
NGC 4636,0.035,4.901756835996641
NGC 4636,0.045,2.9462635055576865
NGC 4636,0.05500000000000001,2.288137610290943
NGC 4636,0.065,2.978149558324389
NGC 4636,0.075,2.184855411701535
NGC 4636,0.08499999999999999,1.9977116217958786
NGC 4636,0.095,1.7757477768346612
NGC 4636,0.105,1.6416781624984997
NGC 4636,0.11499999999999999,1.3061258101920226
NGC 4636,0.125,1.3547048133324824
NGC 4636,0.135,1.0
NGC 4636,0.14500000000000002,1.1172926482808987
NGC 4636,0.15500000000000003,0.9263153667190954
NGC 4636,0.165,0.7512093842830229
NGC 4636,0.17500000000000002,0.7549743309515539
NGC 4636,0.185,0.6040100301941841
NGC 4636,0.195,0.5820071220139889
NGC 4636,0.20500000000000002,0.4735985376777956
NGC 4636,0.21500000000000002,0.4164059102476361
NGC 4636,0.225,0.3776266288072273
NGC 4636,0.23500000000000001,0.32835523852437204
NGC 4636,0.245,0.2823611110781375
NGC 4636,0.255,0.24945291619507337
NGC 4636,0.265,0.22576973941638717
NGC 4636,0.275,0.20441668820346565
NGC 4636,0.28500000000000003,0.17656302850600458
NGC 4636,0.29500000000000004,0.1677552452185889
NGC 4636,0.305,0.15020476089410215
NGC 4636,0.315,0.12782619102481937
NGC 4636,0.325,0.11399077285444728
NGC 4636,0.335,0.10411605721058363
NGC 4636,0.34500000000000003,0.09617337578423767
NGC 4636,0.35500000000000004,0.07994933738617116
NGC 4636,0.365,0.07064720432736202
NGC 4636,0.375,0.06313398515448922
NGC 4636,0.385,0.054811795559799086
NGC 4636,0.395,0.05158808390306771
NGC 4636,0.405,0.042069387255345744
NGC 4636,0.41500000000000004,0.04065556605059561
NGC 4636,0.42500000000000004,0.03901841630176688
NGC 4636,0.435,0.036926244531067756
NGC 4636,0.445,0.03116165530460448
NGC 4649,0.015,3.574092617045841
NGC 4649,0.025,3.8853352426195973
NGC 4649,0.035,3.4274435545959974
NGC 4649,0.045,2.783658377963945
NGC 4649,0.05500000000000001,2.325153295315319
NGC 4649,0.065,2.5020799307408246
NGC 4649,0.075,2.2545525818898557
NGC 4649,0.08499999999999999,1.9120227114407553
NGC 4649,0.095,1.6482428932727464
NGC 4649,0.105,1.631311950136967
NGC 4649,0.11499999999999999,1.3081767139728657
NGC 4649,0.125,1.105840501651573
NGC 4649,0.135,1.1104611878655402
NGC 4649,0.14500000000000002,1.0
NGC 4649,0.15500000000000003,0.8638986896131233
NGC 4649,0.165,0.8106149378337011
NGC 4649,0.17500000000000002,0.7419563823693434
NGC 4649,0.185,0.6361822424543525
NGC 4649,0.195,0.5743633676052909
NGC 4649,0.20500000000000002,0.46580074035453345
NGC 4649,0.21500000000000002,0.44034195970584955
NGC 4649,0.225,0.3593944391884925
NGC 4649,0.23500000000000001,0.3304189377893983
NGC 4649,0.245,0.2727235434311485
NGC 4649,0.255,0.25860903788317513
NGC 4649,0.265,0.23241715552567235
NGC 4649,0.275,0.19836829527008837
NGC 4649,0.28500000000000003,0.17316730804174768
NGC 4649,0.29500000000000004,0.15419905476621262
NGC 4649,0.305,0.13562529197948098
NGC 4649,0.315,0.12097374813292101
NGC 4649,0.325,0.09909254335005772
NGC 4649,0.335,0.08838048352613238
NGC 4649,0.34500000000000003,0.0785274296666891
NGC 4649,0.35500000000000004,0.06848484990659953
NGC 4649,0.365,0.05862461061577231
NGC 4649,0.375,0.05186426657996265
NGC 4649,0.385,0.041549492981392405
NGC 4649,0.395,0.036104844452683464
NGC 4649,0.405,0.031076697597681256
NGC 4649,0.41500000000000004,0.02692971067585019
NGC 4649,0.42500000000000004,0.023005265856071103
NGC 4649,0.435,0.021480929417668014
NGC 4649,0.445,0.0184210558865144
NGC 4697,0.015,15.34480495320084
NGC 4697,0.025,6.131539474473191
NGC 4697,0.035,4.122681629089415
NGC 4697,0.045,3.2154295854743395
NGC 4697,0.05500000000000001,2.808771288938074
NGC 4697,0.065,2.8368229330798185
NGC 4697,0.075,2.625878593895443
NGC 4697,0.08499999999999999,1.7856022732040568
NGC 4697,0.095,1.9320892314516678
NGC 4697,0.105,1.4801915545883497
NGC 4697,0.11499999999999999,1.3182643300211687
NGC 4697,0.125,1.2415730100474403
NGC 4697,0.135,1.0368382010984176
NGC 4697,0.14500000000000002,1.0
NGC 4697,0.15500000000000003,0.8465286413990152
NGC 4697,0.165,0.6974009360143862
NGC 4697,0.17500000000000002,0.6318088605336879
NGC 4697,0.185,0.537591221557891
NGC 4697,0.195,0.49460831299754826
NGC 4697,0.20500000000000002,0.427947879710549
NGC 4697,0.21500000000000002,0.36158554566189816
NGC 4697,0.225,0.3201843205432781
NGC 4697,0.23500000000000001,0.29893979590408304
NGC 4697,0.245,0.26289482531911357
NGC 4697,0.255,0.2297640974885333
NGC 4697,0.265,0.2227668805522228
NGC 4697,0.275,0.1994524874311676
NGC 4697,0.28500000000000003,0.19052693625238923
NGC 4697,0.29500000000000004,0.1736507156592129
NGC 4697,0.305,0.1506459377218972
NGC 4697,0.315,0.147261456010426
NGC 4697,0.325,0.13118505676604367
NGC 4697,0.335,0.12080256277321752
NGC 4697,0.34500000000000003,0.10675789650157734
NGC 4697,0.35500000000000004,0.09951473856438176
NGC 4697,0.365,0.09556054918868273
NGC 4697,0.375,0.08419729811951125
NGC 4697,0.385,0.0848002300374317
NGC 4697,0.395,0.07970353337259414
NGC 4697,0.405,0.07623195839274992
NGC 4697,0.41500000000000004,0.07345990812621127
NGC 4697,0.42500000000000004,0.07128759470373171
NGC 4697,0.435,0.06845697676797337
NGC 4697,0.445,0.06776085433182144
