galaxy,environment,method,method_label,band,mu_mag,sigma_mu_internal_mag,sigma_mu_common_mag,sigma_mu_total_mag,distance_mpc,sigma_distance_internal_mpc,sigma_distance_common_mpc,sigma_distance_total_mpc,uncertainty_convention
NGC 4374,Virgo,this_work_f090w,This work,F090W,31.135516099264,0.0588781061320373,0.047,0.0753367863775423,16.869539202921107,0.4574069259343798,0.3651293652466531,0.585269638079888,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4406,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.096,0.025,0.047,0.05323532661682466,16.565326493180184,0.19071536921888013,0.35854489413149465,0.40611179884861565,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4406,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4406,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4406,Virgo,this_work_f150w,This work,F150W,31.05402551845271,0.0883970026328869,0.04700000000000001,0.1001150841505845,16.248194294759802,0.6614367594813254,0.3516807897291374,0.7491181246356723,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4406,Virgo,this_work_f090w,This work,F090W,30.99263735485967,0.0590914629845607,0.047,0.0755036489029219,15.795285164710982,0.4298311618193789,0.341877888702623,0.5492133633250017,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4472,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.016,0.027,0.047,0.05420332093147061,15.966142459934131,0.19852236875266352,0.345575975236118,0.39853969131764344,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4472,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,31.03562,0.06866979539797684,0.063,0.09319088367431656,16.11105573266113,0.5094897342277089,0.46742316720651444,0.6914218730448081,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4472,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,31.04618,0.1318739428393646,0.1,0.16550147068832954,16.189595575972795,0.983197296093612,0.7455584286967463,1.2339101643339159,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4472,Virgo,this_work_f150w,This work,F150W,30.91338836018879,0.0859638386592037,0.04700000000000005,0.0979733716732542,15.2292204045384,0.6028914942800657,0.3296258132852626,0.6871181344275679,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4472,Virgo,this_work_f090w,This work,F090W,30.97609068870798,0.0692277113464359,0.047,0.0836748230847574,15.675382166189047,0.4997396361521117,0.3392826722468052,0.6040301611909611,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4486,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.046,0.025,0.047,0.05323532661682466,16.18825362642106,0.18637415740901966,0.35038341592895694,0.39686756570418613,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4486,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4486,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4486,Virgo,this_work_f150w,This work,F150W,31.013473780586967,0.0995679153415464,0.04699999999999995,0.1101034502886324,15.947578776443788,0.7312398566783208,0.34517417730388394,0.8086142100361237,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4486,Virgo,this_work_f090w,This work,F090W,30.995712686516097,0.0926010739014585,0.047,0.1038458419374766,15.8176709680194,0.6745346207667539,0.342362413742354,0.7564449596344998,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4552,Virgo,trgb_paper4,TRGB Paper IV,TRGB,30.923,0.028,0.047,0.05470831746635972,15.296779272301395,0.1972439611700404,0.3310880776782821,0.38538875878617496,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4552,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,30.978859999999997,0.06877599872048387,0.063,0.09326916961139944,15.695385968742528,0.49711239275852015,0.45536351818122217,0.6741488446363172,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4552,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4552,Virgo,this_work_f150w,This work,F150W,31.068699996418097,0.0791883481351758,0.04699999999999997,0.0920857995587691,16.35836895571474,0.5965501611311594,0.354065443129378,0.6937106260999719,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4552,Virgo,this_work_f090w,This work,F090W,30.984601351242567,0.0552126780096022,0.047,0.0725082051425355,15.73693932072992,0.40013336562064356,0.3406150337590869,0.52547627111565,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4621,Virgo,trgb_paper4,TRGB Paper IV,TRGB,30.821,0.026,0.047,0.05371219600798314,14.59486223782621,0.1747507435602258,0.3158955748973313,0.36100946887106333,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4621,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4621,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4621,Virgo,this_work_f150w,This work,F150W,30.901508990591648,0.0855796709105325,0.047,0.0976364689711536,15.14613411675322,0.5969226998225068,0.32782746875701035,0.6810194995996951,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4621,Virgo,this_work_f090w,This work,F090W,30.762104132412595,0.0547684870345264,0.047,0.0721705422735002,14.204332389330736,0.3582591198902078,0.30744282974669124,0.4720918242748538,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4636,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.07,0.026,0.047,0.05371219600798314,16.368165214278086,0.19598328475471413,0.3542774762873679,0.40487279250129155,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4636,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,31.06048,0.06820474177064231,0.063,0.09284873073984372,16.296562253528798,0.5118659649462177,0.47280518853151327,0.6968152641645003,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4636,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4636,Virgo,this_work_f150w,This work,F150W,31.10055219233845,0.0893009512250188,0.04700000000000003,0.1009141213591695,16.600089840433046,0.6826721844012184,0.3592973224440648,0.771450502152021,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4636,Virgo,this_work_f090w,This work,F090W,30.987005463140747,0.0589190629490408,0.047,0.0753687997701504,15.75437187660162,0.4274670146635076,0.34099234922594673,0.5468124274885872,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4649,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.009,0.025,0.047,0.05323532661682466,15.914756566438562,0.1832254061425527,0.34446376354799907,0.39016257361996576,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4649,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,31.04564,0.07093728215825582,0.063,0.09487411659667772,16.18557006100947,0.528747381398147,0.4695850195355484,0.7071660935788698,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4649,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,31.00098,0.1348043945871202,0.1,0.16784583640948622,15.856086267711438,0.9843413623275817,0.7301997574651992,1.2256098903775032,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4649,Virgo,this_work_f150w,This work,F150W,31.086037619115707,0.0870431879849673,0.04700000000000002,0.0989217699729759,16.48950139716313,0.6609795103090415,0.3569037130153159,0.7511818510936611,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4649,Virgo,this_work_f090w,This work,F090W,31.143751610030733,0.0482153641975463,0.047,0.0673329142745361,16.933639974166514,0.3759944703725022,0.36651678156165257,0.5250775113419073,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4697,Virgo,trgb_paper4,TRGB Paper IV,TRGB,30.324,0.028,0.047,0.05470831746635972,11.609138701261834,0.14969376640974424,0.25127167933064215,0.29248193198140654,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4697,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,30.33394,0.06817038946639516,0.063,0.09282349917989517,11.662401802297168,0.36612506311019466,0.33835627398480206,0.4985303701704866,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4697,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,"Reconstructed measurement, color, calibration coefficients and 0.114-mag scatter; plus the 0.10-mag common Cepheid scale (Jensen et al. 2015, Section 5.2)"
NGC 4697,Virgo,this_work_f150w,This work,F150W,30.30108854596627,0.0892097500082837,0.046999999999999896,0.1008334245007104,11.487293282400614,0.47192796809381815,0.24863442054651863,0.533418299413943,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4697,Virgo,this_work_f090w,This work,F090W,30.237595951937053,0.0585275747554952,0.047,0.0750631534560072,11.15627447049512,0.30069444364258996,0.2414697501176538,0.3856485299588331,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
