model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance,use_shared_anchor_covariance
constant,14,2,0.567460681637547,-3.132890376610947,0.0,,,0.055034250203725675,18.151146400846407,-32.302292801692815,-31.211383710783725,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1751405673091275,0.0,,,0.07157301508026262,15.792405740913798,-27.584811481827597,-26.493902390918507,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.212506317724862,0.0,,,0.08128894735072552,14.313921888582163,-24.627843777164326,-23.536934686255236,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2201709161811314,0.0,,,0.06801433272611149,16.40041450154429,-28.80082900308858,-27.70991991217949,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.201802921729465,0.0,,,0.06138295564118718,17.373658258731,-30.747316517461996,-29.656407426552907,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.204649698017083,0.0,,,0.07171377004985946,15.78267077055711,-27.56534154111422,-26.47443245020513,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2239069450590128,0.0,,,0.07995597870108574,14.557238228316766,-25.114476456633533,-24.023567365724443,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.194265053246851,0.0,,,0.07310327965953259,15.712486757616391,-27.424973515232782,-26.334064424323692,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1776098635291046,0.0,,,0.08588785185987116,13.576951317689248,-23.153902635378497,-22.062993544469407,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1692858209293773,0.0,,,0.10213929355055376,11.424682266261186,-18.849364532522372,-17.758455441613282,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.205391151722971,0.0,,,0.07447006076837855,15.331840774769802,-26.663681549539604,-25.572772458630514,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.203269135040971,0.0,,,0.08193641246811396,14.254379930116476,-24.508759860232953,-23.417850769323863,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2165192422757203,0.0,,,0.07102497526173045,15.835699103694663,-27.671398207389327,-26.580489116480237,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2287419616785042,0.0,,,0.07240803113623749,15.629254841350525,-27.25850968270105,-26.16760059179196,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.232257030069297,0.0,,,0.06928637635231001,16.208642688299843,-28.417285376599686,-27.326376285690596,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2289337598976346,0.0,,,0.08097187051633299,14.39548766233822,-24.79097532467644,-23.70006623376735,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1987885404029,0.0,,,0.05422783265580372,18.84963100744549,-33.69926201489098,-32.60835292398188,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1886180926386074,0.0,,,0.08051648805740928,14.330823547647249,-24.661647095294498,-23.570738004385408,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.24276323946134,0.0,,,0.07469175636276547,15.277211641297413,-26.554423282594826,-25.463514191685736,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.237588076202427,0.0,,,0.0773648655395397,14.962168965542364,-25.92433793108473,-24.83342884017564,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.199941526399784,0.0,,,0.07805626699731598,14.830097292079547,-25.660194584159093,-24.569285493250003,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.243568218712986,0.0,,,0.06522638289705038,16.88236387412854,-29.76472774825708,-28.67381865734799,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.189076630819965,0.0,,,0.08621170707717847,13.556328580213858,-23.112657160427716,-22.021748069518626,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.209867118759848,0.0,,,0.07416566995682669,15.40867140000537,-26.81734280001074,-25.72643370910165,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2127043396839654,0.0,,,0.1002332658868475,11.681918775253486,-19.36383755050697,-18.272928459597882,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1744179041419307,0.0,,,0.0393714337711392,21.865764512822174,-39.73152902564435,-38.640619934735255,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.219251188139013,0.0,,,0.08587298387850262,13.63696414688806,-23.27392829377612,-22.18301920286703,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1667710896589387,0.0,,,0.05758074140170046,18.253644786495098,-32.507289572990196,-31.416380482081106,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1699289771629777,0.0,,,0.05347301722338439,18.677519901621476,-33.35503980324295,-32.26413071233386,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2109272475346424,0.0,,,0.075068639745209,15.25044678339185,-26.5008935667837,-25.40998447587461,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1992414074958564,0.0,,,0.06859945817540877,16.277310262018286,-28.554620524036572,-27.463711433127482,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1945954777216197,0.0,,,0.09245626866449257,12.685166521953702,-21.370333043907404,-20.279423952998314,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.188812613785407,0.0,,,0.06740393631651315,16.67608381372596,-29.35216762745192,-28.26125853654283,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.19969921871288,0.0,,,0.06035661164680105,17.818283026698815,-31.63656605339763,-30.54565696248854,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2019295014255165,0.0,,,0.05752404445563615,18.37339859806414,-32.74679719612828,-31.655888105219187,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1831568389837517,0.0,,,0.09163792722639223,12.862890254967928,-21.725780509935856,-20.634871419026766,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.221999342455228,0.0,,,0.043496846893502576,21.308426545912234,-38.61685309182447,-37.52594400091537,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2238055950661173,0.0,,,0.097527763110697,12.029017756395238,-20.058035512790475,-18.967126421881385,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.215537312671544,0.0,,,0.06666932390433175,16.608987673416177,-29.217975346832354,-28.127066255923264,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2277301711828827,0.0,,,0.0899898134349446,13.058927306273693,-22.117854612547386,-21.026945521638297,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2262368615053614,0.0,,,0.08001401222531894,14.536709203194512,-25.073418406389024,-23.982509315479934,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2015147566717106,0.0,,,0.07508674379951177,15.229844078784138,-26.459688157568277,-25.368779066659187,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2579874706174103,0.0,,,0.04488656428526656,20.91336491637845,-37.8267298327569,-36.7358207418478,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2463013011255093,0.0,,,0.06990872732760901,16.19397867791663,-28.387957355833258,-27.297048264924168,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2241245273083714,0.0,,,0.0655487086822714,16.83477535839191,-29.669550716783817,-28.578641625874727,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1904859758617032,0.0,,,0.0907333980665429,12.974035128465383,-21.948070256930766,-20.857161166021676,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.235814236501672,0.0,,,0.08568092919566656,13.69373789154941,-23.38747578309882,-22.29656669218973,True,sigma_color_stat_mag,True,False
