sample,model,galaxy,delta_mu_sbf_minus_trgb
paper_iv_high_quality_9,constant,NGC 4636,-0.0014912576547523315
paper_iv_high_quality_9,constant,NGC 4697,-0.057172862564346616
paper_iv_high_quality_9,linear,NGC 1380,-0.17541978034648764
paper_iv_high_quality_9,linear,NGC 1404,-0.009725875899285086
paper_iv_high_quality_9,linear,NGC 3379,0.1295107853900319
paper_iv_high_quality_9,linear,NGC 4374,0.011811396226679705
paper_iv_high_quality_9,linear,NGC 4406,-0.17614428345577338
paper_iv_high_quality_9,linear,NGC 4552,0.11378099104281247
paper_iv_high_quality_9,linear,NGC 4621,0.04816815346239878
paper_iv_high_quality_9,linear,NGC 4636,-0.042139983680261395
paper_iv_high_quality_9,linear,NGC 4697,-0.02568907448182145
paper_iv_high_quality_9,quadratic,NGC 1380,-0.08373593309074678
paper_iv_high_quality_9,quadratic,NGC 1404,-0.07690996702848807
paper_iv_high_quality_9,quadratic,NGC 3379,0.07766390909842258
paper_iv_high_quality_9,quadratic,NGC 4374,-0.050181230586609615
paper_iv_high_quality_9,quadratic,NGC 4406,-0.030663308535846312
paper_iv_high_quality_9,quadratic,NGC 4552,0.06380661983882518
paper_iv_high_quality_9,quadratic,NGC 4621,-0.010919874002087937
paper_iv_high_quality_9,quadratic,NGC 4636,0.01384139677668017
paper_iv_high_quality_9,quadratic,NGC 4697,0.07884870024174973
paper_iv_high_quality_9,broken,NGC 1380,-0.08765881863825697
paper_iv_high_quality_9,broken,NGC 1404,-0.06791908289180526
paper_iv_high_quality_9,broken,NGC 3379,0.08577329349479257
paper_iv_high_quality_9,broken,NGC 4374,-0.061874978007772086
paper_iv_high_quality_9,broken,NGC 4406,-0.04983954944628621
paper_iv_high_quality_9,broken,NGC 4552,0.05554766268368283
paper_iv_high_quality_9,broken,NGC 4621,-0.023343666564198173
paper_iv_high_quality_9,broken,NGC 4636,0.03292423795032562
paper_iv_high_quality_9,broken,NGC 4697,0.08513466410737891
