slope,delta_fornax_mag
-1.7771995336768043,-0.14242169309129263
-0.1670868236402009,-0.07501462745767562
-2.1324466789379843,-0.20450110619956963
-2.821506795760155,-0.13935767186819
-1.7213631273987533,-0.059363492663112534
-0.6830595633705473,-0.06323180608693281
-0.5535644101265037,-0.10611149504078503
-1.525974259639787,-0.15395406847045623
-1.7574840627782569,-0.057120598111342076
0.16402392416141404,-0.16783124577877429
-0.7174909618572077,-0.15746499832248925
-0.7287986917730668,-0.148869144876329
-1.6403517937961267,-0.1614134287858296
-1.1364440895734522,-0.15817303631848603
0.0006302434080860327,-0.036065558106855945
-1.6859154728566992,-0.11734713764737682
-0.8586026770486594,-0.15297681414895695
-0.9368578022171535,-0.21992106315411808
-1.2129930660944843,-0.155062582639957
-0.9984804729371717,-0.23926444985314152
-2.0263470576758555,-0.3243005278099415
-1.9767828290112581,-0.2521051299400108
-1.361144288887232,-0.17013535484916353
-0.2947097865765887,-0.10022267323188214
-1.5000530027553793,-0.2604971966867186
-1.458182471859929,-0.08720602485451084
-2.886120079984253,-0.15936595169722131
-0.5617434581320111,-0.20137811115545667
-1.0879905036727362,-0.17320546339833837
-1.12046057326621,-0.0985894699652748
-0.957163590307854,-0.14199230063571797
-0.2558277246720604,-0.10055967336385352
-1.674167014482893,-0.1722154606887052
-1.099488579126172,-0.09219531979782385
-1.1468165584921994,-0.1485965239282711
-1.1910857250114182,-0.15467170535223393
-1.1304566577695534,-0.21913535225859768
-1.5201185109011608,-0.16411333498974698
-1.3306722941158617,-0.11387216920116953
-0.5915673277521413,-0.08023429414490647
-0.8457969080637444,-0.1580620323838495
-0.30695166790661454,-0.1493121643515226
-1.8745564306574818,-0.19624663093738803
-1.5731331510955442,-0.19386531279548858
-0.6764162029357021,-0.06603843804520816
-1.0004420623515837,-0.1347299720975345
-1.4046687036855205,-0.21252650036568718
-1.2916680851844786,-0.2652121158634456
-0.8340339429689138,-0.14541273874474592
-1.3113491793140506,-0.1401290499447935
-1.6985794064398712,-0.1922165260100092
-1.0285528252434486,-0.16957901926282185
-1.2307987037015693,-0.26184631915778395
-1.9307844740513294,-0.2245429885672371
-0.20307186178001374,-0.02889051333060809
-0.7765842865511967,-0.13436881080611743
-0.9856472937281635,-0.22349249513607586
-1.9295537187678178,-0.16507985755750193
-3.509464435161048,-0.14439416779498912
-1.4413643605306106,-0.1101941451256808
-0.4703924951527921,-0.16327085338459993
-0.6059044122779883,-0.17007449124634894
-1.227382981517525,-0.2202941543607731
-1.4161702375256082,-0.04866890438032976
-0.7202211471768413,-0.21573350318786344
-1.4426466106261713,-0.15533605450222385
-0.6481387276901277,-0.09107637409108446
-0.5871102123642185,-0.16474955712648376
-1.0728591259160727,-0.2472040006455914
-0.9124189805220385,-0.18687597941989456
-4.173612598338483,-0.2317451794643431
-2.139359369312874,-0.11696836772036119
-1.5416287615036643,-0.16602455650101014
-1.5507259351986094,-0.23000336436217259
-1.4745634807504486,-0.250307136926466
-0.36360450027463986,-0.1872400793447751
-0.8652057440470492,-0.12068306309285351
-0.8402395387328191,-0.1113614124838399
-1.1207960327322537,-0.20463011568073092
-2.015355253894441,-0.11324971811364636
-0.4471777558983059,-0.1438765705811474
-1.5813512649802397,-0.2533555357257616
-0.4774196607122118,-0.15337294969466414
0.8055390974819672,-0.06131379716388129
-1.2296510925528865,-0.1492801366591785
-1.2760219770333268,-0.1380921655566938
-1.4839790914259807,-0.22421885193285188
-0.5463565636724969,-0.09095449955190983
-1.675526929601366,-0.11836066926107341
-2.215102504029866,-0.24500530864987816
-2.117569322582901,-0.2258627402935921
-2.2266552343473824,-0.1329871581248699
-0.5856087409135023,-0.17479526148537414
-0.895917460152803,-0.20505457674379335
-0.8609558253365983,-0.22767625551450052
-1.3647972578349699,-0.11948062691061706
-1.1768315693878804,-0.13094370520813803
-1.3824513447020925,-0.15773173099198778
-0.32346077130095413,-0.1203387988562405
-1.1172015389476915,-0.21959448788624614
-0.8470804661484662,-0.10035743616126415
-0.8097374746133398,-0.1240482396598903
-1.9085706799273827,-0.16491080867129226
-0.3657734711900201,-0.053283965020414485
0.19834078776088324,-0.07144653660239389
-1.3876779327200655,-0.1103912856401301
-1.3876779327205833,-0.11039128564006775
-0.1925001350864753,-0.15444658099101286
-1.5873797194117674,-0.22311436491605868
0.6871240531744283,-0.07426857252481402
-2.799524122727816,-0.08309959540929059
-2.386305775804073,-0.13768511019570062
-1.0991595723042422,-0.19607403834123732
-0.176506542708107,-0.17502601370555218
-2.78609209987917,-0.12162521043779367
-0.272554475658002,-0.11015729208450564
-0.796847403839262,-0.19651571913966653
-0.822961061855711,-0.12575254073702416
-1.2105972949373769,-0.0661686019393646
-1.0427942530567507,-0.17036012936567357
-1.8893693159867544,-0.14026642356283206
-1.80744106641888,-0.15760814408317747
-1.6871721777322315,-0.1367365979116099
-1.5507153357549535,-0.1677449508137512
-0.5922826065064328,-0.1398427844828348
-0.33561101489830486,-0.10924249425656314
-0.8586026770486508,-0.15297681414895772
-1.463037638206629,-0.1944966374650414
-1.4213909537196994,-0.19156524205095127
-1.3528247671787008,-0.11183948600877762
-1.0385886135409816,-0.1537771148370334
-0.34686382927399767,-0.06819378573866912
-1.9458059414342068,-0.1583155469437638
-2.325891903069491,-0.12544200881329245
-1.9308250454927012,-0.12003633332415566
-1.2831316005621336,-0.04307567658351454
-1.541628761503665,-0.16602455650100986
-1.4620521587653816,-0.2395116013629346
-1.4745634807503794,-0.2503071369264539
-0.9527567818508308,-0.20677951309891626
-1.4994959062250306,-0.29960681895587454
-1.7548105783702248,-0.1352924174762154
-1.0879905036727338,-0.1732054633983389
-0.1773798242139595,-0.2013092713195786
-2.472625148634011,-0.18882313157191885
-0.7266932840389515,-0.1997836887745479
-2.163030619194746,-0.21451607131222383
-1.3911298902934328,-0.15618197461354097
-1.3379997192033724,-0.18226425254513223
-1.075443024215202,-0.10231419684741398
-1.2273829815458899,-0.2202941543602023
-0.36689942843523177,-0.1445421709897971
-0.455955832177444,-0.23955230390576931
-2.9946605110202977,-0.21186594311207635
-0.8719208586163667,-0.14970819140633
-0.6935415869854074,-0.059205134441654636
-1.432822238564465,-0.08830575657046187
-1.164781165090058,-0.17250799371509135
-1.0879219104402627,-0.2183418498597973
-1.9384471714558857,-0.16750419891341922
-2.0250521929794107,-0.23032559223143284
-1.5556257832239346,-0.14426907652640697
-0.44369516259968356,-0.08456644247077977
-0.15171513053539606,-0.12466154657270843
-0.38304676136982,-0.05501751646105175
-0.34942246229129015,-0.1820364955629096
-2.0002085663678155,-0.13769486644720505
-2.734981884932082,-0.21627105106024222
-2.1286177446267014,-0.12799933553333945
0.07112119226532441,-0.08821283760841553
-3.1912968005783044,-0.2352760158042558
0.5100928807529926,-0.029642760124255266
-0.31387460391454064,-0.07375309554834601
-1.5855086383321644,-0.09304328040801461
-0.6587025773700358,-0.19526038903154078
-0.8410109920280985,-0.17440389251659114
0.010516506992907957,-0.10157134986953395
-0.9067506853349241,-0.10951153313559295
-0.023418394147281474,-0.10055271877817427
-0.9411121225687837,-0.08165964365084588
-0.8810001094462616,-0.2044608440799079
-1.617209982248702,-0.21788792397654144
-0.569366642337178,-0.22254906638167796
-2.609795163438069,-0.18696912168904592
-0.5617434581324148,-0.2013781111554663
-0.6046572980707009,-0.23933949097850943
-0.17350828768159987,-0.11282476012564989
-1.2951447536745175,-0.21977508024053086
-1.4555755198396623,-0.24560991186168388
-0.865205744047047,-0.12068306309285397
-0.2188640493849505,-0.14604236369006562
-0.16328282852457154,-0.06417951820439942
-1.032013950690905,-0.15868023005784462
-1.4808158399474916,-0.20390458775522977
-1.6172950595458944,-0.15570170012619694
-1.0403014150611292,-0.0929149637260797
-1.726563356552657,-0.13318063165982566
-1.878124493934209,-0.16466589533042927
-2.9291477973431683,-0.15818411642797334
-0.14172667576445955,-0.11431279200760606
-0.5926049499604427,-0.18636006030744012
-0.5538926102595984,-0.16509369644179356
-1.879461063383291,-0.12058592123505557
-0.659500623984884,-0.14899394172710928
-0.5449500258602776,-0.16389265986434817
0.5902871626695955,0.0005167429072955816
-1.92969455549624,-0.1340096591968651
-1.7905129115789484,-0.1118735524277735
-0.849576134836411,-0.18335000402524268
-0.7103707306439612,-0.21782893246183938
-1.144133638835346,-0.14176123128914364
