galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4636,inner,raw_global_3p5,0.3086818668251222,0.03156173253026673,0.0001864686502748208,29762,0.1008426225999374,0.0008920249381416446
NGC 4636,inner,raw_global_3p5,0.3176291673128069,0.028266720358978977,0.00016276481867142988,30604,0.09588040691018397,0.0006807148566190323
NGC 4636,inner,raw_global_3p5,0.32657646780049165,0.02491293759183055,0.00014128324590924676,31396,0.09093961005847344,0.00019629066730924303
NGC 4636,inner,raw_global_3p5,0.3355237682881763,0.021475908475095905,0.00011953047857974723,32310,0.08604919374574317,0.00018910941975256368
NGC 4636,inner,raw_global_3p5,0.344471068775861,0.01903936598750099,0.0001048512357957329,33150,0.08056623331047766,0.0005279471936532994
NGC 4636,inner,raw_global_3p5,0.35341836926354575,0.01655012111356177,9.025664380171802e-05,34048,0.07502335945594149,0.0003203421480328036
NGC 4636,inner,raw_global_3p5,0.3623656697512304,0.014214837282449802,7.852432771301784e-05,34826,0.06948297512031114,0.0005165962122154098
NGC 4636,inner,raw_global_3p5,0.3713129702389151,0.012293545816288217,6.527972052208021e-05,35762,0.0641599244190931,0.0003704950760923247
NGC 4636,inner,raw_global_3p5,0.38026027072659985,0.0103089921088922,5.476954732740516e-05,36576,0.058967566770927,0.0004788284553116444
NGC 4636,inner,raw_global_3p5,0.3892075712142845,0.008678436305756746,4.596506079033921e-05,37486,0.05376999022620341,0.00031660694010127594
NGC 4636,inner,raw_global_3p5,0.3981548717019692,0.007231901333770214,3.7743402135704606e-05,38328,0.04893816704034822,0.000530176065721826
NGC 4636,inner,raw_global_3p5,0.40710217218965394,0.005989464947494861,3.14708620151942e-05,39182,0.04427527395016338,0.0003652729325737964
NGC 4636,inner,raw_global_3p5,0.4160494726773386,0.004928019627775649,2.5165607818167143e-05,40048,0.0400826618434982,0.0003978545331848263
NGC 4636,inner,raw_global_3p5,0.4249967731650233,0.004129781283487613,2.081590383741766e-05,40910,0.036105199294255354,0.00047529330058778535
NGC 4636,inner,raw_global_3p5,0.43394407365270804,0.003382781470577259,1.693075493321411e-05,41770,0.03247318114272511,0.00026097481048763124
NGC 4636,inner,raw_global_3p5,0.4428913741403927,0.0027921952911040015,1.3805381233247393e-05,42612,0.02928443950405662,0.00022891061828201175
NGC 4636,inner,raw_global_3p5,0.4518386746280775,0.0023256212722825883,1.1212251099368154e-05,43498,0.02646929412270268,0.00020890807879829596
NGC 4636,inner,raw_global_3p5,0.46078597511576214,0.0019419569132258848,9.397749283469783e-06,44320,0.024174068123683314,0.000119139340886829
NGC 4636,inner,raw_global_3p5,0.4697332756034468,0.0016340524804229178,7.765576961814418e-06,45250,0.02197158241917731,0.00024671232130746057
NGC 4636,inner,raw_global_3p5,0.47868057609113157,0.001393624673012551,6.553900344897738e-06,46038,0.020188978922819865,0.00022416661375721677
NGC 4636,inner,raw_global_3p5,0.48762787657881623,0.001213967376541309,5.751369320629932e-06,47008,0.01866010485632542,0.00026692146434897945
NGC 4636,inner,raw_global_3p5,0.49657517706650095,0.0011243934752537105,5.38427879373194e-06,47481,0.017269686222942168,0.00026071396877093417
NGC 4636,inner,raw_global_3p5,0.5055224775541856,0.0009334410709726474,4.7619122294155335e-06,39738,0.012912567842405416,0.00025848361528625695
NGC 4636,inner,raw_global_3p5,0.5144697780418703,0.0008182381534127895,4.442743967825604e-06,34564,0.009826357024697922,0.00010418188071737931
NGC 4636,inner,raw_global_3p5,0.5234170785295551,0.0007446321621420716,4.2459454550150015e-06,31156,0.0076711297023315346,8.555511399592723e-05
NGC 4636,inner,raw_global_3p5,0.5323643790172398,0.0006782581875609253,4.003191864991384e-06,28432,0.005988778627099593,5.8921893071086776e-05
NGC 4636,inner,raw_global_3p5,0.5413116795049244,0.0006253395621738927,3.922730435530238e-06,26002,0.004671138392615045,3.812954134173168e-05
NGC 4636,inner,raw_global_3p5,0.5502589799926092,0.0005886186500734244,3.864023408215743e-06,23936,0.0035861636908936984,1.4660638227783692e-05
NGC 4636,inner,raw_global_3p5,0.5592062804802939,0.0005601361850549668,3.823428253857225e-06,22012,0.0027629609461461277,3.8253967113363494e-05
NGC 4636,inner,raw_global_3p5,0.5681535809679785,0.0005367353434296232,3.697516083670158e-06,20230,0.0020756591200794404,2.004329449344617e-05
NGC 4636,inner,raw_global_3p5,0.5771008814556633,0.000505930805769022,3.7255645106668264e-06,18606,0.0015285962168932344,2.5172482887511914e-05
NGC 4636,inner,raw_global_3p5,0.586048181943348,0.00048655528514509206,3.792571491373983e-06,16966,0.0011060367216014348,1.800775382510116e-05
NGC 4636,inner,raw_global_3p5,0.5949954824310326,0.00048094137533887194,3.852342812063791e-06,15522,0.0007920651210678015,1.2143629477565362e-05
NGC 4636,inner,raw_global_3p5,0.6039427829187174,0.00045293791882011417,3.882538471608486e-06,14026,0.000579927286053135,1.0689880164708705e-05
NGC 4636,inner,raw_global_3p5,0.612890083406402,0.0004488013518205405,4.038154787805575e-06,12706,0.0004381173599283622,7.997495935833653e-06
NGC 4636,inner,raw_global_3p5,0.6218373838940867,0.00043245424972249315,4.1025964508726895e-06,11278,0.0003479014721094235,9.49921091880641e-06
NGC 4636,inner,raw_global_3p5,0.6307846843817715,0.0004331401269883962,4.3477492208569645e-06,10078,0.00029100286307285684,3.043596358177329e-06
NGC 4636,inner,raw_global_3p5,0.6397319848694563,0.0004270390338771601,4.560723203180288e-06,8766,0.000259134052271281,3.617242008880499e-06
NGC 4636,inner,raw_global_3p5,0.6486792853571408,0.0003986561384271486,4.534398494560128e-06,7526,0.00024351722903193164,1.534477865679461e-06
NGC 4636,inner,raw_global_3p5,0.6576265858448256,0.0004235423261741076,5.305976881407029e-06,6332,0.00023412408148247544,3.9225933293390675e-06
