program,target,obsid,download_enabled,availability_status,science_role,priority,public_release_date,signal_filter,color_filter,signal_product,color_product,signal_product_uri,color_product_uri,signal_exposure_time_s,color_exposure_time_s,signal_content_length_bytes,color_content_length_bytes,morphology,redshift,external_distance_modulus,distance_method,hst_overlap,dust_flag,spiral_flag,resolved_flag,field_contamination_flag,calibration_family,notes
7763,NGC 4371,o011_t011,true,public,virgo_sbf_sample,2,2026-06-16,F150W,F115W,jw07763-o011_t011_nircam_clear-f150w_i2d.fits,jw07763-o011_t011_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o011_t011_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o011_t011_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4374,o079_t079,false,public_incomplete_filter_pair,manual_incomplete,3,2026-05-12,F150W,F115W,,jw07763-o079_t079_nircam_clear-f115w_i2d.fits,,mast:JWST/product/jw07763-o079_t079_nircam_clear-f115w_i2d.fits,,,,1216143360,,,,,,,,,,F115W-F150W,GO-7763 is public but the required NIRCam F150W signal product is absent from the current target-level archive; available=NIRCAM:F115W;NIRCAM:F277W;NIRISS:F115W; disabled for automatic download.
7763,NGC 4387,o023_t023,true,public,virgo_sbf_sample,2,2026-06-05,F150W,F115W,jw07763-o023_t023_nircam_clear-f150w_i2d.fits,jw07763-o023_t023_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o023_t023_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o023_t023_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4388,o013_t013,true,public,virgo_sbf_sample,2,2026-06-02,F150W,F115W,jw07763-o013_t013_nircam_clear-f150w_i2d.fits,jw07763-o013_t013_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o013_t013_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o013_t013_nircam_clear-f115w_i2d.fits,,,1216137600,1216140480,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4402,o022_t022,true,public,virgo_sbf_sample,2,2026-06-05,F150W,F115W,jw07763-o022_t022_nircam_clear-f150w_i2d.fits,jw07763-o022_t022_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o022_t022_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o022_t022_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4406,o078_t078,false,public_incomplete_filter_pair,manual_incomplete,3,2026-06-08,F150W,F115W,,jw07763-o078_t078_nircam_clear-f115w_i2d.fits,,mast:JWST/product/jw07763-o078_t078_nircam_clear-f115w_i2d.fits,,,,1216143360,,,,,,,,,,F115W-F150W,GO-7763 is public but the required NIRCam F150W signal product is absent from the current target-level archive; available=NIRCAM:F115W;NIRCAM:F277W;NIRISS:F115W; disabled for automatic download.
7763,NGC 4413,o031_t031,true,public,virgo_sbf_sample,2,2026-06-17,F150W,F115W,jw07763-o031_t031_nircam_clear-f150w_i2d.fits,jw07763-o031_t031_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o031_t031_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o031_t031_nircam_clear-f115w_i2d.fits,,,1216137600,1216140480,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4429,o005_t005,true,public,virgo_sbf_sample,2,2026-05-18,F150W,F115W,jw07763-o005_t005_nircam_clear-f150w_i2d.fits,jw07763-o005_t005_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o005_t005_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o005_t005_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4431,o042_t042,true,public,virgo_sbf_sample,2,2026-06-19,F150W,F115W,jw07763-o042_t042_nircam_clear-f150w_i2d.fits,jw07763-o042_t042_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o042_t042_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o042_t042_nircam_clear-f115w_i2d.fits,,,1216258560,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4435,o008_t008,true,public,virgo_sbf_sample,2,2026-06-16,F150W,F115W,jw07763-o008_t008_nircam_clear-f150w_i2d.fits,jw07763-o008_t008_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o008_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o008_t008_nircam_clear-f115w_i2d.fits,,,1216137600,1216140480,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4436,o045_t045,true,public,virgo_sbf_sample,2,2026-06-21,F150W,F115W,jw07763-o045_t045_nircam_clear-f150w_i2d.fits,jw07763-o045_t045_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o045_t045_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o045_t045_nircam_clear-f115w_i2d.fits,,,1216137600,1216140480,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4438,o006_t006,true,public,virgo_sbf_sample,2,2026-06-16,F150W,F115W,jw07763-o006_t006_nircam_clear-f150w_i2d.fits,jw07763-o006_t006_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o006_t006_nircam_clear-f115w_i2d.fits,,,1216258560,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4442,o012_t012,true,public,virgo_sbf_sample,2,2026-06-02,F150W,F115W,jw07763-o012_t012_nircam_clear-f150w_i2d.fits,jw07763-o012_t012_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o012_t012_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o012_t012_nircam_clear-f115w_i2d.fits,,,1216137600,1216137600,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
7763,NGC 4452,o033_t033,true,public,virgo_sbf_sample,2,2026-06-02,F150W,F115W,jw07763-o033_t033_nircam_clear-f150w_i2d.fits,jw07763-o033_t033_nircam_clear-f115w_i2d.fits,mast:JWST/product/jw07763-o033_t033_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw07763-o033_t033_nircam_clear-f115w_i2d.fits,,,1215855360,1216140480,,,,,,,,,,F115W-F150W,GO-7763 J-Virgo public NIRCam F150W signal + F115W color pair; exact MAST target-level i2d products verified in go7763_misc_inventory.csv.
