label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_err_img,snr,flux_jy,mag_ab,mask_brighter_than_mcut
695,7347.090909090909,2675.181818181818,11,14.743442103266716,14.743442103266716,14.743442103266716,1.5021396010875174,9.814961334214725,3.379256877734305e-07,25.078012606338458,True
765,5840.888888888889,2737.8888888888887,9,14.730956330895424,14.730956330895424,14.730956330895424,1.4759963291990872,9.980347538458183,3.3763950879389514e-07,25.078932472842197,True
1385,7105.857142857143,3527.5714285714284,7,14.714363560080528,14.714363560080528,14.714363560080528,1.9835133354964385,7.418333568399117,3.372591957401037e-07,25.080156122236033,True
1134,5660.666666666667,3198.333333333333,6,14.706357330083847,14.706357330083847,14.706357330083847,1.1803869588159304,12.458929014969875,3.370756896932016e-07,25.080747042765683,True
2605,6959.0,4264.090909090909,11,14.700964018702507,14.700964018702507,14.700964018702507,1.501520886734936,9.79071563278072,3.369520728033905e-07,25.081145291448482,True
1327,7258.125,3485.5,8,14.628998398780823,14.628998398780823,14.628998398780823,1.61884811567689,9.036671357315068,3.353025915331593e-07,25.086473347089235,True
1210,5830.5,3328.5,8,14.611656785011292,14.611656785011292,14.611656785011292,1.6773693386934918,8.711055131359654,3.3490511469436387e-07,25.087761171866596,True
35,6216.636363636364,2096.4545454545455,11,14.608544155955315,14.608544155955315,14.608544155955315,1.3146079400512878,11.112472175837748,3.348337719707884e-07,25.087992484038452,True
1849,6174.875,3889.125,8,14.606026291847229,14.606026291847229,14.606026291847229,1.5022885968135684,9.72251691374571,3.3477606150165335e-07,25.088179632860815,True
1419,7340.555555555556,3554.8888888888887,9,14.594465032219887,14.594465032219887,14.594465032219887,1.4759754942855887,9.888013106399164,3.345110727301214e-07,25.089039377216938,True
854,5653.111111111111,2815.3333333333335,9,14.57001568377018,14.57001568377018,14.57001568377018,1.4415091574192047,10.107473552131642,3.339506837224114e-07,25.090859779868488,True
964,7385.9,2935.0,10,14.483551412820816,14.483551412820816,14.483551412820816,1.5194840684782982,9.531887640865827,3.3196888747539265e-07,25.09732216476096,True
963,7486.454545454546,2931.727272727273,11,14.481981322169304,14.481981322169304,14.481981322169304,1.4805333281545427,9.78159764915311,3.319329003592523e-07,25.0974398704688,True
730,7227.8,2708.9,10,14.428132444620132,14.428132444620132,14.428132444620132,1.5265107484321931,9.451707077358337,3.306986621905685e-07,25.10148452722982,True
571,6249.0,2572.285714285714,7,14.387293323874474,14.387293323874474,14.387293323874474,1.8428026493008105,7.807289255489864,3.2976261293766167e-07,25.10456208312009,True
1869,6584.5,3898.0,6,14.384666293859482,14.384666293859482,14.384666293859482,1.9154428555374172,7.509838391823788,3.297024003415528e-07,25.104760349880095,True
2304,6792.777777777777,4178.111111111111,9,14.373180165886879,14.373180165886879,14.373180165886879,1.4415091574192047,9.970925326357133,3.294391336180965e-07,25.10562765443803,True
842,7084.5,2808.6666666666665,6,14.364900439977646,14.364900439977646,14.364900439977646,1.4963284264626617,9.600098605315173,3.292493589336737e-07,25.106253277182788,True
2514,7513.454545454546,2879.727272727273,11,14.340610548853874,14.340610548853874,14.340610548853874,1.3942761197121178,10.285344736317253,3.286926247527104e-07,25.10809072369313,True
527,6971.714285714286,2538.0,7,14.336645111441612,14.336645111441612,14.336645111441612,1.3277175657135485,10.797962971693263,3.2860173531485216e-07,25.108390990848722,True
1348,5848.2,3497.4,10,14.316357523202896,14.316357523202896,14.316357523202896,1.6128249490120823,8.876572458760773,3.281367355433732e-07,25.10992848924076,True
814,5809.75,2788.625,8,14.281310200691223,14.281310200691223,14.281310200691223,1.391518143336019,10.26311461987357,3.2733343666096705e-07,25.112589696885294,True
2390,6936.181818181818,4230.454545454546,11,14.273301646113396,14.273301646113396,14.273301646113396,1.5398386971345797,9.269348583506815,3.2714987733371986e-07,25.11319871779775,True
1363,6099.2,3507.4,5,14.270886614918709,14.270886614918709,14.270886614918709,2.387431803187795,5.977505449941501,3.2709452383677236e-07,25.11338243903627,True
1560,5880.375,3667.25,8,14.23828375339508,14.23828375339508,14.23828375339508,1.4027136999304557,10.150527334338427,3.2634725299414377e-07,25.115865718774604,True
2221,6143.7,4127.8,10,14.237036615610123,14.237036615610123,14.237036615610123,1.4382919417671483,9.898572189814175,3.2631866808901926e-07,25.115960823070445,True
