galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 3379,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,2.6871463587907063,-0.2366837711865194,0.04936411804534367,8.367643804884014e-05,2.6870626823526575,26.926572148003704,0.019946095984205846,749.0034818330903,29.960139273323612,753.5034818330903,18.290457446652816
NGC 3379,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,2.696993555304631,-0.23019029891066153,0.048099929798242534,8.367643804884014e-05,2.6969098788665824,26.922600556554972,0.019364323456823915,706.2877844130527,28.251511376522107,710.7877844130527,18.33326482218286
NGC 3379,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,2.6808756562867404,-0.2375770235936326,0.05133657267736315,8.367643804884014e-05,2.6807919798486917,26.929108852986733,0.02079160785431628,813.2604645346526,32.5304185813861,817.7604645346526,18.259306786556145
NGC 3379,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_R2024052602-NRCA3_FP1-1,25,2.683783278914956,-0.2348361897961776,0.053219208306143406,8.367643804884014e-05,2.6836996024769073,26.927931887222904,0.02153073361609281,779.9363993449264,33.9102782323881,784.4818538903809,18.528884826271966
NGC 3379,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,2.679582319097522,-0.2326759194218219,0.051293901602677223,8.367643804884014e-05,2.6794986426594734,26.929632788398983,0.020784353149756504,727.2434249213745,31.619279344407587,731.788879466829,18.49084211888606
NGC 3379,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,2.6811358541809436,-0.23561972435830122,0.051430505831572396,8.367643804884014e-05,2.681052177742895,26.929003476453563,0.02082762979173811,730.2496569577902,31.749985085121313,734.7951115032447,18.508364220875468
NGC 3379,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,2.6911681538256924,-0.22917663540979974,0.05011040550447629,8.367643804884014e-05,2.6910844773876437,26.92494831393526,0.020217381486342622,688.4177713664704,29.931207450716105,692.963225911925,18.55309016170163
NGC 3379,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,2.6744437772023084,-0.23643383640687654,0.05342946569137608,8.367643804884014e-05,2.6743601007642597,26.93171693105414,0.021691284313369606,791.5050819038966,34.4132644306042,796.0505364493511,18.473707653713852
NGC 3379,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_R2024052602-NRCA3_FP1-1,24,2.6720464111141884,-0.2327755332867409,0.0514422084782214,8.367643804884014e-05,2.6719627346761397,26.932690649781016,0.020903236213842744,685.120467642009,31.141839438273134,689.6918962134375,18.686694540409132
NGC 3379,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,2.668182398953283,-0.2306798978499263,0.04959557095878512,8.367643804884014e-05,2.6680987225152344,26.93426190459317,0.020182051935035323,639.0116087138525,29.045982214266022,643.5830372852811,18.65112907376145
