galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4374,inner,raw_global_3p5,0.4518386746280775,0.0023175837890541755,1.1429461697114378e-05,43498,0.026422521577351078,0.0003327645753342249
NGC 4374,inner,raw_global_3p5,0.46078597511576214,0.0019437750011333098,9.359264130445942e-06,44320,0.024007693028961448,0.0002183945091932216
NGC 4374,inner,raw_global_3p5,0.4697332756034468,0.0016450569629974363,7.893758780329774e-06,45250,0.021925300713877507,0.00025422486136258466
NGC 4374,inner,raw_global_3p5,0.47868057609113157,0.0013989926004721826,6.767684371561165e-06,46038,0.020104040619348607,0.00023334638619230822
NGC 4374,inner,raw_global_3p5,0.48762787657881623,0.0012105492993285736,6.30115891631082e-06,47008,0.018592379608942052,0.0002972602076134476
NGC 4374,inner,raw_global_3p5,0.49657517706650095,0.001078073829335188,5.646558274681197e-06,47481,0.017220742358210393,0.00017746391749815058
NGC 4374,inner,raw_global_3p5,0.5055224775541856,0.0008941803631311873,4.601442081400687e-06,39738,0.012838515905636816,0.00022344268404842098
NGC 4374,inner,raw_global_3p5,0.5144697780418703,0.0007481459834258282,4.1721347625234595e-06,34564,0.00972351430643097,0.00013827096765615482
NGC 4374,inner,raw_global_3p5,0.5234170785295551,0.0006246434617413743,3.5952614402215495e-06,31156,0.00757824403618295,7.039279408988258e-05
NGC 4374,inner,raw_global_3p5,0.5323643790172398,0.0005733999237402077,3.4166073152199973e-06,28432,0.0058937051482916124,4.601320597771975e-05
NGC 4374,inner,raw_global_3p5,0.5413116795049244,0.0005258209423120248,3.337782584443488e-06,26002,0.004589863883706374,4.5019101022189526e-05
NGC 4374,inner,raw_global_3p5,0.5502589799926092,0.0004606072286094136,3.000912127751603e-06,23936,0.0035279019244983233,5.9976259020737276e-05
NGC 4374,inner,raw_global_3p5,0.5592062804802939,0.0004321884740894449,2.945397465894758e-06,22012,0.0026802777006190675,4.466701474145526e-05
NGC 4374,inner,raw_global_3p5,0.5681535809679785,0.00040377141872716056,2.909675643996844e-06,20230,0.0019919533993859747,2.318889126592469e-05
NGC 4374,inner,raw_global_3p5,0.5771008814556633,0.0003946799509421851,2.962488608446363e-06,18606,0.0014488182665502976,1.996540064691463e-05
NGC 4374,inner,raw_global_3p5,0.586048181943348,0.0003568016783469028,2.7916273676119927e-06,16966,0.0010254334385851364,1.6930822869932853e-05
NGC 4374,inner,raw_global_3p5,0.5949954824310326,0.00035390371055365793,2.9230037654471557e-06,15522,0.0007112700932872121,1.701189045265168e-05
NGC 4374,inner,raw_global_3p5,0.6039427829187174,0.00035484530411983154,3.0683320873206998e-06,14026,0.0004962882100957287,1.0776439639104249e-05
NGC 4374,inner,raw_global_3p5,0.612890083406402,0.0003361419093162566,2.9731086767630667e-06,12706,0.0003560957237885653,4.670783638723965e-06
NGC 4374,inner,raw_global_3p5,0.6218373838940867,0.0003236591258587534,3.0320791652615327e-06,11278,0.0002644218434412587,4.243663294060461e-06
NGC 4374,inner,raw_global_3p5,0.6307846843817715,0.00029989507084399376,2.951174134244984e-06,10078,0.00020776016991418117,3.915734693909798e-06
NGC 4374,inner,raw_global_3p5,0.6397319848694563,0.0002928929919324598,3.213871419794706e-06,8766,0.00017511601695546108,4.640730434601236e-07
NGC 4374,inner,raw_global_3p5,0.6486792853571408,0.00028942749924148597,3.314091988406173e-06,7526,0.00015688009634748154,7.192809599671497e-07
NGC 4374,inner,raw_global_3p5,0.6576265858448256,0.00030735638360236163,3.863076385523128e-06,6332,0.00014911592690630305,1.2874963012145585e-06
NGC 4374,inner,raw_global_3p5,0.6665738863325104,0.00027153576569504886,3.8024123448661718e-06,5106,0.00014355638684693684,1.1471533199761068e-06
NGC 4374,inner,raw_global_3p5,0.6755211868201949,0.0002804607914896132,4.532140157979369e-06,3996,0.00014067088461668792,3.5514257138229217e-06
NGC 4374,inner,raw_global_3p5,0.6844684873078797,0.00027307321639397016,5.184581855828071e-06,2778,0.00014117002720333985,3.887476385205201e-06
NGC 4374,inner,raw_global_3p5,0.6934157877955645,0.00031000144277479303,7.439482730131864e-06,1734,0.0001411671818429536,3.0382785950154437e-06
