galaxy,psf_id,sum,ee_r1_pix,ee_r2_pix,ee_r3_pix,ee_r5_pix,ee_r10_pix,ee_r20_pix,ee_r32_pix,ee_r48_pix,ee_r64_pix
NGC 4374,stpsf_R2024051402-NRCA3_FP1-1,0.9999999999999999,0.5804511811775498,0.6704994011246896,0.7632550126096316,0.8276711964652148,0.8929762693000063,0.9514935255971586,0.9768859584931217,0.9917718580536035,0.9984517928096932
NGC 4374,stpsf_field_1280_1024,1.0000000000000002,0.5799494817251745,0.6705660720591908,0.7630968965461195,0.8278102522273377,0.8929893108272647,0.9515578829950031,0.9769469028568596,0.9918285059906882,0.9985016591442968
NGC 4374,stpsf_field_768_1024,1.0,0.5809833688480187,0.671109954964637,0.7639771435479219,0.8277750885440067,0.8930175777634031,0.9514573945082809,0.9768468112117868,0.9917353803804595,0.9984123273323111
NGC 4374,stpsf_field_1024_1280,0.9999999999999998,0.5771666210373887,0.6692577748378554,0.7622560806046356,0.8277660671574393,0.8928213271507972,0.9513907957106997,0.9767868848647584,0.9916826091775919,0.9983807171014685
NGC 4374,stpsf_field_1024_768,1.0,0.5823950321797849,0.6721480334139543,0.7643393698936782,0.8281547132669951,0.893469484618894,0.9517390849449383,0.9770514678346507,0.9918887224532045,0.9985239301009097
NGC 4406,stpsf_R2024052602-NRCA3_FP1-1,1.0000000000000002,0.5806605272396377,0.6704284707105354,0.7633655466473597,0.8276913810714316,0.8928280694955767,0.9514717914247616,0.9768697624039799,0.9917242444692249,0.9984231541185453
NGC 4406,stpsf_field_1280_1024,1.0000000000000002,0.580031979683267,0.6703894502177593,0.763168436411723,0.8278496209579305,0.8928423288454662,0.9515370266303341,0.9769314490700477,0.9917816858559976,0.9984741006956813
NGC 4406,stpsf_field_768_1024,1.0,0.5810540380167172,0.6709384321324229,0.7640612245898918,0.8277656525412775,0.8928691275156726,0.951435594718562,0.9768305847914147,0.9916877239514741,0.9983831960572005
NGC 4406,stpsf_field_1024_1280,1.0000000000000002,0.57746860957015,0.66923279954931,0.7623960707426912,0.827814578330515,0.8926760913121916,0.951370315097125,0.9767706581283747,0.9916347194390915,0.9983513176156689
NGC 4406,stpsf_field_1024_768,0.9999999999999998,0.5823757467569621,0.6719359277511514,0.7644239255515038,0.8281481670659779,0.8933176622614101,0.9517164987271594,0.9770362150839866,0.9918422915003826,0.998496551314312
NGC 4472,stpsf_O2024061001-NRCA3_FP1-1,1.0,0.5789456111131198,0.668836677959963,0.7623404580925217,0.8271713830367113,0.8928899516372367,0.9514936854840874,0.9768245115018344,0.9916909181272884,0.9984247817638278
NGC 4472,stpsf_field_1280_1024,1.0,0.5785969645251543,0.6690651719066653,0.7621672324053927,0.8273250526266201,0.892901017112467,0.9515602683176221,0.9768866058280392,0.9917485419351256,0.9984757312361783
NGC 4472,stpsf_field_768_1024,1.0,0.5792467471752004,0.6691222315981356,0.762913339401166,0.8271945238854406,0.892932154245599,0.9514569376675441,0.9767834586481401,0.9916529210061429,0.9983833881253704
NGC 4472,stpsf_field_1024_1280,1.0,0.575733596598339,0.6677434937964307,0.7613555070409789,0.8272449841886194,0.8927468669746214,0.9513898707408741,0.976724971561006,0.9915996126605875,0.9983515250089205
NGC 4472,stpsf_field_1024_768,1.0,0.5808101438894028,0.6702689631343846,0.7633228886087111,0.8276175098254053,0.8933729193823219,0.9517392976269914,0.9769896194826937,0.9918092692320284,0.9984982119266061
NGC 4486,stpsf_O2024062601-NRCA3_FP1-1,1.0,0.5774712859523353,0.6673831522868479,0.7615395730592089,0.8268805094894305,0.8928232553504603,0.9514427429540417,0.976787808124758,0.9916876328367594,0.9984127458229589
NGC 4486,stpsf_field_1280_1024,0.9999999999999998,0.5771394474749687,0.6676229415513377,0.7613093670918362,0.8270234355743633,0.8928317515369095,0.9515086847911376,0.9768492424675483,0.9917449938231127,0.9984634735174631
NGC 4486,stpsf_field_768_1024,0.9999999999999999,0.577896174286834,0.6677615808313977,0.7622144010341885,0.8269237865097456,0.8928656545867351,0.9514061602574009,0.9767481834951663,0.9916501384420913,0.9983721001637491
NGC 4486,stpsf_field_1024_1280,1.0,0.5741999449107709,0.6662485902216105,0.7605088938458944,0.8269511148800667,0.8926826785972635,0.9513406171400397,0.9766887763262925,0.9915973384854393,0.998340484379689
NGC 4486,stpsf_field_1024_768,1.0,0.5794913381763258,0.6689180834971202,0.7625765661518694,0.8273196546102995,0.8933046390078847,0.9516867981115469,0.976953031597392,0.991805315030815,0.9984859658166985
NGC 4552,stpsf_O2024062601-NRCA3_FP1-1,1.0,0.5774712859523353,0.6673831522868479,0.7615395730592089,0.8268805094894305,0.8928232553504603,0.9514427429540417,0.976787808124758,0.9916876328367594,0.9984127458229589
NGC 4552,stpsf_field_1280_1024,0.9999999999999998,0.5771394474749687,0.6676229415513377,0.7613093670918362,0.8270234355743633,0.8928317515369095,0.9515086847911376,0.9768492424675483,0.9917449938231127,0.9984634735174631
NGC 4552,stpsf_field_768_1024,0.9999999999999999,0.577896174286834,0.6677615808313977,0.7622144010341885,0.8269237865097456,0.8928656545867351,0.9514061602574009,0.9767481834951663,0.9916501384420913,0.9983721001637491
NGC 4552,stpsf_field_1024_1280,1.0,0.5741999449107709,0.6662485902216105,0.7605088938458944,0.8269511148800667,0.8926826785972635,0.9513406171400397,0.9766887763262925,0.9915973384854393,0.998340484379689
NGC 4552,stpsf_field_1024_768,1.0,0.5794913381763258,0.6689180834971202,0.7625765661518694,0.8273196546102995,0.8933046390078847,0.9516867981115469,0.976953031597392,0.991805315030815,0.9984859658166985
NGC 4621,stpsf_R2024052602-NRCA3_FP1-1,1.0000000000000002,0.5806605272396377,0.6704284707105354,0.7633655466473597,0.8276913810714316,0.8928280694955767,0.9514717914247616,0.9768697624039799,0.9917242444692249,0.9984231541185453
NGC 4621,stpsf_field_1280_1024,1.0000000000000002,0.580031979683267,0.6703894502177593,0.763168436411723,0.8278496209579305,0.8928423288454662,0.9515370266303341,0.9769314490700477,0.9917816858559976,0.9984741006956813
NGC 4621,stpsf_field_768_1024,1.0,0.5810540380167172,0.6709384321324229,0.7640612245898918,0.8277656525412775,0.8928691275156726,0.951435594718562,0.9768305847914147,0.9916877239514741,0.9983831960572005
NGC 4621,stpsf_field_1024_1280,1.0000000000000002,0.57746860957015,0.66923279954931,0.7623960707426912,0.827814578330515,0.8926760913121916,0.951370315097125,0.9767706581283747,0.9916347194390915,0.9983513176156689
NGC 4621,stpsf_field_1024_768,0.9999999999999998,0.5823757467569621,0.6719359277511514,0.7644239255515038,0.8281481670659779,0.8933176622614101,0.9517164987271594,0.9770362150839866,0.9918422915003826,0.998496551314312
NGC 4636,stpsf_R2024051402-NRCA3_FP1-1,0.9999999999999999,0.5804511811775498,0.6704994011246896,0.7632550126096316,0.8276711964652148,0.8929762693000063,0.9514935255971586,0.9768859584931217,0.9917718580536035,0.9984517928096932
NGC 4636,stpsf_field_1280_1024,1.0000000000000002,0.5799494817251745,0.6705660720591908,0.7630968965461195,0.8278102522273377,0.8929893108272647,0.9515578829950031,0.9769469028568596,0.9918285059906882,0.9985016591442968
NGC 4636,stpsf_field_768_1024,1.0,0.5809833688480187,0.671109954964637,0.7639771435479219,0.8277750885440067,0.8930175777634031,0.9514573945082809,0.9768468112117868,0.9917353803804595,0.9984123273323111
NGC 4636,stpsf_field_1024_1280,0.9999999999999998,0.5771666210373887,0.6692577748378554,0.7622560806046356,0.8277660671574393,0.8928213271507972,0.9513907957106997,0.9767868848647584,0.9916826091775919,0.9983807171014685
NGC 4636,stpsf_field_1024_768,1.0,0.5823950321797849,0.6721480334139543,0.7643393698936782,0.8281547132669951,0.893469484618894,0.9517390849449383,0.9770514678346507,0.9918887224532045,0.9985239301009097
NGC 4649,stpsf_O2024062601-NRCA3_FP1-1,1.0,0.5774712859523353,0.6673831522868479,0.7615395730592089,0.8268805094894305,0.8928232553504603,0.9514427429540417,0.976787808124758,0.9916876328367594,0.9984127458229589
NGC 4649,stpsf_field_1280_1024,0.9999999999999998,0.5771394474749687,0.6676229415513377,0.7613093670918362,0.8270234355743633,0.8928317515369095,0.9515086847911376,0.9768492424675483,0.9917449938231127,0.9984634735174631
NGC 4649,stpsf_field_768_1024,0.9999999999999999,0.577896174286834,0.6677615808313977,0.7622144010341885,0.8269237865097456,0.8928656545867351,0.9514061602574009,0.9767481834951663,0.9916501384420913,0.9983721001637491
NGC 4649,stpsf_field_1024_1280,1.0,0.5741999449107709,0.6662485902216105,0.7605088938458944,0.8269511148800667,0.8926826785972635,0.9513406171400397,0.9766887763262925,0.9915973384854393,0.998340484379689
NGC 4649,stpsf_field_1024_768,1.0,0.5794913381763258,0.6689180834971202,0.7625765661518694,0.8273196546102995,0.8933046390078847,0.9516867981115469,0.976953031597392,0.991805315030815,0.9984859658166985
NGC 4697,stpsf_O2024062601-NRCA3_FP1-1,1.0,0.5774712859523353,0.6673831522868479,0.7615395730592089,0.8268805094894305,0.8928232553504603,0.9514427429540417,0.976787808124758,0.9916876328367594,0.9984127458229589
NGC 4697,stpsf_field_1280_1024,0.9999999999999998,0.5771394474749687,0.6676229415513377,0.7613093670918362,0.8270234355743633,0.8928317515369095,0.9515086847911376,0.9768492424675483,0.9917449938231127,0.9984634735174631
NGC 4697,stpsf_field_768_1024,0.9999999999999999,0.577896174286834,0.6677615808313977,0.7622144010341885,0.8269237865097456,0.8928656545867351,0.9514061602574009,0.9767481834951663,0.9916501384420913,0.9983721001637491
NGC 4697,stpsf_field_1024_1280,1.0,0.5741999449107709,0.6662485902216105,0.7605088938458944,0.8269511148800667,0.8926826785972635,0.9513406171400397,0.9766887763262925,0.9915973384854393,0.998340484379689
NGC 4697,stpsf_field_1024_768,1.0,0.5794913381763258,0.6689180834971202,0.7625765661518694,0.8273196546102995,0.8933046390078847,0.9516867981115469,0.976953031597392,0.991805315030815,0.9984859658166985
