model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance
constant,14,2,0.5674536233634047,-3.192762066482599,0.0,,,0.06403595236374132,17.135778490039502,-30.271556980079005,-29.180647889169915,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2213491854228176,0.0,,,0.08483545629153201,13.69028972488208,-23.38057944976416,-22.28967035885507,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1942536592691417,0.0,,,0.07333040283753357,15.608958558724602,-27.217917117449204,-26.127008026540114,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1701991641988894,0.0,,,0.06790588600897962,16.520283608474088,-29.040567216948176,-27.949658126039086,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2085654143892652,0.0,,,0.08584353344657057,13.711800354968062,-23.423600709936125,-22.332691619027035,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1525482531380704,0.0,,,0.08745246630027298,13.429988069019377,-22.859976138038753,-21.769067047129663,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1440916937644876,0.0,,,0.045731011551065355,20.66909165307176,-37.33818330614352,-36.24727421523443,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1660015650920745,0.0,,,0.0780386318329299,14.842357487473793,-25.684714974947585,-24.593805884038495,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1530806806775558,0.0,,,0.0946385769204611,12.447421999904078,-20.894843999808156,-19.803934908899066,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.215895086344141,0.0,,,0.06418089535135198,17.092196856672643,-30.184393713345287,-29.093484622436197,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.12943162368601,0.0,,,0.07498369204438193,15.236628894597777,-26.473257789195554,-25.382348698286464,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1497592943587454,0.0,,,0.07568758180167515,15.238678688861627,-26.477357377723255,-25.386448286814165,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.165782946515634,0.0,,,0.0664120415987473,16.82275380302155,-29.645507606043097,-28.554598515134007,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1802720141191676,0.0,,,0.06299081747286878,17.417995737221894,-30.835991474443787,-29.745082383534697,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1749874394396054,0.0,,,0.07416773575329663,15.391745617250528,-26.783491234501057,-25.692582143591967,True,sigma_color_stat_mag,True
