galaxy,ring,branch,space,sigma,threshold_median,threshold_scale,threshold_n_pixels,lower,upper,changed_pixels,changed_fraction,subtracted_mean,n_use,mbar_full,mbar_no_winsor,delta_mbar_full_minus_no_winsor,variance_proxy_delta_mbar,n_pixels,n_changed,delta_weighted_mbar_full_minus_no_winsor
NGC 4374,inner,normalized_full_3p5,normalized_full,3.5,-0.0279729175858926,0.2276121364147507,3389564.0,-0.8246153950375201,0.7686695598657347,1526,0.0023511466847445,0.0002219492082102,649045,27.909048356071654,27.895818124162822,0.013230231908831769,0.013230231908831769,649045,1526,0.0074007258260024855
NGC 4374,outer,normalized_full_3p5,normalized_full,3.5,-0.0279729175858926,0.2276121364147507,3389564.0,-0.8246153950375201,0.7686695598657347,3669,0.0017243623877507,-0.0088436659930063,2127743,28.00291988400102,27.99926276297607,0.003657121024950527,0.003657121024950527,2127743,3669,0.0074007258260024855
NGC 4406,inner,normalized_full_3p5,normalized_full,3.5,-0.0341461265307459,0.2453144341931256,3341523.0,-0.8927466462066858,0.824454393145194,1441,0.0022217459747235,-0.0114129714029075,648589,27.80868590109187,27.798667994310048,0.010017906781822461,0.010017906781822461,648589,1441,0.005915110534431278
NGC 4406,outer,normalized_full_3p5,normalized_full,3.5,-0.0341461265307459,0.2453144341931256,3341523.0,-0.8927466462066858,0.824454393145194,2914,0.0014171035745148,-0.030273710283026,2056307,27.905215372423623,27.902163086241835,0.0030522861817878777,0.0030522861817878777,2056307,2914,0.005915110534431278
NGC 4472,inner,normalized_full_3p5,normalized_full,3.5,-0.0596662355488955,0.3120851999298519,4975695.0,-1.151964435303377,1.032631964205586,1007,0.0015555751225382,-0.0181262108525537,647349,27.716039358095852,27.709089095182417,0.006950262913434813,0.006950262913434813,647349,1007,0.005260337791654024
NGC 4472,outer,normalized_full_3p5,normalized_full,3.5,-0.0596662355488955,0.3120851999298519,4975695.0,-1.151964435303377,1.032631964205586,546,0.0002454116780899,-0.0644732828645445,2224833,27.74551412222585,27.74512090065178,0.00039322157406829206,0.00039322157406829206,2224833,546,0.005260337791654024
NGC 4486,inner,normalized_full_3p5,normalized_full,3.5,-0.0423748360468222,0.288902626514441,6059514.0,-1.0535340288473658,0.9687843567537214,1959,0.0030597948578577,0.0030880965066202,640239,27.794806827610103,27.781251869873664,0.013554957736438666,0.013554957736438666,640239,1959,0.006549901196944319
NGC 4486,outer,normalized_full_3p5,normalized_full,3.5,-0.0423748360468222,0.288902626514441,6059514.0,-1.0535340288473658,0.9687843567537214,919,0.0004438524265542,-0.0253537561282142,2070508,27.848314998885424,27.847568763380096,0.0007462355053284853,0.0007462355053284853,2070508,919,0.006549901196944319
NGC 4552,inner,normalized_full_3p5,normalized_full,3.5,-0.0508295471420872,0.2354357129221644,3543347.0,-0.8748545423696626,0.7731954480854882,2839,0.0043865138262483,-0.0075662195497623,647211,27.74838817565616,27.72760241839758,0.02078575725857945,0.02078575725857945,647211,2839,0.010602524565115345
NGC 4552,outer,normalized_full_3p5,normalized_full,3.5,-0.0508295471420872,0.2354357129221644,3543347.0,-0.8748545423696626,0.7731954480854882,5217,0.0025698545276137,-0.0302943410537832,2030076,27.923105596124984,27.917390220958875,0.005715375166108316,0.005715375166108316,2030076,5217,0.010602524565115345
NGC 4621,inner,normalized_full_3p5,normalized_full,3.5,-0.0536895482790126,0.256114278805628,3966840.0,-0.9500895240987108,0.8427104275406855,3601,0.0055742688899759,-0.0027834176520051,646004,27.574560447127443,27.554715072672607,0.019845374454835252,0.019845374454835252,646004,3601,0.011185992929497957
NGC 4621,outer,normalized_full_3p5,normalized_full,3.5,-0.0536895482790126,0.256114278805628,3966840.0,-0.9500895240987108,0.8427104275406855,6321,0.0031626316137076,-0.0203236749262395,1998652,27.74777175372853,27.739666742900997,0.008105010827531345,0.008105010827531345,1998652,6321,0.011185992929497957
NGC 4636,inner,normalized_full_3p5,normalized_full,3.5,-0.0650851430378681,0.2451760783216373,4798823.0,-0.9232014171635988,0.7930311310878624,2144,0.0033246856357763,-0.0077605643668461,644873,27.83618696861984,27.81949828490596,0.016688683713880437,0.016688683713880437,644873,2144,0.00758031066965259
NGC 4636,outer,normalized_full_3p5,normalized_full,3.5,-0.0650851430378681,0.2451760783216373,4798823.0,-0.9232014171635988,0.7930311310878624,3289,0.0016990812872723,-0.0425394989409282,1935752,27.94610236199961,27.942728868017284,0.0033734939823268917,0.0033734939823268917,1935752,3289,0.00758031066965259
NGC 4649,inner,normalized_full_3p5,normalized_full,3.5,-0.0599198248844801,0.2769730829253512,5874095.0,-1.0293256151232095,0.9094859653542492,1245,0.0019202887373908,-0.0117799275419502,648340,27.864348577578404,27.851359870773663,0.012988706804740957,0.012988706804740957,648340,1245,0.0068517443331970185
NGC 4649,outer,normalized_full_3p5,normalized_full,3.5,-0.0599198248844801,0.2769730829253512,5874095.0,-1.0293256151232095,0.9094859653542492,1250,0.0005711674663011,-0.0313185510910268,2188500,27.907150127198996,27.90592717326329,0.0012229539357058172,0.0012229539357058172,2188500,1250,0.0068517443331970185
NGC 4697,inner,normalized_full_3p5,normalized_full,3.5,-0.0727051350581898,0.3374818694875642,3143226.0,-1.2538916782646647,1.1084814081482852,3975,0.0061957289216626,-0.0077030713254157,641571,26.980735127422083,26.958038317044803,0.022696810377279775,0.022696810377279775,641571,3975,0.011800217074615205
NGC 4697,outer,normalized_full_3p5,normalized_full,3.5,-0.0727051350581898,0.3374818694875642,3143226.0,-1.2538916782646647,1.1084814081482852,5582,0.0033747876398856,-0.0516802143098615,1654030,27.154160707342424,27.145287228786405,0.008873478556019165,0.008873478556019165,1654030,5582,0.011800217074615205
