galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 1399,inner,normalized_union_3p5,0.43410985933604507,0.0024957416214509355,1.2450193453022106e-05,41848,0.027693801354916794,0.0003722938973908531
NGC 1399,inner,normalized_union_3p5,0.44306057808524185,0.0020484865748902764,1.0173723199722241e-05,42600,0.025107294600954528,0.0003755826813863127
NGC 1399,inner,normalized_union_3p5,0.45201129683443864,0.0017041411141037845,8.399928496674236e-06,43508,0.02281515799672927,0.0003033177084540716
NGC 1399,inner,normalized_union_3p5,0.4609620155836355,0.0013840425973767497,6.8787868314017734e-06,44324,0.02086943938857551,0.00028475893799247923
NGC 1399,inner,normalized_union_3p5,0.4699127343328323,0.0011656072528425983,5.682963694712443e-06,45296,0.019051144766837873,0.0004673611968371125
NGC 1399,inner,normalized_union_3p5,0.47886345308202904,0.00098772412047528,4.874821807171655e-06,46052,0.017616633275901378,0.0002732236399086778
NGC 1399,inner,normalized_union_3p5,0.4878141718312259,0.0008492474803462123,4.294684805014181e-06,46836,0.016263812878167513,0.0004402097662117333
NGC 1399,inner,normalized_union_3p5,0.49676489058042267,0.0007748651499473328,5.682194201298745e-06,47378,0.015086973808606843,0.0003319002666051212
NGC 1399,inner,normalized_union_3p5,0.5057156093296195,0.0005859468555994287,3.0787396657467934e-06,39720,0.011304193286868887,0.0003073873077536654
NGC 1399,inner,normalized_union_3p5,0.5146663280788163,0.00047251082749486304,2.6246409015950786e-06,34500,0.00867753642093256,0.00019606519553444217
NGC 1399,inner,normalized_union_3p5,0.5236170468280131,0.00040211443811712664,2.341151373840765e-06,30984,0.0067981455718959544,0.00016488795908106856
NGC 1399,inner,normalized_union_3p5,0.5325677655772099,0.00034327774869949017,2.0764725142800227e-06,28352,0.0053308919083773516,8.432995410377821e-05
NGC 1399,inner,normalized_union_3p5,0.5415184843264067,0.00030348336271324324,1.917851325865146e-06,25896,0.004162634359295881,6.080513645223347e-05
NGC 1399,inner,normalized_union_3p5,0.5504692030756035,0.0002728534826457474,1.8131332821682886e-06,23988,0.0032195849430968412,3.757818709026901e-05
NGC 1399,inner,normalized_union_3p5,0.5594199218248004,0.0002420220022318872,1.6887566523322719e-06,21908,0.00246210150892066,4.832431674623968e-05
NGC 1399,inner,normalized_union_3p5,0.5683706405739971,0.00023534218459867113,1.7139565301691587e-06,20184,0.0018590736317086788,1.8875981019340068e-05
NGC 1399,inner,normalized_union_3p5,0.577321359323194,0.00021711094292460568,1.613554675067291e-06,18540,0.0013564154277243105,2.8798712052036238e-05
NGC 1399,inner,normalized_union_3p5,0.5862720780723907,0.00021335645619128285,1.688995943139489e-06,16912,0.000964084279193365,1.657232456332221e-05
NGC 1399,inner,normalized_union_3p5,0.5952227968215875,0.00021410863219726293,1.7833429489922092e-06,15512,0.0006724702325857319,1.2443309333404397e-05
NGC 1399,inner,normalized_union_3p5,0.6041735155707844,0.0002022885300888238,1.7785613764592145e-06,13976,0.00046693745372681275,9.631224514573633e-06
NGC 1399,inner,normalized_union_3p5,0.6131242343199812,0.0001905533754312874,1.7485505679617534e-06,12688,0.00032996766928092844,8.951490517911641e-06
NGC 1399,inner,normalized_union_3p5,0.6220749530691779,0.00018292975473540272,1.7389741837294917e-06,11228,0.00024372919733782307,5.2325580110023776e-06
NGC 1399,inner,normalized_union_3p5,0.6310256718183748,0.00018119097671653587,1.8468198992980998e-06,10056,0.00019012576523838728,2.7757776276411286e-06
NGC 1399,inner,normalized_union_3p5,0.6399763905675716,0.0001777678323416481,1.9263591274672293e-06,8716,0.00016152871227278137,3.907037876318303e-06
NGC 1399,inner,normalized_union_3p5,0.6489271093167683,0.0001861304798063636,2.2331905708084e-06,7484,0.00014482381671436615,1.836002783889171e-06
NGC 1399,inner,normalized_union_3p5,0.6578778280659652,0.00018262033466832353,2.372641798948878e-06,6296,0.0001359595771032533,1.7767329594186108e-06
NGC 1399,inner,normalized_union_3p5,0.666828546815162,0.00016000907049695974,2.2984203567102986e-06,5076,0.00013257013391935077,7.072064421089188e-07
NGC 1399,inner,normalized_union_3p5,0.6757792655643589,0.00016513007555502576,2.607740912057329e-06,3956,0.00013145194940410293,1.2374668111196512e-06
NGC 1399,inner,normalized_union_3p5,0.6847299843135556,0.00018266296091788074,3.4840504792197617e-06,2740,0.00013065224357195987,7.595463089884887e-07
NGC 1399,inner,normalized_union_3p5,0.6936807030627524,0.00020828628123325786,5.2193713977547375e-06,1700,0.0001307125691773902,1.5068202730295564e-06
NGC 1399,inner,normalized_union_3p5,0.7026314218119492,0.00023013346589017425,1.0305104449984039e-05,544,0.0001293723536134766,3.002333437574447e-06
NGC 1399,outer,no_winsor,0.004473460620845225,1.517993968953043,0.07218579504289764,1397,0.9074328417384103,0.0031263061198137762
