galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1399,inner,normalized_union_3p5,0.03,0.03,0.25,5,0.8864340996597145,0.013175327612453758,0.003012485377241682,0.01351533668998229,-0.0563440050780153,1.0,1.353447518706626e-05,0.8864205651845275,28.13041026991405,0.016554320759418463,17.963493011490336,417.7057938097323,21.17108084662586,0.0033582598729278022,k-window MAD,0.016554320759418463,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_union_3p5,0.04,0.04,0.25,5,0.8833531070631171,0.012744005520686589,0.002835457167144132,0.013055630741484659,-0.055886754279967595,1.0,1.353447518706626e-05,0.88333957258793,28.13419061112163,0.01604702360435924,16.48575601614728,367.25806092666875,21.37361938457746,0.0033582598729278022,k-window MAD,0.01604702360435924,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,no_winsor,0.01,0.01,0.25,5,0.8552375904087315,0.00887386010842908,0.002043059264165987,0.009106013638297685,-0.05150829697511546,1.0,0.0030503352542893,0.8521872551544422,28.17317224091879,0.011601591819545952,28.141217787674595,708.0304446918649,20.318155569519924,0.0016447593584904055,k-window MAD,0.011601591819545952,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,no_winsor,0.03,0.03,0.25,5,0.8533799309062496,0.00910909542320535,0.0020421140819408246,0.009335194125068941,-0.051257468895789235,1.0,0.0030503352542893,0.8503295956519603,28.175541590716914,0.011919564239395495,28.685488895567712,664.3116991435119,20.61454322414554,0.0016447593584904055,k-window MAD,0.011919564239395495,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,no_winsor,0.04,0.04,0.25,5,0.8525115315572322,0.009388361625801601,0.001991269906389781,0.009597212608717057,-0.051154998347944396,1.0,0.0030503352542893,0.8494611963029429,28.17665096570578,0.012266647657828067,29.65916099724637,657.0729705108487,20.87670282020298,0.0016447593584904055,k-window MAD,0.012266647657828067,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,raw_global_3p5,0.01,0.01,0.25,5,0.8531685721226435,0.00887861108984222,0.002041546679354231,0.00911030448056768,-0.0514354791287657,1.0,0.0030503352542893,0.8501182368683542,28.175811495950523,0.011635307868891507,28.325918880479065,712.6479720119767,20.329506734229742,0.0016516808070427848,k-window MAD,0.011635307868891507,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,raw_global_3p5,0.03,0.03,0.25,5,0.8513195168391369,0.009115556667722548,0.002040666230156311,0.009341182581737783,-0.05118592287150611,1.0,0.0030503352542893,0.8482691815848475,28.178175605619828,0.011956181297663085,28.898030620080466,669.2001588073052,20.62595235114662,0.0016516808070427848,k-window MAD,0.011956181297663085,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,raw_global_3p5,0.04,0.04,0.25,5,0.8504495780299353,0.00939472350081001,0.001990060584738423,0.009603185450026534,-0.051083173661338015,1.0,0.0030503352542893,0.8473992427756459,28.179289649061783,0.012304148502597593,29.8630199225096,661.5578668666398,20.88811776489983,0.0016516808070427848,k-window MAD,0.012304148502597593,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_full_3p5,0.01,0.01,0.25,5,0.8516488594051886,0.008934718915735634,0.002047074323789757,0.009166226889528943,-0.05148985777212475,1.0,0.0030503352542893,0.8485985241508993,28.177754147717117,0.011727694677464895,28.839084810623234,725.4771202655809,20.355156258473357,0.0016729367034598866,k-window MAD,0.011727694677464895,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_full_3p5,0.03,0.03,0.25,5,0.8497877807051747,0.009171412360489729,0.002046400198763754,0.009396944102187908,-0.0512385228328717,1.0,0.0030503352542893,0.8467374454508854,28.180137912790734,0.012049310539704464,29.41763361424871,681.1510276731749,20.651256019023265,0.0016729367034598866,k-window MAD,0.012049310539704464,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_full_3p5,0.04,0.04,0.25,5,0.8489082433216002,0.009451099678468048,0.001996239838001829,0.009659620004076995,-0.051134306442576674,1.0,0.0030503352542893,0.8458579080673109,28.181266293138407,0.012399008228930189,30.388593192248933,673.1204788009051,20.91316451800196,0.0016729367034598866,k-window MAD,0.012399008228930189,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_union_3p5,0.01,0.01,0.25,5,0.8516810525660893,0.008934191617782852,0.002047073220769305,0.009165712663751368,-0.051490485024806146,1.0,0.0030503352542893,0.8486307173118,28.177712959079205,0.01172659188317901,28.83306996459548,725.326749114887,20.354902669056656,0.0016726338101273335,k-window MAD,0.01172659188317901,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_union_3p5,0.03,0.03,0.25,5,0.8498200254767365,0.009170886174027029,0.0020463974332784957,0.009396429942903258,-0.051239158015418985,1.0,0.0030503352542893,0.8467696902224472,28.180096567448672,0.012048192445106702,29.411372805935795,681.0070290819777,20.651004291690196,0.0016726338101273335,k-window MAD,0.012048192445106702,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,outer,normalized_union_3p5,0.04,0.04,0.25,5,0.8489406137671975,0.009450574317376833,0.001996231884771636,0.009659104340778265,-0.05113496112290824,1.0,0.0030503352542893,0.8458902785129082,28.18122474349759,0.01239787186909884,30.382429700840284,672.9848819899148,20.912915543414933,0.0016726338101273335,k-window MAD,0.01239787186909884,"max(fit covariance + PSF MAD, k-window MAD)"
