target_name,proposal_id,target_classification,proposal_pi,obs_title,dataurls_F090W,dataurls_F150W,obsids_F090W,obsids_F150W
NGC-1549,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o012_t012_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o012_t012_nircam_clear-f150w_i2d.fits,jw03055-o012_t012_nircam_clear-f090w,jw03055-o012_t012_nircam_clear-f150w
NGC-185,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o002_t002_nircam_clear-f150w_i2d.fits,jw04783-o002_t002_nircam_clear-f090w,jw04783-o002_t002_nircam_clear-f150w
NGC-205,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o003_t003_nircam_clear-f150w_i2d.fits,jw04783-o003_t003_nircam_clear-f090w,jw04783-o003_t003_nircam_clear-f150w
NGC-2403,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,mast:JWST/product/jw01638-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01638-o001_t001_nircam_clear-f150w_i2d.fits,jw01638-o001_t001_nircam_clear-f090w,jw01638-o001_t001_nircam_clear-f150w
NGC-2525,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o001_t001_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw02875-o013_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o001_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw02875-o013_t001_nircam_clear-f150w_i2d.fits,jw02875-o001_t001_nircam_clear-f090w;jw02875-o013_t001_nircam_clear-f090w,jw02875-o001_t001_nircam_clear-f150w;jw02875-o013_t001_nircam_clear-f150w
NGC-253,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,mast:JWST/product/jw01638-o004_t004_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01638-o004_t004_nircam_clear-f150w_i2d.fits,jw01638-o004_t004_nircam_clear-f090w,jw01638-o004_t004_nircam_clear-f150w
NGC-300,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,mast:JWST/product/jw01638-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01638-o002_t002_nircam_clear-f150w_i2d.fits,jw01638-o002_t002_nircam_clear-f090w,jw01638-o002_t002_nircam_clear-f150w
NGC-3147,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o003_t003_nircam_clear-f150w_i2d.fits,jw02875-o003_t003_nircam_clear-f090w,jw02875-o003_t003_nircam_clear-f150w
NGC-3370,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o002_t007_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o002_t007_nircam_clear-f150w_i2d.fits,jw02875-o002_t007_nircam_clear-f090w,jw02875-o002_t007_nircam_clear-f150w
NGC-3447,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o012_t009_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o012_t009_nircam_clear-f150w_i2d.fits,jw02875-o012_t009_nircam_clear-f090w,jw02875-o012_t009_nircam_clear-f150w
