galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 1380,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,0.9670964805848439,-0.08486030910364474,0.01940395063387574,1.9643037739237436e-05,0.9670768375471046,28.03592206159545,0.021784796099526247,869.0426566479281,34.76170626591713,873.5426566479281,17.963598984924488
NGC 1380,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_R2023111002-NRCA3_FP1-1,25,0.9659361828810745,-0.08327631907174901,0.018341937502029722,1.9643037739237436e-05,0.9659165398433353,28.03722550876844,0.020617211518703826,695.3395835627996,30.232155807078243,699.8850381082541,18.196271463760414
NGC 1380,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,0.963143441739825,-0.08233711660968282,0.018187962755845125,1.9643037739237436e-05,0.9631237987020858,28.04036922974245,0.02050341781754866,687.7473043776126,29.902056712070113,692.2927589230671,18.139992378577663
NGC 1380,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,0.9646757135532629,-0.08365503403028185,0.017774716023910498,1.9643037739237436e-05,0.9646560705155236,28.038643261585722,0.02000573396707146,655.0204342175796,28.479149313807806,659.5658887630341,18.172261990895187
NGC 1380,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,0.9675680699109611,-0.08107287112244227,0.017262335636847165,1.9643037739237436e-05,0.9675484268732218,28.035392737777862,0.0193709609349272,614.4102495791408,26.713489112136557,618.9557041245953,18.201557797847858
NGC 1380,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,0.9619470755365653,-0.08393612768264201,0.018853159319030352,1.9643037739237436e-05,0.9619274324988261,28.04171874007984,0.021279731667044804,740.3483701247884,32.189059570642975,744.8938246702429,18.13537877848294
NGC 1380,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_R2023111002-NRCA3_FP1-1,24,0.9636463858374975,-0.08287081769598889,0.018693599994454673,1.9643037739237436e-05,0.9636267427997582,28.039802405323353,0.021062427400339784,675.1220378232586,30.68736535560266,679.6934663946871,18.403438713845127
NGC 1380,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,0.9609745414182398,-0.08195394938669327,0.018566267167963175,1.9643037739237436e-05,0.9609548983805005,28.04281700342722,0.02097712232430704,669.7088567156011,30.441311668890958,674.2802852870296,18.348916069657303
NGC 1380,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,0.9624768878260743,-0.08326421728670451,0.018124329323701734,1.9643037739237436e-05,0.962457244788335,28.041120900774875,0.020445833454170798,636.474246355185,28.930647561599315,641.0456749266135,18.38089077895608
NGC 1380,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,0.9658917942508223,-0.08078004006301023,0.01771823005774205,1.9643037739237436e-05,0.965872151213083,28.037275404849908,0.019917049926083105,604.2170287232477,27.46441039651126,608.7884572946763,18.421425633823688
NGC 1380,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,0.9600044525749933,-0.08358913861630149,0.019320336790957026,1.9643037739237436e-05,0.9599848095372541,28.043913613241823,0.02185116778272156,726.1773338537698,33.00806062971681,730.7487624251984,18.349097593914703
NGC 1380,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_R2023111002-NRCA3_FP1-1,27,0.9704036331426182,-0.0841298798433598,0.018863008550037183,1.9643037739237436e-05,0.970383990104879,28.03221545890932,0.021105306272853917,816.2114725315023,32.64845890126009,820.7114725315023,18.021828217117584
NGC 1380,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.9675045218967552,-0.08316992399894448,0.018660262366240545,1.9643037739237436e-05,0.9674848788590159,28.03546405063804,0.020941022318825626,803.6706564244611,32.14682625697844,808.1706564244611,17.963868822034115
NGC 1380,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,0.9691428299835598,-0.0845112934733812,0.018375472975425668,1.9643037739237436e-05,0.9691231869458206,28.03362705443821,0.02058656376992619,776.9345705485579,31.077382821942315,781.4345705485579,17.998390634537625
NGC 1380,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.97198533773807,-0.08190617195266497,0.017902405470859088,1.9643037739237436e-05,0.9719656947003308,28.030447173479,0.01999791749642407,733.507296462888,29.34029185851552,738.007296462888,18.026057500936272
NGC 1380,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,0.9665223985651008,-0.0848151788112305,0.01939750272896927,1.9643037739237436e-05,0.9665027555273615,28.036566774286754,0.021790492447427205,869.5314957995099,34.7812598319804,874.0314957995099,17.964590330491028
NGC 1380,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_R2023111002-NRCA3_FP1-1,25,0.9653625748131379,-0.08323208824854293,0.018335925845754317,1.9643037739237436e-05,0.9653429317753986,28.03787046308366,0.02062270089022382,695.7381459180488,30.249484605132555,700.2836004635033,18.197261734372347
