galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1380,outer,no_winsor,0.01,0.01,0.25,5,0.8909613304751711,0.015017497963194822,0.002704814360342973,0.015259137124964772,-0.0741079533208415,1.0,0.0011913501973191,0.889769980277852,28.12638014289653,0.018619865804833692,76.69590256364737,1921.897564091184,17.72157929460401,0.004364462243395727,k-window MAD,0.018619865804833692,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,no_winsor,0.03,0.03,0.25,5,0.8873131694979451,0.014958508919025915,0.0028117119487095317,0.015220470201774116,-0.07344125641894414,1.0,0.0011913501973191,0.8861218193006261,28.13084093946811,0.01864914641708197,74.32055770941167,1713.918281861923,17.928801389538396,0.004364462243395727,k-window MAD,0.01864914641708197,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,no_winsor,0.04,0.04,0.25,5,0.8849138547105263,0.015047091222570155,0.002683972339108468,0.015284589028738953,-0.07302897950257904,1.0,0.0011913501973191,0.8837225045132072,28.133784728921366,0.018778555031244835,73.63041669823505,1624.4405959325998,18.115840008054075,0.004364462243395727,k-window MAD,0.018778555031244835,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,raw_global_3p5,0.01,0.01,0.25,5,0.886018580830412,0.014928645079194615,0.002693099990158855,0.015169615402427157,-0.07385329714563837,1.0,0.0011913501973191,0.8848272306330929,28.132428316628438,0.018614030043907343,76.80593807245822,1924.6484518114553,17.739262382111512,0.004387883016209803,k-window MAD,0.018614030043907343,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,raw_global_3p5,0.03,0.03,0.25,5,0.8823894827064572,0.014870598700513205,0.0027993705478799803,0.015131793719716208,-0.07319028504281577,1.0,0.0011913501973191,0.8811981325091381,28.136890595429605,0.018644088858480644,74.43579972416933,1716.568848201349,17.946381519655713,0.004387883016209803,k-window MAD,0.018644088858480644,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,raw_global_3p5,0.04,0.04,0.25,5,0.8799907132519643,0.014952350800705384,0.0026728406538780248,0.015189367058188371,-0.07277807224209051,1.0,0.0011913501973191,0.8787993630546452,28.139850181977703,0.018766110258787383,73.68666968056554,1625.6781615438706,18.133094340380346,0.004387883016209803,k-window MAD,0.018766110258787383,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,normalized_full_3p5,0.01,0.01,0.25,5,0.8856879019083286,0.015027887759075735,0.002692748959517728,0.015267229855424398,-0.07400138516905437,1.0,0.0011913501973191,0.8844965517110095,28.132834155385165,0.018740812689809566,78.02815060975325,1955.2037652438312,17.765553437614116,0.004399701271974485,k-window MAD,0.018740812689809566,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,normalized_full_3p5,0.03,0.03,0.25,5,0.8820380859960478,0.014965544578951237,0.002798050595044651,0.015224868199002789,-0.07333500682239079,1.0,0.0011913501973191,0.8808467357987287,28.1373236424452,0.018766250636484315,75.58767824375012,1743.0620541517073,17.97218153126007,0.004399701271974485,k-window MAD,0.018766250636484315,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,normalized_full_3p5,0.04,0.04,0.25,5,0.8796338236924383,0.01504950099523137,0.002672026352481708,0.015284868499068833,-0.07292188980702645,1.0,0.0011913501973191,0.8784424734951192,28.140291200297604,0.018891772216314957,74.84840985744799,1651.2364454352844,18.158611531003533,0.004399701271974485,k-window MAD,0.018891772216314957,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,normalized_union_3p5,0.01,0.01,0.25,5,0.8853230371611166,0.015027893002682823,0.002691862262478421,0.015267078651144716,-0.07398965360357794,1.0,0.0011913501973191,0.8841316869637975,28.133282126149,0.018748360992876013,78.10967907972663,1957.2419769931657,17.76799421280966,0.0044025940470550345,k-window MAD,0.018748360992876013,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,normalized_union_3p5,0.03,0.03,0.25,5,0.8816733279328657,0.014965414563173421,0.00279706389964175,0.015224559090703488,-0.07332332936975913,1.0,0.0011913501973191,0.8804819777355466,28.137773338220658,0.01877364378174818,75.6658501974482,1744.860009086763,17.974585956461386,0.0044025940470550345,k-window MAD,0.01877364378174818,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,outer,normalized_union_3p5,0.04,0.04,0.25,5,0.8792684832602968,0.015048937048734114,0.0026711553471833716,0.015284160990566297,-0.07291010811368176,1.0,0.0011913501973191,0.8780771330629777,28.140742847223123,0.0188987576625794,74.92210519385107,1652.857742836152,18.16097036706846,0.0044025940470550345,k-window MAD,0.0188987576625794,"max(fit covariance + PSF MAD, k-window MAD)"
